Name of the station,Year,srcStateName,StateCode,StateName,IntermediateRatio
MUTHA RIVER AT SANGAM BRIDGE NEAR GANAPATHY GHAT.,2017,MAHARASHTRA,27,MAHARASHTRA,1
DAHA D/S SASAMUSA,2016,BIHAR,10,BIHAR,1
HARBORA RIVER AT NARKATIAGANJ,2013,BIHAR,10,BIHAR,1
"CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM, KOTA",2016,RAJASTHAN,8,RAJASTHAN,1
"PAWANA RIVER AT KASARWADI, HAWELI, PUNE.",2012,MAHARASHTRA,27,MAHARASHTRA,1
SUBARNAREKHA AT MURI ROAD BRIDGE,2016,JHARKHAND,20,JHARKHAND,1
SINDH AT DABRA,2016,MADHYA PRADESH,23,MADHYA PRADESH,1
NARMADA AT KORIGHAT HOSHANGABAD,2016,MADHYA PRADESH,23,MADHYA PRADESH,1
KHAROON RIVER A/C KHAPRI DRAIN,2016,CHHATTISGARH,22,CHHATTISGARH,1
"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",2012,ANDHRA PRADESH,36,TELANGANA,1
SATLUJ AT NEPTHA ZAKHAI,2016,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
GANGA RIVER AT BARH,2017,BIHAR,10,BIHAR,1
"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR,KAIGAON TOKKA NEAR KAIGAON BRIDGE,VILLAGE KAIGAON,TALUKA GANGAPUR,DISTRICT AURANGABAD.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"DAHA AT SIWAN, BIHAR",2018,BIHAR,10,BIHAR,1
"MALPRABHA AT D/S OF KHANAPUR VILLAGE,",2017,KARNATAKA,29,KARNATAKA,1
"HUNDRI, JOHARPUR(V), NEAR TEMPLE, KURNOOL",2016,ANDHRA PRADESH,28,ANDHRA PRADESH,1
"BHADRA AT U/S OF KIOCL, KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
"DHANSIR, TOWN BOUNDARY BRIDGE (DIPHU ROAD)",2016,NAGALAND,13,NAGALAND,1
"CHURNI D/S OF SANTIPUR TOWN, WEST BENGAL",2013,WEST BENGAL,19,WEST BENGAL,1
YAMUNA AT MATHURA U/S,2012,UTTAR PRADESH,9,UTTAR PRADESH,1
"HIWARA RIVER, D/S OF PACHORA., JALGAON",2014,MAHARASHTRA,27,MAHARASHTRA,1
DHOUS AT MADHUBANI,2016,BIHAR,10,BIHAR,1
"MAHANADI AT DOWNSTREAM OF HASDEO RIVER NEAR URGA VILLAGE KORBA, CHHATISGARH.",2019,CHHATTISGARH,22,CHHATTISGARH,1
RIVER YAMUNA AT SHAHPUR,2017,UTTAR PRADESH,9,UTTAR PRADESH,1
"INDRAYANI RIVER AT D/S OF ALANDIGAON, PUNE",2017,MAHARASHTRA,27,MAHARASHTRA,1
"YAMUNA RIVER, D/S PAONTA SAHIB",2019,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
BHADRA D/S OF BHADRAVATHI,2016,KARNATAKA,29,KARNATAKA,1
GANGA AT BUXAR,2019,BIHAR,10,BIHAR,1
MAHANADI D/S (AFTER CONFL. WITH R. ONG SONEPUR U/S,2018,ODISHA,21,ODISHA,1
"PANCHAGANGA RIVER AT D/S OF KOLHAPUR TOWN AT GANDHI NAGAR NEAR NH4 BRIDGE AND MIDC, VILLAGE UCHEGAON, TALUKA KOLHAPUR, DISTRICT KOLHAPUR.",2018,MAHARASHTRA,27,MAHARASHTRA,1
"SATLUJ AT D/S KIRATPUR SAHIB, PUNJAB",2013,PUNJAB,3,PUNJAB,1
"TUNGABHADRA AT U/S OF HPF, KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
"SUTLEJ AT D/S HUSSANIWALA H/W FEROZEPUR, PUNJAB",2019,PUNJAB,3,PUNJAB,1
RIVER GANGA AT SANGI DALAN,2019,JHARKHAND,20,JHARKHAND,1
RUSSELKUNDA RESERVOIR,2017,ODISHA,21,ODISHA,1
DAYA AT BHUBANESWAR FD/S ( 2 KM AFTER CONFLUENCE OF GANGUA NALLAH WITH RIVER DAYA),2014,ODISHA,21,ODISHA,1
GHATPRABHA D/S OF MUDHOL RD. CROSS BDG,2016,KARNATAKA,29,KARNATAKA,1
"MUTHA RIVER AT KHADAKVASLA DAM, KHADAKVASLA, HAWELI, PUNE.",2013,MAHARASHTRA,27,MAHARASHTRA,1
U/S OF VINDYADHARI RIVER AT HAROA BRIDGE,2012,WEST BENGAL,19,WEST BENGAL,1
BAITARNI AT JODA ORISSA,2013,ORISSA,21,ODISHA,1
"KOSHI RIVER AT BEERPUR,",2019,BIHAR,10,BIHAR,1
GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE,2016,MAHARASHTRA,27,MAHARASHTRA,1
KOSI RIVER AT KASHIPUR BAJPUR ROAD BRIDGE,2018,UTTARAKHAND,5,UTTARAKHAND,1
"CAUVERY AT PETTAIVAITHALAI, TRICHY",2012,TAMILNADU,33,TAMIL NADU,1
"NIRA RIVER AT U/S OF JUBILANT ORGANOSIS, BARAMATI, PUNE.",2013,MAHARASHTRA,27,MAHARASHTRA,1
"SATLUJ AT U/S HEAD WORKS ROPAR, PUNJAB",2013,PUNJAB,3,PUNJAB,1
