Station code,Name of the station,srcYear,srcStateName,Minimum temperature for river water,Maximum temperature for river water,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in river water,Maximum potential of Hydrogen value in river water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum of Nitrate N + Nitrite N required for river water,Maximum of Nitrate N + Nitrite N required for river water,Minimum of Faecal Coliforms required for river water,Maximum  of Faecal Coliforms required for river water,Minimum coliform required for river water,Maximum coliform required for river water,YearCode,Year
2755,"BANGANGA (BATHING GHAT),KATRA,J&K",2013,JAMMU & KASHMIR,10,24,6.2,8.4,7.4,8.2,290,540,2,9,0.03,1.48,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2756,"BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE)KATRA,J&K",2013,JAMMU & KASHMIR,11,26,5.5,9,7.7,8.1,108,658,2.6,19,0.26,1.59,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2752,"BASANTER AT SAMBA (BELOW NH-1A BRIDGE), BASANTAR US (R.H.S),J&K",2013,JAMMU & KASHMIR,16,27,7.6,9.3,7.8,8.5,272,300,1.2,3,0.064,0.09,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2753,"BASANTER AT SAMBA (AT CHAK MANGA GUJJAR BASANTAR) D/S(R.H.S.), J&K",2013,JAMMU & KASHMIR,16,27,6.4,7.8,6.8,7.8,260,330,2.4,6,0.51,1.23,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2748,"CHENAB AT L.H.S.(BELOW BRIDGE CHENAB),J&K",2013,JAMMU & KASHMIR,9,18,7.4,10.5,7.2,7.8,120,260,0,1,0.011,0.03,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2749,"CHENAB AT BLIND CURVE SHAMSHAN GHAT (1.5 KM U/S FROM SPOT),J&K",2013,JAMMU & KASHMIR,9,18,7.5,9.5,7.1,7.8,122,251,0,1.2,0.06,1.09,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2750,"CHENAB AT CHADRA GAON VIEW POINT(4 KM U/S FROM SPOT),J&K",2013,JAMMU & KASHMIR,9,18,7.5,9.5,7,7.8,124,254,0,0,0.02,0.06,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2751,"CHENAB AT JAL PATAN MANDIR AFTER MEETING WITH MAIN DRAIN OF AKHNOOR CITY(1.5 KMD/S FROM SPOT,J&K",2013,JAMMU & KASHMIR,9,18,6.8,8.6,7.2,8.2,126,265,1.8,5,0.041,0.06,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2754,"DEVAK UDHAMPUR(NEAR SHIV MANDIRD/S)L.H.S.,J&K",2013,JAMMU & KASHMIR,16,31,2.6,6.5,6.6,7.5,410,594,22,37,0.212,1.23,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2757,"DEVAK AT UTTERBEHNI,J&K",2013,JAMMU & KASHMIR,14,25,5.4,6.7,6.9,7.9,252,422,3.6,5.3,0.002,1.22,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2742,"TAWI AT SHETALI LIFTING POINT NAGROTA(5KM U/S TAWI BRIDGE),J&K",2013,JAMMU & KASHMIR,12,26,7.6,9.8,7.3,8.5,135,264,1.3,1.3,0.026,0.05,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2743,"TAWI AT BAGH-E-BAHU LIFTING POINT(1 KM U/S TAWI BRIDGE),J&K",2013,JAMMU & KASHMIR,12,26,7.8,9.7,7.5,8.4,142,256,1.8,2.1,0.044,0.06,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2744,"TAWI AT BELOW TAWI BRIDGE,J&K",2013,JAMMU & KASHMIR,14,26,5.5,8.5,7.7,8.7,120,292,2.5,8,0.055,1.06,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2746,"TAWI AT BELICHARANA(4KM D/S TAWI BRIDGE),J&K",2013,JAMMU & KASHMIR,14,14,8.4,8.4,8,8,266,266,2.2,2.2,0.04,0.06,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2747,"TAWI AT SURAJPUR CHATHA(10 KM D/S TAWI BRIDGE)BELOW BRIDGE NEAR CHATHA MSW DUMPING SITE,J&K",2013,JAMMU & KASHMIR,14,14,8.4,8.4,7.9,7.9,280,280,2.1,2.1,0.03,0.07,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2758,"UJH AT DAM SITE(L.H.S.), KATHUA,J&K",2013,JAMMU & KASHMIR,13,26,8.2,10,7.5,8.2,230,273,0,0,0.01,0.03,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1491,"BHAGIRATHI AT GANGOTRI, UTTAR PRADESH",2013,UTTARAKHAND,3.3,7,8.3,8.8,8.4,8.5,126,126,,,0,0,220,220,220,220,2013,"Calendar Year (Jan - Dec), 2013"
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",2013,UTTARAKHAND,11.3,19,7.4,10.6,7.4,8.4,124,124,0.2,1,0,0,790,790,1700,1700,2013,"Calendar Year (Jan - Dec), 2013"
3123,GANGA RIVER AT BARAHIA,2013,BIHAR,26,29,6,8.5,7.6,8.1,276,318,2,2.6,0,0,800,1300,2200,3000,2013,"Calendar Year (Jan - Dec), 2013"
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",2013,UTTARAKHAND,11.3,19,7.6,10,7.5,8.7,183,183,0.8,2,0,0,78,78,230,230,2013,"Calendar Year (Jan - Dec), 2013"
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",2013,UTTARAKHAND,14,20,7.4,11.2,7.8,8.6,170,170,0.4,1.8,0,0,40,40,140,140,2013,"Calendar Year (Jan - Dec), 2013"
1489,"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",2013,UTTARAKHAND,13.2,20,7.6,10,7.9,8.5,151,151,1.2,2,0,0,45,45,330,330,2013,"Calendar Year (Jan - Dec), 2013"
1060,"GANGA AT RISHIKESH U/S, U.P",2013,UTTARAKHAND,10.6,21,7.4,9.2,7.3,8.2,,,0.8,2.4,0,0,,,14,110,2013,"Calendar Year (Jan - Dec), 2013"
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,2013,UTTARAKHAND,13,24,5.4,8,7.4,8.2,,,2,13,0,0,,,300,1600,2013,"Calendar Year (Jan - Dec), 2013"
1061,"GANGA AT HARIDWAR D/S, U.P",2013,UTTARAKHAND,19,19,5.6,7.8,7.5,8.3,,,2.2,7.8,0,0,,,500,1600,2013,"Calendar Year (Jan - Dec), 2013"
2727,UPPER GANGA RIVER D/S ROORKEE,2013,UTTARAKHAND,15,15,7.2,8.8,7.8,8.3,,,1.2,3,0,0,,,110,500,2013,"Calendar Year (Jan - Dec), 2013"
1062,"GANGA AT GARHMUKTESHWAR, U.P",2013,UTTAR PRADESH,15,27,7,11.2,6.8,7.8,190,480,2.2,5.2,0.4,1.23,550,1400,920,2400,2013,"Calendar Year (Jan - Dec), 2013"
2488,"GANGA U/S, ANOOPSHAHAR",2013,UTTAR PRADESH,,,,,7,7.5,171,330,1.1,3.6,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2489,"GANGA D/S, ANOOPSHAHAR",2013,UTTAR PRADESH,,,,,7,7.5,170,320,1.2,3.4,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",2013,UTTAR PRADESH,,,,,7,7.5,174,310,1.2,3.4,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2490,"GANGA AT KACHHLA GHAT, ALIGARH",2013,UTTAR PRADESH,,,,,7.4,7.5,150,340,1.8,3.2,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1063,"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",2013,UTTAR PRADESH,12,33,6.5,9.9,7.4,9.3,21,180,3,5.4,0.18,3.6,700,2100,2000,6400,2013,"Calendar Year (Jan - Dec), 2013"
1066,"GANGA AT KANNAUJ D/S, U.P",2013,UTTAR PRADESH,12,33,6.4,9.6,7.6,9.2,18,183,2,5.8,0.16,2.56,900,2300,2300,6400,2013,"Calendar Year (Jan - Dec), 2013"
1146,"GANGA AT BITHOOR (KANPUR), U.P.",2013,UTTAR PRADESH,12,33,6.4,10.6,7.4,8.7,19,195,2.3,3.8,0.14,2.2,700,2100,2300,4300,2013,"Calendar Year (Jan - Dec), 2013"
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",2013,UTTAR PRADESH,12,33,6.1,10.8,7.5,8.7,20,120,2.5,4.1,0.16,2.3,700,2500,2300,44500,2013,"Calendar Year (Jan - Dec), 2013"
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",2013,UTTAR PRADESH,12,33,5.4,8.9,7.3,8.7,26,270,4,15.6,0.24,5.44,8400,28000,40000,210000,2013,"Calendar Year (Jan - Dec), 2013"
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",2013,UTTAR PRADESH,14,23,6.8,10.5,7.7,7.8,152,281,3.2,3.8,0.8,1.22,4300,4900,7000,7900,2013,"Calendar Year (Jan - Dec), 2013"
2498,"GANGA AT KALA KANKAR, RAEBARELI",2013,UTTAR PRADESH,14,24,6.9,10.5,7.7,7.8,150,278,3,3.7,0.76,1.02,4100,4800,6900,7800,2013,"Calendar Year (Jan - Dec), 2013"
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",2013,UTTAR PRADESH,19.8,30.5,6.9,10.8,8,8.3,338,385,2.5,4.8,2.44,2.56,3000,17000,10000,33000,2013,"Calendar Year (Jan - Dec), 2013"
2487,"GANGA AT KADAGHAT, ALLAHABAD",2013,UTTAR PRADESH,19.4,30.2,6.8,10.2,7.8,8.3,358,398,2.8,4.4,2.4,2.66,3000,140000,9000,32000,2013,"Calendar Year (Jan - Dec), 2013"
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2013,UTTAR PRADESH,19.6,30.8,6.6,9.7,8.1,8.4,368,501,2.8,4.6,2.78,3.3,3100,21000,17000,38000,2013,"Calendar Year (Jan - Dec), 2013"
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",2013,UTTAR PRADESH,14,32,5.5,11.6,7.4,8.2,237,582,2.2,3.1,1.24,2.56,490,2100,1700,4600,2013,"Calendar Year (Jan - Dec), 2013"
2486,"GANGA D/S, MIRZAPUR",2013,UTTAR PRADESH,14,34,5.1,10.8,7.4,8.9,238,582,2.4,3.6,1.46,2.22,1100,4600,2200,7000,2013,"Calendar Year (Jan - Dec), 2013"
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",2013,UTTAR PRADESH,21,24.5,6.9,8.8,7.6,8.4,268,370,2.9,3.2,0,0,5000,8000,7000,13000,2013,"Calendar Year (Jan - Dec), 2013"
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",2013,UTTAR PRADESH,21,24.5,6.4,8.3,7.7,8.7,306,392,3.3,5.1,0.15,1.98,31000,46000,43000,70000,2013,"Calendar Year (Jan - Dec), 2013"
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",2013,UTTAR PRADESH,22,24.5,6.8,8.4,7.6,8.6,285,390,2.7,4.1,0,0,13000,23000,17000,46000,2013,"Calendar Year (Jan - Dec), 2013"
1074,"GANGA AT BUXAR,BIHAR",2013,BIHAR,17,17,8.6,8.6,8.4,8.4,282,542,2.7,2.7,0,0,1300,3000,3000,9000,2013,"Calendar Year (Jan - Dec), 2013"
2551,"GANGA AT BUXAR, RAMREKHAGHAT",2013,BIHAR,17,35,7.6,8.2,7.6,8.4,281,553,2.6,2.9,0,0,2400,9000,9000,24000,2013,"Calendar Year (Jan - Dec), 2013"
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",2013,BIHAR,9,32,7.5,8.8,7.8,8.4,265,437,2.4,2.7,0,0,1100,5000,2400,9000,2013,"Calendar Year (Jan - Dec), 2013"
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",2013,BIHAR,10,30,7.3,9,7.4,8.2,12,256,2,2.4,0,0,500,900,1300,2400,2013,"Calendar Year (Jan - Dec), 2013"
2564,"GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",2013,BIHAR,14,34,7.4,9.3,7.8,8.3,243,386,2.1,2.7,0,0,1300,2400,3000,5000,2013,"Calendar Year (Jan - Dec), 2013"
2552,GANGA DARBHANGA GHAT AT PATNA,2013,BIHAR,9,32,7.2,8.6,7.8,8.1,284,490,2.5,2.9,0,0,2400,9000,9000,24000,2013,"Calendar Year (Jan - Dec), 2013"
1079,"GANGA AT PATNA D/S (GANGA BRIDGE), BIHAR",2013,BIHAR,10,33,7,8.7,7.6,8.2,275,530,2.6,3,0,0,3000,9000,9000,24000,2013,"Calendar Year (Jan - Dec), 2013"
2555,"GANGA AT PUNPUN, PATNA",2013,BIHAR,8.4,33,7,8.7,7.3,8.4,285,756,2.5,8.7,0,0,700,2400,1700,5000,2013,"Calendar Year (Jan - Dec), 2013"
2553,GANGA AT FATUHA,2013,BIHAR,8,33,7.5,8.7,7.6,8.2,267,429,2.4,2.7,0,0,1100,3000,2800,9000,2013,"Calendar Year (Jan - Dec), 2013"
1817,GANGA AT MOKAMA (U/S),2013,BIHAR,11,28,6.1,8.8,7.8,8.2,279,310,2.4,2.6,0,0,1100,1700,2200,5000,2013,"Calendar Year (Jan - Dec), 2013"
1815,GANGA AT MOKAMA (D/S),2013,BIHAR,11,28,5.9,8.6,7.6,8.1,310,346,2.4,2.9,0,0,3000,9000,9000,16000,2013,"Calendar Year (Jan - Dec), 2013"
1818,GANGA AT MUNGER,2013,BIHAR,21,30,5.8,8.5,7.6,8,260,336,2.4,2.7,0,0,1100,3000,2400,5000,2013,"Calendar Year (Jan - Dec), 2013"
2554,"GANGA AT SULTANGANJ, BHAGALPUR",2013,BIHAR,22,30,5.9,8.5,7.6,8,256,332,2.4,2.7,0,0,800,3000,2400,5000,2013,"Calendar Year (Jan - Dec), 2013"
1819,GANGA AT BHAGALPUR,2013,BIHAR,17,28,5.9,8.5,7.7,8,279,383,2.4,2.8,0,0,2200,3000,5000,9000,2013,"Calendar Year (Jan - Dec), 2013"
1816,GANGA AT KAHALGAON,2013,BIHAR,19,28,6,8.6,7.8,8.1,232,332,2.5,2.9,0,0,2200,5000,5000,9000,2013,"Calendar Year (Jan - Dec), 2013"
3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,2013,BIHAR,17,34,7.4,8.4,7.5,8.4,283,553,2.5,2.8,0,0,1100,5000,3000,16000,2013,"Calendar Year (Jan - Dec), 2013"
3114,GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL),2013,BIHAR,9,32,7.3,8.3,7.5,8.3,268,460,2.4,2.7,0,0,1100,3000,2400,16000,2013,"Calendar Year (Jan - Dec), 2013"
3115,GANGA RIVER AT BARH,2013,BIHAR,18,30,5.9,8.8,7.6,8.1,262,330,2.2,2.5,0,0,700,1400,1700,3500,2013,"Calendar Year (Jan - Dec), 2013"
3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),2013,BIHAR,21,30,6.1,8.6,7.8,8.1,258,320,2.2,2.6,0,0,700,1700,1700,5000,2013,"Calendar Year (Jan - Dec), 2013"
3117,GANGA AT U/S SULTANGANJ,2013,BIHAR,22,29,6,8.6,7.6,8.1,268,328,2.4,2.6,0,0,900,2200,2200,3000,2013,"Calendar Year (Jan - Dec), 2013"
3118,GANGA AT U/S BHAGALPUR,2013,BIHAR,17,28,6,8.5,7.8,8,265,362,2.4,2.8,0,0,800,1700,2400,5000,2013,"Calendar Year (Jan - Dec), 2013"
3122,"GANGA AT MALSALAMI, PATNA",2013,BIHAR,10,33,7.5,8.8,7.7,8.2,289,438,2.4,2.7,0,0,900,3000,2400,9000,2013,"Calendar Year (Jan - Dec), 2013"
1080,GANGA AT BAHARAMPORE WEST BENGAL,2013,WEST BENGAL,20,32,6,11,7.4,7.8,230,358,4.5,6.9,0.77,1.26,1,90000,400,160000,2013,"Calendar Year (Jan - Dec), 2013"
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",2013,WEST BENGAL,16,32,5.5,10.6,7.2,8,212,339,1.6,5.9,0.78,1.55,700,50000,1100,90000,2013,"Calendar Year (Jan - Dec), 2013"
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",2013,WEST BENGAL,18,32,4.9,9.3,7.6,8.3,213,357,1,4.3,0.427,2.56,200,130000,400,170000,2013,"Calendar Year (Jan - Dec), 2013"
1054,"GANGA AT PALTA, WEST BENGAL",2013,WEST BENGAL,18,52,5.4,9.8,6.9,7.9,219,359,2.3,5.1,0.41,1.02,1,500000,26000,900000,2013,"Calendar Year (Jan - Dec), 2013"
1472,"GANGA AT SERAMPORE, WEST BENGAL",2013,WEST BENGAL,17,32,3.9,9,7.1,8.2,233,413,1.8,6,0.387,5.66,8000,500000,11000,900000,2013,"Calendar Year (Jan - Dec), 2013"
1053,"GANGA AT DAKSHMINESWAR, WEST BENGAL",2013,WEST BENGAL,16,32,4,8.5,7.6,8.1,208,398,1.1,6.6,0.11,1.02,70000,1100000,85000,4500000,2013,"Calendar Year (Jan - Dec), 2013"
1471,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",2013,WEST BENGAL,19,30,4.4,7.4,7.2,8.1,234,425,0.8,5.8,0.3,1.55,1,700000,110000,4500000,2013,"Calendar Year (Jan - Dec), 2013"
3203,"AMRAVATI AT VILLAGE DADHAL , TA ANKLESHWAR, BHARUCH",2013,GUJARAT,27,27,4.7,6.3,7.5,8.8,,,0.3,2,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1470,"GANGA AT GARDEN REACH, WEST BENGAL",2013,WEST BENGAL,20,30,4.5,8.5,7.7,8.2,230,408,1.8,7.5,0.09,2.56,1,650000,165000,2500000,2013,"Calendar Year (Jan - Dec), 2013"
1052,"GANGA AT ULUBERIA, WEST BENGAL",2013,WEST BENGAL,15,30,3.6,8.8,7.2,8.1,249,412,0.6,8.4,0.1,1.44,4000,220000,11000,500000,2013,"Calendar Year (Jan - Dec), 2013"
1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",2013,WEST BENGAL,18,31.5,4.7,8.6,7.4,8,240,6270,0.6,4.3,0.25,1.25,1,170000,7000,500000,2013,"Calendar Year (Jan - Dec), 2013"
1492,"YAMUNA AT YAMUNOTRI, UTTAR PRADESH",2013,UTTARAKHAND,2.8,3,7.9,8.4,7.8,8.4,74,74,,,0,0,220,220,220,220,2013,"Calendar Year (Jan - Dec), 2013"
1493,"YAMUNA AT HANUMANCHATTI, UTTAR PRADESH",2013,UTTARAKHAND,8,13.2,7.1,8.8,8.2,8.3,123,123,,,0,0,18,18,33,33,2013,"Calendar Year (Jan - Dec), 2013"
1494,"YAMUNA AT U/S OF LAKHWAR DAM, U.P",2013,UTTARAKHAND,12.2,23,5.2,8.8,7.8,8.5,164,282,1.4,2.4,0,0,7000,7000,9400,9400,2013,"Calendar Year (Jan - Dec), 2013"
1490,"YAMUNA AT U/S DAK PATTHAR, UTTAR PARDESH",2013,UTTARAKHAND,12.8,23.2,6,8.4,7.8,8.3,207,258,1.2,2.6,0,0,180,35000,21,35000,2013,"Calendar Year (Jan - Dec), 2013"
1553,"YAMUNA , U/S PAONTA SAHIB, H.P",2013,HIMACHAL PRADESH,13,28,6.2,24,7,8.2,202,276,0.8,1.6,0.22,1.66,4,16,12,29,2013,"Calendar Year (Jan - Dec), 2013"
1554,"YAMUNA , D/S PAONTA SAHIB, H.P",2013,HIMACHAL PRADESH,14,29,6,27,6.6,8.2,161,374,1,4.2,0.26,1.05,3,15,10,28,2013,"Calendar Year (Jan - Dec), 2013"
1117,YAMUNA AT HATHNIKUND HARYANA,2013,HARYANA,,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1496,"YAMUNA AT KALANAUR, YAMUNA NAGAR, HARYANA",2013,HARYANA,,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1119,"YAMUNA AT SONEPAT, HARYANA",2013,HARYANA,,,8.1,8.1,7.4,7.4,290,290,1.6,1.6,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1120,"YAMUNA AT WAZIRABAD, DELHI, CPCB",2013,DELHI,,,9.5,11.5,7.7,8.5,,,2,4,,,,,1700,3300,2013,"Calendar Year (Jan - Dec), 2013"
1121,"YAMUNA AT NIZAMUDDIN, DELHI",2013,DELHI,,,0.6,0.6,7.3,8.2,,,11,17,12.5,12.5,,,9200000,9200000,2013,"Calendar Year (Jan - Dec), 2013"
1375,"YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",2013,DELHI,,,0.7,0.7,7.4,8.1,,,15,19,19.3,19.3,,,2200000,3500000,2013,"Calendar Year (Jan - Dec), 2013"
1812,"YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN, DELHI",2013,DELHI,,,0.6,0.7,7.3,8,,,20,43,,,,,3500000,9200000,2013,"Calendar Year (Jan - Dec), 2013"
1497,"YAMUNA AT MAZAWALI, U.P",2013,UTTAR PRADESH,,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2495,"YAMUNA AT KESIGHAT, VRINDAVAN",2013,UTTAR PRADESH,22,30,4,6.8,7.2,7.8,117,117,6,7.8,0,0,28000,41000,63000,70000,2013,"Calendar Year (Jan - Dec), 2013"
1123,"YAMUNA AT MATHURA U/S , U.P.",2013,DELHI,,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2494,"YAMUNA AT VISHRAMGHAT, MATHURA",2013,UTTAR PRADESH,20,30,3.6,6.4,7.3,7.8,121,121,7.2,9,0,0,37000,48000,79000,94000,2013,"Calendar Year (Jan - Dec), 2013"
1124,"YAMUNA AT MATHURA D/S , U.P.",2013,DELHI,,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1125,"YAMUNA AT AGRA U/S, U.P.",2013,UTTAR PRADESH,,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1126,"YAMUNA AT D/S OF AGRA, U.P.",2013,UTTAR PRADESH,,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2493,YAMUNA AT SHAHPUR,2013,UTTAR PRADESH,20,30,3.8,7.6,7.2,7.6,112,112,4.8,6.6,0,0,24000,28000,43000,54000,2013,"Calendar Year (Jan - Dec), 2013"
1498,"YAMUNA AT BATESWAR, U.P",2013,"CPCB, DELHI",,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1127,"YAMUNA AT ETAWAH, U.P.",2013,"CPCB, DELHI",,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1499,"YAMUNA AT JUHIKA B/C WITH CHANBAL, ETAWAH, U.P",2013,"CPCB, DELHI",,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2283,YAMUNA AT HAMIRPUR,2013,UTTAR PRADESH,,,,,,,,,,,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
1069,"YAMUNA AT ALLAHABAD D/S (BALUA GHAT), U.P",2013,UTTAR PRADESH,19.8,29.9,,,7.9,8.3,,,1.6,2.8,,,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2724,"SUSWA RIVER AT MOTHRAWALA, DEHRADUN",2013,UTTARAKHAND,15.8,30,1.8,6.4,7.3,8,,,14,44,0,0,,,1600,1600,2013,"Calendar Year (Jan - Dec), 2013"
2728,GOLA RIVER AT HALDWANI,2013,UTTARAKHAND,12,19,7.6,8.2,7.2,7.8,180,240,1.2,1.8,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2734,BHALLA RIVER U/S KASHIPUR,2013,UTTARAKHAND,12,25,0.4,2.4,6.7,7.2,316,825,6.5,45,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2735,BHALLA RIVER AT LOHIA BRIDGE D/S KASHIPUR,2013,UTTARAKHAND,12,25,0.4,7.6,6.5,7.2,412,2318,7.5,32,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2732,DHELA RIVER U/S AT KASHIPUR MORADABAD ROAD BRIDGE,2013,UTTARAKHAND,11,24,0.4,54,6.9,7.6,558,1346,18,76,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2733,DHELA RIVER D/S AT THAKURDWARA ALIGANJ ROAD,2013,UTTARAKHAND,12,25,0.4,2.6,6.6,7.8,461,1286,13,44,0,0,,,,,2013,"Calendar Year (Jan - Dec), 2013"
2731,KOSI RIVER AT KASHIPUR BAJPUR ROAD BRIDGE,2013,UTTARAKHAND,11,23,6,8.2,7.1,7.7,275,572,2.2,5.2,0,0,,,1600,1600,2013,"Calendar Year (Jan - Dec), 2013"
1064,"RAMGANGA AT KANNAUJ (BEFORE CONF.),U.P",2013,UTTAR PRADESH,12,33,5.3,12.8,7.5,8.9,27,267,3.2,6.7,0.22,4.55,900,2400,4100,28000,2013,"Calendar Year (Jan - Dec), 2013"
2497,"KALI EAST AT KHARKHODA-PARIKSHIT GARH ROAD, VILL. KOL, MEERUT",2013,UTTAR PRADESH,17,28,,,7.1,8.4,1620,2110,70,94,9.4,10,21000,2500000,110000,360000,2013,"Calendar Year (Jan - Dec), 2013"
1480,"KALINADI AT U/S OF GULAOTHI TOWN IN BULANDSAHAR, U.P.",2013,UTTAR PRADESH,20,27,,,7.3,7.8,2180,3640,125,297,0,0,21000,1100000,160000,2200000,2013,"Calendar Year (Jan - Dec), 2013"
1065,"KALINADI AT KANNAUJ (BEFORE CONF.),U.P",2013,UTTAR PRADESH,12,33,6.1,10.2,7.5,9.3,22,231,3,6.6,0.28,5.8,700,2800,2800,7500,2013,"Calendar Year (Jan - Dec), 2013"
2482,"VARUNA AT RAMESHWAR, VARANASI",2013,UTTAR PRADESH,21,24.2,6.8,8.8,7.3,8.4,244,287,2.4,3.2,0,0,2000,6300,4600,9400,2013,"Calendar Year (Jan - Dec), 2013"
2483,VARUNA B/C WITH RIVER GANGA AT VARANASI,2013,UTTAR PRADESH,21,24.5,2.2,5,8.1,8.8,340,466,12.8,44,0.38,1.23,11000,140000,17000,180000,2013,"Calendar Year (Jan - Dec), 2013"
1361,"SAI AT UNNAO AFTER DRAIN OUTFALL, U.P.",2013,UTTAR PRADESH,13,32,3.8,12,7.1,8.4,230,785,2.5,4,0.98,1.02,1700,2400,3200,5400,2013,"Calendar Year (Jan - Dec), 2013"
2484,"SAI AT JALALPUR, JAUNPUR",2013,UTTAR PRADESH,21,24.5,3.2,8.6,7.3,8.4,192,286,2.5,3.3,0,0,4000,8000,7000,13000,2013,"Calendar Year (Jan - Dec), 2013"
1350,"GOMTI AT SITAPUR U/S AT WATER INTAKE, U.P.",2013,UTTAR PRADESH,16.8,33.1,5.3,12.8,7.2,8.4,182,519,2.3,3,0.58,1.25,460,1100,1300,2800,2013,"Calendar Year (Jan - Dec), 2013"
1351,"GOMTI AT LUCKNOW U/S AT WATER INTAKE POINT,U.P.",2013,UTTAR PRADESH,16.8,32.5,4,12,7.1,8.2,251,530,2.8,3.7,2.12,3.66,1300,3300,2600,7000,2013,"Calendar Year (Jan - Dec), 2013"
1352,"GOMTI AT LUCKNOW D/S, U.P.",2013,UTTAR PRADESH,17,32.5,1,8,7,8,287,726,7,11,3.65,8.6,70000,110000,94000,140000,2013,"Calendar Year (Jan - Dec), 2013"
