Station code,Name of the station,srcYear,srcStateName,Minimum temperature for river water,Maximum temperature for river water,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in river water,Maximum potential of Hydrogen value in river water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum of Nitrate N + Nitrite N required for river water,Maximum of Nitrate N + Nitrite N required for river water,Minimum of Faecal Coliforms required for river water,Maximum  of Faecal Coliforms required for river water,Minimum coliform required for river water,Maximum coliform required for river water,YearCode,Year
2382,DAMODAR AT PHUSRO ROAD BRIDGE,2016,JHARKHAND,26,26,7.2,7.2,7.3,7.3,,,2.8,2.8,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
2383,DAMODAR U/S JAMADOVA,2016,JHARKHAND,20,28,7.5,7.6,7.4,7.5,,,1.8,1.9,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
2384,DAMODAR D/S SINDRI,2016,JHARKHAND,20,29,7.3,7.6,7.5,7.5,,,2,2.1,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
2391,DAMODAR AT PANCHET DAM,2016,JHARKHAND,21,26,7.5,7.8,7.5,7.6,,,1.4,1.6,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1331,DAMODAR AT DISHERGARH VILL.(NR.BIHARWEST BENGAL BORDER),2016,WEST BENGAL,20,31,6.3,12,7.4,8.1,163,374,1.1,7.9,0.1,1.2,500,90000,700,160000,2016,"Calendar Year (Jan - Dec), 2016"
1332,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE,2016,WEST BENGAL,21,32,6.6,12,7.1,8.3,179,367,1.1,4.3,0.2,0.7,200,35000,400,160000,2016,"Calendar Year (Jan - Dec), 2016"
1333,DAMODAR AT NARAINPUR A/C OF NUNIA NALLAH,2016,WEST BENGAL,22,34,4.7,15,7.1,8.4,312,455,2,8.9,0.3,1,400,22000,2200,90000,2016,"Calendar Year (Jan - Dec), 2016"
1334,DAMODAR NEAR MUJHER MANA VILLAGE A/C OF TAMLA NALLAH,2016,WEST BENGAL,21,34,4.9,8.7,7.1,8.4,198,914,1.1,4.7,0.1,1.4,800,24000,1300,90000,2016,"Calendar Year (Jan - Dec), 2016"
1335,"HOOGHLY, DURGACHAK, NEAR PATHIKALI",2016,WEST BENGAL,23,32,5.4,8.1,7.5,8.2,1397,22600,0.7,4,0.1,0.5,2700,28000,11000,160000,2016,"Calendar Year (Jan - Dec), 2016"
2527,"DAMODAR,WATER INTAKE POINT FOR BURDWAN TOWN",2016,WEST BENGAL,21,36,6.5,11.3,7.4,8.3,176,400,1.2,5.6,0.2,0.9,200,17000,400,160000,2016,"Calendar Year (Jan - Dec), 2016"
2392,BARAKAR AT MAITHAN DAM,2016,JHARKHAND,23,28,7.4,7.7,7.5,7.6,,,1.2,1.4,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1336,BARAKAR AT ASANSOL (WATER INTAKE POINT),2016,WEST BENGAL,21,31,6,11.8,7.2,8.2,149,290,1,5.7,0.2,1.1,1200,30000,1700,50000,2016,"Calendar Year (Jan - Dec), 2016"
2390,KONAR AT TENUGHAT DAM,2016,JHARKHAND,27,27,7.7,7.7,7.5,7.5,,,1.3,1.3,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
2509,"RUPNARAYAN , D/S AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3",2016,WEST BENGAL,22,34,5.7,7.9,7.5,8.2,208,5590,0.3,2.2,0.2,0.6,2200,22000,3300,160000,2016,"Calendar Year (Jan - Dec), 2016"
1337,RUPNARAYAN B/C TO RIVER GANGA NEAR GEONKHALI,2016,WEST BENGAL,21,32,4.8,8.5,7.8,8.5,372,12200,0.4,2.9,0.2,0.7,5000,30000,8000,160000,2016,"Calendar Year (Jan - Dec), 2016"
2541,DWARAKESHWAR WATER INTAKE POINT FOR BANKURA TOWN,2016,WEST BENGAL,22,33,6,9.5,7.2,8.3,128,578,1,4.4,0.1,1.3,100,35000,400,160000,2016,"Calendar Year (Jan - Dec), 2016"
2531,"DWARKA, U/S OF TARAPITH AT SADHAK BAMDEB GHAT",2016,WEST BENGAL,19,36,3,12.4,6.8,8.7,110,1016,2.1,10,0,1.2,1100,35000,1700,160000,2016,"Calendar Year (Jan - Dec), 2016"
2532,"DWARKA , D/S OF TARAPITH, AT SATIGHAT",2016,WEST BENGAL,19,37,4.8,12.2,6.7,8.8,101,955,2.6,10,0,1.2,800,90000,1300,160000,2016,"Calendar Year (Jan - Dec), 2016"
2508,"SILABATI, D/S AT GHATAL",2016,WEST BENGAL,22,36,4.7,8.3,6.9,8.1,142,1677,0.6,3.8,0.1,0.6,5000,24000,11000,160000,2016,"Calendar Year (Jan - Dec), 2016"
2514,"JALANGI, D/S OF KRISHNA NAGAR",2016,WEST BENGAL,21,34,1.6,9.8,7.1,8.3,244,662,0.8,8.3,0.1,0.9,70000,170000,110000,280000,2016,"Calendar Year (Jan - Dec), 2016"
1764,CHURNI D/S OF SANTIPUR TOWN,2016,WEST BENGAL,22,34,1.8,7.3,7.1,8.1,182,693,3.3,10,0.3,1.7,80000,500000,130000,1600000,2016,"Calendar Year (Jan - Dec), 2016"
2518,"CHURNI, MAJHADIA",2016,WEST BENGAL,22,32,0.2,6.8,7.2,8.3,226,691,2,8.3,0.3,1,11000,280000,21000,350000,2016,"Calendar Year (Jan - Dec), 2016"
2517,"MATHA BHANGA, GOBINDAPUR",2016,WEST BENGAL,22,32,0.4,6.3,7.3,8.1,238,685,2.6,7.9,0.1,0.7,22000,220000,33000,280000,2016,"Calendar Year (Jan - Dec), 2016"
2534,"MAYURAKSHI, WATER INTAKE POINT FOR SURI TOWN",2016,WEST BENGAL,20,33,5.1,10.2,6.9,8.2,119,193,1,4.5,0.1,0.9,200,13000,400,24000,2016,"Calendar Year (Jan - Dec), 2016"
2507,"KANSI, D/S MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT",2016,WEST BENGAL,24,36,5.6,11.2,6.8,9,128,355,1.6,7.9,0.1,0.5,1700,30000,2600,90000,2016,"Calendar Year (Jan - Dec), 2016"
1946,MAHANANDA AT SILIGURI,2016,WEST BENGAL,14,30,3.3,8.7,6.5,7.9,99,202,1.3,6,0.2,0.6,1700,40000,3300,110000,2016,"Calendar Year (Jan - Dec), 2016"
2525,"MAHANANDA D/S, RAMGHAT",2016,WEST BENGAL,12,34,1.2,6.2,6.8,7.8,102,489,2.4,25,0.2,0.5,50000,1400000,110000,2800000,2016,"Calendar Year (Jan - Dec), 2016"
2572,"MAHANANDA AT THAKURGANJ, KISHANGANJ ROAD BRIDGE",2016,BIHAR,14,28,6.1,8.5,6.5,7.6,107,425,2,28,0,0,800,3000,2400,9000,2016,"Calendar Year (Jan - Dec), 2016"
2549,"VINDYADHARI, U/S HAROA BRIDGE",2016,WEST BENGAL,21,33,0.4,2.2,7.5,8,601,7917,5,45,0.5,1.2,22000,300000,50000,500000,2016,"Calendar Year (Jan - Dec), 2016"
2550,VINDYADHARI D/S MALANCHA BURNING GHAT,2016,WEST BENGAL,21,39,0.6,4.1,7.4,8,2416,25160,7,27,0.4,0.9,11000,80000,14000,130000,2016,"Calendar Year (Jan - Dec), 2016"
