srcStateName,City,Year,StateCode,StateName,IntermediateRatio
Maharashtra,Kankavli,2021,27,MAHARASHTRA,1
Jammu and Kashmir,Nagni,2021,1,JAMMU AND KASHMIR,1
Rajasthan,Uniara,2021,8,RAJASTHAN,1
Jharkhand,Dhanvar,2021,20,JHARKHAND,1
Tamil Nadu,Madavilagam,2021,33,TAMIL NADU,1
Haryana,Dharuhera,2021,6,HARYANA,1
Karnataka,Haveri,2021,29,KARNATAKA,1
Tamil Nadu,Huligal,2021,33,TAMIL NADU,1
Haryana,Farrukhnagar,2021,6,HARYANA,1
Maharashtra,Dahegaon,2021,27,MAHARASHTRA,1
Assam,Doom Dooma,2021,18,ASSAM,1
Madhya Pradesh,Mandav,2021,23,MADHYA PRADESH,1
Bihar,Nawada,2021,10,BIHAR,1
Tamil Nadu,Puzhuthivakkam,2021,33,TAMIL NADU,1
Uttar Pradesh,Thakurdwara,2021,9,UTTAR PRADESH,1
Tamil Nadu,Kotagiri,2021,33,TAMIL NADU,1
Haryana,Ateli,2021,6,HARYANA,1
Maharashtra,Pirangut (J S),2021,27,MAHARASHTRA,1
Odisha,Umarkote,2021,21,ODISHA,1
Tamil Nadu,Mayiladuthurai,2021,33,TAMIL NADU,1
Uttar Pradesh,Fatehgarh CB,2021,9,UTTAR PRADESH,1
Gujarat,Tarsadi,2021,24,GUJARAT,1
Tamil Nadu,Thiruvidaimarudur,2021,33,TAMIL NADU,1
Uttar Pradesh,Khekada,2021,9,UTTAR PRADESH,1
Tamil Nadu,Nandambakkam,2021,33,TAMIL NADU,1
Chhattisgarh,Narayanpur,2021,22,CHHATTISGARH,1
Gujarat,Khambhat,2021,24,GUJARAT,1
Rajasthan,Kanota (CT),2021,8,RAJASTHAN,1
Andhra Pradesh,Andalapalle,2021,28,ANDHRA PRADESH,1
Rajasthan,Mahapura,2021,8,RAJASTHAN,1
Maharashtra,Loni Kalbhor,2021,27,MAHARASHTRA,1
Odisha,Hinjilicut,2021,21,ODISHA,1
Odisha,Nayagarh,2021,21,ODISHA,1
Bihar,Sursand,2021,10,BIHAR,1
Assam,Sarbhog,2021,18,ASSAM,1
Haryana,Iqbalpur,2021,6,HARYANA,1
Uttar Pradesh,Tulsipur,2021,9,UTTAR PRADESH,1
Rajasthan,Akhepura,2021,8,RAJASTHAN,1
Chhattisgarh,Dhamdha,2021,22,CHHATTISGARH,1
Maharashtra,Isasani (Part),2021,27,MAHARASHTRA,1
Madhya Pradesh,Udaipura,2021,23,MADHYA PRADESH,1
Punjab,Mallanwala Khass,2021,3,PUNJAB,1
Andhra Pradesh,J.Kothuru,2021,28,ANDHRA PRADESH,1
Andhra Pradesh,Poranki (CT),2021,28,ANDHRA PRADESH,1
Andhra Pradesh,Nidumukkala,2021,28,ANDHRA PRADESH,1
Uttar Pradesh,Saunkh,2021,9,UTTAR PRADESH,1
Rajasthan,Jeerota,2021,8,RAJASTHAN,1
Himachal Pradesh,Nerchowk,2021,2,HIMACHAL PRADESH,1
Andhra Pradesh,Mortha,2021,28,ANDHRA PRADESH,1
Uttar Pradesh,Greater Noida (CT),2021,9,UTTAR PRADESH,1
Andhra Pradesh,Katheru,2021,28,ANDHRA PRADESH,1
Rajasthan,Khara Bera Bheemawata,2021,8,RAJASTHAN,1
Uttarakhand,Gairsain,2021,5,UTTARAKHAND,1
Chhattisgarh,Sitapur,2021,22,CHHATTISGARH,1
Chhattisgarh,Arjunda,2021,22,CHHATTISGARH,1
Gujarat,Porbandar,2021,24,GUJARAT,1
Madhya Pradesh,Garoth,2021,23,MADHYA PRADESH,1
Karnataka,Annigeri,2021,29,KARNATAKA,1
Bihar,Barbigha,2021,10,BIHAR,1
Haryana,Wazirpur,2021,6,HARYANA,1
Punjab,Dhuri,2021,3,PUNJAB,1
Gujarat,Rakanpur,2021,24,GUJARAT,1
Telangana,Pedda Amberpet,2021,36,TELANGANA,1
Andhra Pradesh,Rajam,2021,28,ANDHRA PRADESH,1
Tamil Nadu,Suriyampalayam,2021,33,TAMIL NADU,1
Tamil Nadu,Srivaikuntam,2021,33,TAMIL NADU,1
Uttarakhand,Hardwar,2021,5,UTTARAKHAND,1
Maharashtra,Basmath,2021,27,MAHARASHTRA,1
Punjab,Sanaur,2021,3,PUNJAB,1
West Bengal,Dhulian,2021,19,WEST BENGAL,1
Jharkhand,Gumla,2021,20,JHARKHAND,1
Chhattisgarh,Tundra,2021,22,CHHATTISGARH,1
Punjab,Mansa,2021,3,PUNJAB,1
Maharashtra,Nighoje,2021,27,MAHARASHTRA,1
Andhra Pradesh,Velagapudi,2021,28,ANDHRA PRADESH,1
Maharashtra,Tasgaon,2021,27,MAHARASHTRA,1
Tamil Nadu,Parangipettai,2021,33,TAMIL NADU,1
Madhya Pradesh,Mauganj,2021,23,MADHYA PRADESH,1
Karnataka,Nayakanahatti,2021,29,KARNATAKA,1
Maharashtra,Kalameshwar,2021,27,MAHARASHTRA,1
Tamil Nadu,Alapakkam,2021,33,TAMIL NADU,1
Andhra Pradesh,Vatticherukuru,2021,28,ANDHRA PRADESH,1
Uttarakhand,Joshimath,2021,5,UTTARAKHAND,1
Tamil Nadu,Kannampalayam,2021,33,TAMIL NADU,1
Gujarat,Alampur,2021,24,GUJARAT,1
Uttar Pradesh,Haldoni,2021,9,UTTAR PRADESH,1
Madhya Pradesh,Athner,2021,23,MADHYA PRADESH,1
Andhra Pradesh,Kavali,2021,28,ANDHRA PRADESH,1
Jammu and Kashmir,Seer Hamdan,2021,1,JAMMU AND KASHMIR,1
Haryana,Kherki,2021,6,HARYANA,1
Uttar Pradesh,Suriyawan,2021,9,UTTAR PRADESH,1
Tamil Nadu,Anambakkam,2021,33,TAMIL NADU,1
Maharashtra,Sindevahi,2021,27,MAHARASHTRA,1
Maharashtra,Kivale,2021,27,MAHARASHTRA,1
Maharashtra,Sawali,2021,27,MAHARASHTRA,1
Tamil Nadu,Needamangalam,2021,33,TAMIL NADU,1
Uttar Pradesh,Dibiyapur,2021,9,UTTAR PRADESH,1
Telangana,Dubbaka,2021,36,TELANGANA,1
Uttar Pradesh,Saidpur,2021,9,UTTAR PRADESH,1
Puducherry,Madagadipet,2021,34,PUDUCHERRY,1
West Bengal,Santipur,2021,19,WEST BENGAL,1
Andhra Pradesh,Razole,2021,28,ANDHRA PRADESH,1
Punjab,Anandpur Sahib,2021,3,PUNJAB,1
Odisha,Sundargarh,2021,21,ODISHA,1
Andhra Pradesh,Kadiam,2021,28,ANDHRA PRADESH,1
Madhya Pradesh,Phuphkalan,2021,23,MADHYA PRADESH,1
Gujarat,Untiya,2021,24,GUJARAT,1
Tamil Nadu,Palakkodu,2021,33,TAMIL NADU,1
Tamil Nadu,Mukkudal,2021,33,TAMIL NADU,1
Andhra Pradesh,Bethamcherla (CT),2021,28,ANDHRA PRADESH,1
Andhra Pradesh,Tadepalligudem,2021,28,ANDHRA PRADESH,1
Madhya Pradesh,Chicholi,2021,23,MADHYA PRADESH,1
Punjab,Kot Fatta,2021,3,PUNJAB,1
Tamil Nadu,Thondi,2021,33,TAMIL NADU,1
Punjab,Boha,2021,3,PUNJAB,1
Manipur,Samurou,2021,14,MANIPUR,1
Uttar Pradesh,Dahpa,2021,9,UTTAR PRADESH,1
Madhya Pradesh,Alot,2021,23,MADHYA PRADESH,1
Gujarat,Kodinar,2021,24,GUJARAT,1
Tamil Nadu,Oragadam,2021,33,TAMIL NADU,1
Assam,Tangla,2021,18,ASSAM,1
Tamil Nadu,Lakshmivilasapuram,2021,33,TAMIL NADU,1
West Bengal,Baruipur,2021,19,WEST BENGAL,1
Maharashtra,Markal,2021,27,MAHARASHTRA,1
Rajasthan,Nainwa,2021,8,RAJASTHAN,1
Punjab,Makhu,2021,3,PUNJAB,1
Chhattisgarh,Adbhar,2021,22,CHHATTISGARH,1
Maharashtra,Sondapar,2021,27,MAHARASHTRA,1
Maharashtra,Shrirampur,2021,27,MAHARASHTRA,1
Haryana,Sampla,2021,6,HARYANA,1
Uttar Pradesh,Malihabad,2021,9,UTTAR PRADESH,1
Uttar Pradesh,Hyderabad,2021,9,UTTAR PRADESH,1
Odisha,Bhubaneswar,2021,21,ODISHA,1
Rajasthan,Mathaniya,2021,8,RAJASTHAN,1
Madhya Pradesh,Khujner,2021,23,MADHYA PRADESH,1
Gujarat,Lunawada,2021,24,GUJARAT,1
Tripura,Jirania,2021,16,TRIPURA,1
Himachal Pradesh,Patta,2021,2,HIMACHAL PRADESH,1
Maharashtra,Sangrampur,2021,27,MAHARASHTRA,1
Tamil Nadu,Kottaiyur,2021,33,TAMIL NADU,1
Tamil Nadu,Siruvada,2021,33,TAMIL NADU,1
Gujarat,Ghaluda,2021,24,GUJARAT,1
Maharashtra,Matheran,2021,27,MAHARASHTRA,1
Tamil Nadu,Tiruvethipuram,2021,33,TAMIL NADU,1
Rajasthan,Digari,2021,8,RAJASTHAN,1
Telangana,Kollapur,2021,36,TELANGANA,1
Mizoram,Darlawn,2021,15,MIZORAM,1
Tamil Nadu,Pannaikadu,2021,33,TAMIL NADU,1
Uttar Pradesh,Rasra,2021,9,UTTAR PRADESH,1
Himachal Pradesh,Dewari,2021,2,HIMACHAL PRADESH,1
Maharashtra,Himayatnagar,2021,27,MAHARASHTRA,1
Jharkhand,Chaibasa,2021,20,JHARKHAND,1
Maharashtra,Tuljapur,2021,27,MAHARASHTRA,1
Punjab,Amritsar Cantt.,2021,3,PUNJAB,1
Uttar Pradesh,Jewar,2021,9,UTTAR PRADESH,1
Tamil Nadu,Periyakulam,2021,33,TAMIL NADU,1
Madhya Pradesh,Lanji,2021,23,MADHYA PRADESH,1
Himachal Pradesh,Chabal,2021,2,HIMACHAL PRADESH,1
West Bengal,Pujali,2021,19,WEST BENGAL,1
Odisha,Malkangiri,2021,21,ODISHA,1
Rajasthan,Hindaun,2021,8,RAJASTHAN,1
Gujarat,Chalthan (CT),2021,24,GUJARAT,1
Andhra Pradesh,Vijayawada,2021,28,ANDHRA PRADESH,1
Rajasthan,Ladpura Kaithoon,2021,8,RAJASTHAN,1
Madhya Pradesh,Meghnagar,2021,23,MADHYA PRADESH,1
Rajasthan,Gatheela Khera,2021,8,RAJASTHAN,1
Tamil Nadu,Kanchipuram,2021,33,TAMIL NADU,1
Tamil Nadu,Mopperipalayam,2021,33,TAMIL NADU,1
Uttar Pradesh,Dhakiya,2021,9,UTTAR PRADESH,1
Delhi,North Delhi MCD,2021,7,DELHI,1
Chhattisgarh,Jamul,2021,22,CHHATTISGARH,1
Maharashtra,Kadachiwadi,2021,27,MAHARASHTRA,1
Chhattisgarh,Nawagarh(NP),2021,22,CHHATTISGARH,1
Chhattisgarh,Gurur,2021,22,CHHATTISGARH,1
Andhra Pradesh,Kristam Setti Palle,2021,28,ANDHRA PRADESH,1
Chhattisgarh,Sahaspur-Lohara,2021,22,CHHATTISGARH,1
Tamil Nadu,Orathanadu,2021,33,TAMIL NADU,1
West Bengal,Howrah,2021,19,WEST BENGAL,1
Tamil Nadu,Thiruvelangadu,2021,33,TAMIL NADU,1
Uttar Pradesh,Sahjanwan,2021,9,UTTAR PRADESH,1
Uttar Pradesh,Manjhanpur,2021,9,UTTAR PRADESH,1
Tripura,Sonamura,2021,16,TRIPURA,1
Tamil Nadu,Unjalur,2021,33,TAMIL NADU,1
Madhya Pradesh,Shahganj,2021,23,MADHYA PRADESH,1
West Bengal,Sahapur,2021,19,WEST BENGAL,1
Rajasthan,Boraj-Kazipura (CT),2021,8,RAJASTHAN,1
Uttar Pradesh,Gola Gokaran Nath,2021,9,UTTAR PRADESH,1
Maharashtra,Palus,2021,27,MAHARASHTRA,1
Uttar Pradesh,Kachhauna Patseni,2021,9,UTTAR PRADESH,1
Puducherry,Ariankuppam (CT),2021,34,PUDUCHERRY,1
