ROWID,Country,State LGD Code,State,City,SourceYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
5583,India,36,Telangana,Tandur,2021,39.52,9.34,4.9,619,619,19,2021,"Calendar Year (Jan - Dec), 2021"
5584,India,28,Andhra Pradesh,Tangellamudi (CT),2021,0.73,0.07,0.07,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
5585,India,18,Assam,Tangla,2021,12.88,7.7,4.7,513,413,150,2021,"Calendar Year (Jan - Dec), 2021"
5586,India,24,Gujarat,Tantithaiya,2021,7.12,2.08,2.08,88,88,88,2021,"Calendar Year (Jan - Dec), 2021"
5587,India,28,Andhra Pradesh,Tanuku,2021,663.25,306.31,58.76,20383,1798,1461,2021,"Calendar Year (Jan - Dec), 2021"
5588,India,6,Haryana,Taoru,2021,64.11,12.12,1.35,808,227,35,2021,"Calendar Year (Jan - Dec), 2021"
5590,India,19,West Bengal,Tarakeswar,2021,0.21,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5591,India,19,West Bengal,Tarakeswar,2021,36.43,12.62,5.72,831,725,452,2021,"Calendar Year (Jan - Dec), 2021"
5592,India,23,Madhya Pradesh,Tarana,2021,37.05,13.79,8.23,919,919,268,2021,"Calendar Year (Jan - Dec), 2021"
5593,India,8,Rajasthan,Taranagar,2021,2.24,0.73,0.27,48,3,3,2021,"Calendar Year (Jan - Dec), 2021"
5594,India,6,Haryana,Taraori,2021,110.61,23.16,4.17,1536,537,114,2021,"Calendar Year (Jan - Dec), 2021"
5595,India,24,Gujarat,Tarapur,2021,1.15,0.15,0.15,6,6,6,2021,"Calendar Year (Jan - Dec), 2021"
5596,India,21,Odisha,Tarbha,2021,23.71,10.99,6.54,729,656,512,2021,"Calendar Year (Jan - Dec), 2021"
5597,India,23,Madhya Pradesh,Tarichar Kalan,2021,31.91,11.48,5.52,764,764,112,2021,"Calendar Year (Jan - Dec), 2021"
5598,India,29,Karnataka,Tarikere,2021,55.5,16.92,3.58,1132,878,392,2021,"Calendar Year (Jan - Dec), 2021"
5599,India,3,Punjab,Tarn Taran,2021,61.36,29.92,10.38,2092,642,79,2021,"Calendar Year (Jan - Dec), 2021"
5600,India,27,Maharashtra,Tarodi,2021,0.04,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5601,India,27,Maharashtra,Tarodi (Khurd),2021,0.18,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
5602,India,27,Maharashtra,Tarsa,2021,0.07,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5603,India,24,Gujarat,Tarsadi,2021,63.86,18.28,13.65,964,919,731,2021,"Calendar Year (Jan - Dec), 2021"
