ROWID,Country,State LGD Code,State,City,SourceYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
1390,India,28,Andhra Pradesh,Devarapalle,2021,0.03,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1391,India,33,Tamil Nadu,Devarshola,2021,61.8,16.98,5.78,1132,1090,389,2021,"Calendar Year (Jan - Dec), 2021"
1392,India,23,Madhya Pradesh,Devendranagar,2021,35.12,12.56,9.88,837,837,535,2021,"Calendar Year (Jan - Dec), 2021"
1393,India,24,Gujarat,Devgadbaria,2021,41.11,12.02,6.04,725,711,313,2021,"Calendar Year (Jan - Dec), 2021"
1394,India,27,Maharashtra,Devgad-Jamsande,2021,22.47,3.8,0.2,248,8,8,2021,"Calendar Year (Jan - Dec), 2021"
1395,India,22,Chhattisgarh,Devkar,2021,10.87,5.36,2.17,357,230,159,2021,"Calendar Year (Jan - Dec), 2021"
1396,India,9,Uttar Pradesh,Devla,2021,0.05,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1397,India,5,Uttarakhand,Devprayag,2021,1.58,0.54,0.38,36,33,33,2021,"Calendar Year (Jan - Dec), 2021"
1398,India,27,Maharashtra,Devrukh,2021,2.29,0.52,0.17,30,7,7,2021,"Calendar Year (Jan - Dec), 2021"
1399,India,1,Jammu And Kashmir,Devsar,2021,17.54,4.35,1.66,298,248,28,2021,"Calendar Year (Jan - Dec), 2021"
1400,India,28,Andhra Pradesh,Devulapalle,2021,0.08,,,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1401,India,9,Uttar Pradesh,Dewa,2021,20.81,8.89,3.94,589,473,200,2021,"Calendar Year (Jan - Dec), 2021"
1402,India,8,Rajasthan,Dewali,2021,0.2,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1403,India,2,Himachal Pradesh,Dewari,2021,0.06,,,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1404,India,23,Madhya Pradesh,Dewas,2021,581.94,180.84,136.47,10005,10041,6630,2021,"Calendar Year (Jan - Dec), 2021"
1405,India,27,Maharashtra,Dhadgaon-Wadphalya,2021,18.67,5.28,0.03,351,64,1,2021,"Calendar Year (Jan - Dec), 2021"
1406,India,19,West Bengal,Dhadhemna,2021,0.05,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1407,India,10,Bihar,Dhaka,2021,340.57,91.21,22.42,6080,2478,676,2021,"Calendar Year (Jan - Dec), 2021"
1408,India,9,Uttar Pradesh,Dhakiya,2021,18.39,7.26,,484,317,0,2021,"Calendar Year (Jan - Dec), 2021"
1409,India,18,Assam,Dhakuakhana,2021,23.31,13.28,8.65,886,812,116,2021,"Calendar Year (Jan - Dec), 2021"
1410,India,33,Tamil Nadu,Dhali,2021,4.28,2.22,1.01,148,148,73,2021,"Calendar Year (Jan - Dec), 2021"
1411,India,33,Tamil Nadu,Dhaliyur,2021,13.24,5.15,2.9,334,332,176,2021,"Calendar Year (Jan - Dec), 2021"
1412,India,21,Odisha,Dhamanagar,2021,36.38,18.01,7.4,1198,969,605,2021,"Calendar Year (Jan - Dec), 2021"
1413,India,22,Chhattisgarh,Dhamdha,2021,22.24,8.82,4.55,583,384,240,2021,"Calendar Year (Jan - Dec), 2021"
1414,India,23,Madhya Pradesh,Dhamnod,2021,26.69,10.02,7.21,669,658,539,2021,"Calendar Year (Jan - Dec), 2021"
1415,India,23,Madhya Pradesh,Dhamnod,2021,56.19,18.87,14.21,1254,1253,756,2021,"Calendar Year (Jan - Dec), 2021"
1416,India,9,Uttar Pradesh,Dhampur,2021,56.36,27.14,12.64,1811,1376,384,2021,"Calendar Year (Jan - Dec), 2021"
1417,India,22,Chhattisgarh,Dhamtari,2021,132.45,51.44,28.32,3422,3005,1696,2021,"Calendar Year (Jan - Dec), 2021"
1418,India,6,Haryana,Dhana,2021,0.64,0.07,0.07,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
1419,India,3,Punjab,Dhanaula,2021,5.89,2.46,0.59,163,53,9,2021,"Calendar Year (Jan - Dec), 2021"
1420,India,9,Uttar Pradesh,Dhanaura,2021,44.5,17.21,7.77,1146,870,434,2021,"Calendar Year (Jan - Dec), 2021"
1421,India,20,Jharkhand,Dhanbad,2021,1475.79,292.46,227.36,17928,14702,8498,2021,"Calendar Year (Jan - Dec), 2021"
1422,India,24,Gujarat,Dhandha,2021,0.18,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1423,India,24,Gujarat,Dhandhuka,2021,39.84,11.54,4.76,734,806,171,2021,"Calendar Year (Jan - Dec), 2021"
1424,India,24,Gujarat,Dhanera,2021,48.34,13.45,6.6,830,775,312,2021,"Calendar Year (Jan - Dec), 2021"
1425,India,8,Rajasthan,Dhani Deomand,2021,0.06,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1426,India,6,Haryana,Dhankot,2021,0.15,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1427,India,23,Madhya Pradesh,Dhannad,2021,1.22,0.23,0.23,16,16,16,2021,"Calendar Year (Jan - Dec), 2021"
1428,India,27,Maharashtra,Dhanora,2021,13.56,3.51,,234,2,0,2021,"Calendar Year (Jan - Dec), 2021"
1429,India,27,Maharashtra,Dhanore,2021,0.28,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1430,India,27,Maharashtra,Dhanore,2021,0.99,0.07,0.07,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
1431,India,23,Madhya Pradesh,Dhanpuri,2021,44.24,16.96,8.65,1128,1127,412,2021,"Calendar Year (Jan - Dec), 2021"
1432,India,20,Jharkhand,Dhanvar,2021,0.1,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1433,India,23,Madhya Pradesh,Dhar,2021,231.52,60.35,42.15,3797,3797,2062,2021,"Calendar Year (Jan - Dec), 2021"
1434,India,21,Odisha,Dharamgarh,2021,25.84,12.85,6.59,856,767,315,2021,"Calendar Year (Jan - Dec), 2021"
1435,India,22,Chhattisgarh,Dharamjaigarh,2021,34.46,16.72,14.09,1116,850,329,2021,"Calendar Year (Jan - Dec), 2021"
1436,India,3,Punjab,Dharamkot,2021,6.91,3.15,0.39,212,59,5,2021,"Calendar Year (Jan - Dec), 2021"
1437,India,6,Haryana,Dharampur,2021,0.08,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1438,India,2,Himachal Pradesh,Dharampur,2021,0.15,0.03,0.03,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
1439,India,24,Gujarat,Dharampur,2021,51.91,17.83,7.43,1159,794,314,2021,"Calendar Year (Jan - Dec), 2021"
1440,India,23,Madhya Pradesh,Dharampuri,2021,109.16,41.06,19.57,2730,1908,622,2021,"Calendar Year (Jan - Dec), 2021"
1441,India,27,Maharashtra,Dharangaon,2021,12.41,3.06,1.71,199,98,66,2021,"Calendar Year (Jan - Dec), 2021"
1442,India,28,Andhra Pradesh,Dharanikota,2021,0.6,0.02,0.02,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
1443,India,33,Tamil Nadu,Dharapadavedu,2021,8.62,0.39,0.39,24,24,24,2021,"Calendar Year (Jan - Dec), 2021"
1444,India,33,Tamil Nadu,Dharapuram,2021,29.62,11.11,7.2,742,718,370,2021,"Calendar Year (Jan - Dec), 2021"
1445,India,33,Tamil Nadu,Dharasuram,2021,4.92,2.18,1.71,145,128,60,2021,"Calendar Year (Jan - Dec), 2021"
1446,India,5,Uttarakhand,Dharchula,2021,1.7,0.48,0.1,32,10,3,2021,"Calendar Year (Jan - Dec), 2021"
1447,India,3,Punjab,Dhariwal,2021,8.41,4.07,1.37,287,265,44,2021,"Calendar Year (Jan - Dec), 2021"
1448,India,27,Maharashtra,Dharmabad,2021,55.28,12.2,3.24,807,228,55,2021,"Calendar Year (Jan - Dec), 2021"
1449,India,16,Tripura,Dharmanagar,2021,121.66,66.96,28.68,4465,2367,1739,2021,"Calendar Year (Jan - Dec), 2021"
1450,India,33,Tamil Nadu,Dharmapuram,2021,0.33,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
1451,India,27,Maharashtra,Dharmapuri,2021,0.06,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1452,India,33,Tamil Nadu,Dharmapuri,2021,611.34,123.42,17.6,8198,2908,1046,2021,"Calendar Year (Jan - Dec), 2021"
1453,India,28,Andhra Pradesh,Dharmavaram,2021,835.99,287.07,146.57,19139,4786,2709,2021,"Calendar Year (Jan - Dec), 2021"
1454,India,2,Himachal Pradesh,Dharmsala,2021,58.09,18.98,14.42,1269,973,379,2021,"Calendar Year (Jan - Dec), 2021"
1455,India,27,Maharashtra,Dharni,2021,7.69,1.87,0.16,122,31,8,2021,"Calendar Year (Jan - Dec), 2021"
1456,India,6,Haryana,Dharuhera,2021,282.22,19.59,11.14,1284,767,662,2021,"Calendar Year (Jan - Dec), 2021"
1457,India,27,Maharashtra,Dharur,2021,14.72,4.1,0.08,273,39,5,2021,"Calendar Year (Jan - Dec), 2021"
1458,India,9,Uttar Pradesh,Dhaulana,2021,0.29,0.07,0.07,5,5,5,2021,"Calendar Year (Jan - Dec), 2021"
1459,India,8,Rajasthan,Dhaulpur,2021,3.76,0.5,0.5,30,30,30,2021,"Calendar Year (Jan - Dec), 2021"
1460,India,9,Uttar Pradesh,Dhaura Tanda,2021,26.07,10.48,4.65,699,638,360,2021,"Calendar Year (Jan - Dec), 2021"
1461,India,9,Uttar Pradesh,Dhaurehra,2021,54.62,25.38,13.79,1692,1619,823,2021,"Calendar Year (Jan - Dec), 2021"
1462,India,27,Maharashtra,Dhavadi,2021,0.07,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1463,India,27,Maharashtra,Dhayri,2021,31.79,6.36,6.36,272,272,272,2021,"Calendar Year (Jan - Dec), 2021"
1464,India,18,Assam,Dhekiajuli,2021,18.69,9.6,6.13,637,497,180,2021,"Calendar Year (Jan - Dec), 2021"
1465,India,18,Assam,Dhemaji,2021,111.59,57.69,23.63,3846,2242,200,2021,"Calendar Year (Jan - Dec), 2021"
1466,India,21,Odisha,Dhenkanal,2021,131.04,61.31,33.98,4081,2699,1908,2021,"Calendar Year (Jan - Dec), 2021"
1467,India,3,Punjab,Dhilwan,2021,4.54,2.24,0.33,151,51,12,2021,"Calendar Year (Jan - Dec), 2021"
1468,India,24,Gujarat,Dhinchda,2021,0.92,0.18,0.18,8,8,8,2021,"Calendar Year (Jan - Dec), 2021"
1469,India,18,Assam,Dhing,2021,36.03,19.26,14.47,1284,1111,523,2021,"Calendar Year (Jan - Dec), 2021"
1470,India,8,Rajasthan,Dholi Doob,2021,0.2,0.02,0.02,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
1471,India,24,Gujarat,Dholka,2021,91.92,22.84,16.0,1219,978,579,2021,"Calendar Year (Jan - Dec), 2021"
1472,India,8,Rajasthan,Dhol Ki Pati,2021,0.1,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1473,India,28,Andhra Pradesh,Dhone,2021,434.85,196.66,26.24,13109,1720,1093,2021,"Calendar Year (Jan - Dec), 2021"
1474,India,9,Uttar Pradesh,Dhoom Manikpur,2021,0.16,0.05,0.05,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
1475,India,24,Gujarat,Dhoraji,2021,32.8,8.79,5.8,511,504,240,2021,"Calendar Year (Jan - Dec), 2021"
1476,India,24,Gujarat,Dhoran Paradi,2021,0.1,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1477,India,24,Gujarat,Dhrangadhra,2021,75.46,21.93,11.74,1329,1144,405,2021,"Calendar Year (Jan - Dec), 2021"
1478,India,24,Gujarat,Dhrol,2021,49.46,15.12,8.01,906,880,406,2021,"Calendar Year (Jan - Dec), 2021"
1479,India,18,Assam,Dhubri,2021,217.83,109.26,56.55,7280,5675,1456,2021,"Calendar Year (Jan - Dec), 2021"
1480,India,27,Maharashtra,Dhule,2021,297.75,45.89,27.67,2695,2307,1803,2021,"Calendar Year (Jan - Dec), 2021"
1481,India,19,West Bengal,Dhulian,2021,439.0,162.63,73.02,10840,7003,1932,2021,"Calendar Year (Jan - Dec), 2021"
1482,India,6,Haryana,Dhumaspur,2021,0.2,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1483,India,19,West Bengal,Dhupguri,2021,328.91,121.12,40.11,8066,3702,2864,2021,"Calendar Year (Jan - Dec), 2021"
1484,India,28,Andhra Pradesh,Dhuppalapudi,2021,0.25,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1485,India,3,Punjab,Dhuri,2021,15.4,6.12,1.7,415,181,63,2021,"Calendar Year (Jan - Dec), 2021"
1486,India,19,West Bengal,Diamond Harbour,2021,85.5,29.11,14.51,1915,2064,1112,2021,"Calendar Year (Jan - Dec), 2021"
1487,India,9,Uttar Pradesh,Dibai,2021,109.23,44.79,20.42,2986,2584,1278,2021,"Calendar Year (Jan - Dec), 2021"
1488,India,9,Uttar Pradesh,Dibiyapur,2021,16.47,7.17,2.15,477,308,112,2021,"Calendar Year (Jan - Dec), 2021"
1489,India,18,Assam,Dibrugarh,2021,135.96,58.77,26.43,3895,1550,229,2021,"Calendar Year (Jan - Dec), 2021"
1490,India,5,Uttarakhand,Didihat,2021,0.04,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1491,India,8,Rajasthan,Didwana,2021,4.69,0.49,0.47,26,25,25,2021,"Calendar Year (Jan - Dec), 2021"
1492,India,21,Odisha,Digapahandi,2021,25.65,6.28,4.21,407,389,325,2021,"Calendar Year (Jan - Dec), 2021"
1493,India,8,Rajasthan,Digari,2021,0.73,0.09,0.09,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
1494,India,18,Assam,Digboi,2021,12.75,6.73,5.39,449,371,79,2021,"Calendar Year (Jan - Dec), 2021"
1495,India,27,Maharashtra,Digdoh (Devi),2021,0.07,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1496,India,27,Maharashtra,Digdoh (Pande),2021,0.59,0.09,0.09,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
1497,India,27,Maharashtra,Dighori (BK),2021,1.28,0.21,0.21,9,9,9,2021,"Calendar Year (Jan - Dec), 2021"
1498,India,10,Bihar,Dighwara,2021,172.06,52.36,14.37,3489,1506,190,2021,"Calendar Year (Jan - Dec), 2021"
1499,India,27,Maharashtra,Digras,2021,105.99,22.24,5.61,1439,1026,899,2021,"Calendar Year (Jan - Dec), 2021"
1500,India,23,Madhya Pradesh,Diken,2021,44.0,11.22,8.55,751,771,482,2021,"Calendar Year (Jan - Dec), 2021"
1501,India,9,Uttar Pradesh,Dildarnagar Fatehpur Bazar,2021,17.2,7.52,4.25,508,353,160,2021,"Calendar Year (Jan - Dec), 2021"
1502,India,13,Nagaland,Dimapur,2021,115.43,76.56,30.74,5102,4738,2209,2021,"Calendar Year (Jan - Dec), 2021"
1503,India,3,Punjab,Dina Nagar,2021,5.17,2.09,0.56,146,79,35,2021,"Calendar Year (Jan - Dec), 2021"
1504,India,10,Bihar,Dinapur Cantonment,2021,101.36,8.56,8.56,399,399,399,2021,"Calendar Year (Jan - Dec), 2021"
1505,India,10,Bihar,Dinapur Nizamat,2021,107.8,18.44,9.51,1161,227,201,2021,"Calendar Year (Jan - Dec), 2021"
1506,India,33,Tamil Nadu,Dindigul,2021,300.37,67.53,38.38,4316,2912,1698,2021,"Calendar Year (Jan - Dec), 2021"
1507,India,27,Maharashtra,Dindori,2021,24.67,4.84,3.64,229,171,150,2021,"Calendar Year (Jan - Dec), 2021"
1508,India,23,Madhya Pradesh,Dindori,2021,62.62,18.67,13.18,1247,1133,837,2021,"Calendar Year (Jan - Dec), 2021"
1509,India,5,Uttarakhand,Dineshpur,2021,43.15,18.28,9.93,1221,1251,672,2021,"Calendar Year (Jan - Dec), 2021"
1510,India,19,West Bengal,Dinhata,2021,105.46,38.0,20.27,2521,2009,860,2021,"Calendar Year (Jan - Dec), 2021"
1511,India,18,Assam,Diphu,2021,83.75,46.98,24.8,3132,1475,233,2021,"Calendar Year (Jan - Dec), 2021"
1512,India,22,Chhattisgarh,Dipka,2021,2.63,1.25,0.78,83,69,64,2021,"Calendar Year (Jan - Dec), 2021"
1513,India,12,Arunachal Pradesh,Dirang,2021,15.8,12.29,12.29,320,320,0,2021,"Calendar Year (Jan - Dec), 2021"
1514,India,3,Punjab,Dirba,2021,9.31,2.67,0.75,179,102,37,2021,"Calendar Year (Jan - Dec), 2021"
1515,India,38,The Dadra And Nagar Haveli And Daman And Diu,Diu,2021,14.16,5.6,2.71,370,80,78,2021,"Calendar Year (Jan - Dec), 2021"
1516,India,8,Rajasthan,Diwakari (CT),2021,0.18,0.03,0.03,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
1517,India,18,Assam,Doboka,2021,10.54,6.21,3.91,414,395,186,2021,"Calendar Year (Jan - Dec), 2021"
1518,India,1,Jammu And Kashmir,Doda,2021,22.68,7.36,2.61,493,370,105,2021,"Calendar Year (Jan - Dec), 2021"
1519,India,29,Karnataka,Dod Ballapur,2021,99.26,32.06,9.83,2092,1858,935,2021,"Calendar Year (Jan - Dec), 2021"
1520,India,24,Gujarat,Dodka,2021,0.09,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1521,India,5,Uttarakhand,Dogadda,2021,0.35,0.12,0.02,8,4,1,2021,"Calendar Year (Jan - Dec), 2021"
1522,India,9,Uttar Pradesh,Doghat,2021,51.83,21.0,7.12,1399,1304,453,2021,"Calendar Year (Jan - Dec), 2021"
1523,India,9,Uttar Pradesh,Dohrighat,2021,17.95,8.28,3.3,552,352,210,2021,"Calendar Year (Jan - Dec), 2021"
1524,India,5,Uttarakhand,Doiwala,2021,4.6,1.0,0.69,64,64,32,2021,"Calendar Year (Jan - Dec), 2021"
1525,India,18,Assam,Dokmoka,2021,11.09,6.26,3.1,417,201,33,2021,"Calendar Year (Jan - Dec), 2021"
1526,India,9,Uttar Pradesh,Domariyaganj,2021,85.72,33.82,11.2,2255,1231,610,2021,"Calendar Year (Jan - Dec), 2021"
1527,India,20,Jharkhand,Domchanch,2021,36.86,15.27,11.53,1018,926,20,2021,"Calendar Year (Jan - Dec), 2021"
1528,India,19,West Bengal,Domkal,2021,57.03,20.68,13.96,1374,1374,1368,2021,"Calendar Year (Jan - Dec), 2021"
1529,India,27,Maharashtra,Dondaicha-Warwade,2021,48.67,10.07,1.29,668,1027,828,2021,"Calendar Year (Jan - Dec), 2021"
1530,India,28,Andhra Pradesh,Done Atkuru (OG),2021,0.16,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1531,India,22,Chhattisgarh,Dongargaon,2021,22.97,10.59,5.66,703,852,627,2021,"Calendar Year (Jan - Dec), 2021"
1532,India,22,Chhattisgarh,Dongargarh,2021,90.72,43.13,19.34,2875,1997,1363,2021,"Calendar Year (Jan - Dec), 2021"
1533,India,23,Madhya Pradesh,Dongar Parasia,2021,18.96,5.61,3.23,370,370,257,2021,"Calendar Year (Jan - Dec), 2021"
1534,India,18,Assam,Donkamokam,2021,7.65,3.98,2.09,265,249,40,2021,"Calendar Year (Jan - Dec), 2021"
1535,India,8,Rajasthan,Doomara,2021,0.42,0.04,0.04,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
1536,India,18,Assam,Doom Dooma,2021,2.99,1.62,1.3,108,79,1,2021,"Calendar Year (Jan - Dec), 2021"
1537,India,1,Jammu And Kashmir,Dooru Verinag,2021,41.33,10.61,2.46,708,445,90,2021,"Calendar Year (Jan - Dec), 2021"
1538,India,3,Punjab,Doraha,2021,5.28,1.64,0.82,110,102,54,2021,"Calendar Year (Jan - Dec), 2021"
1539,India,8,Rajasthan,Dorai,2021,0.57,0.06,0.06,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
1540,India,22,Chhattisgarh,Dornapal,2021,7.12,3.38,4.68,225,176,104,2021,"Calendar Year (Jan - Dec), 2021"
1541,India,1,Jammu And Kashmir,Dosala,2021,0.88,0.17,0.17,7,7,7,2021,"Calendar Year (Jan - Dec), 2021"
1542,India,9,Uttar Pradesh,Dostpur,2021,67.06,29.79,9.59,1986,1324,480,2021,"Calendar Year (Jan - Dec), 2021"
1543,India,22,Chhattisgarh,Doundi,2021,22.37,10.8,4.19,720,472,304,2021,"Calendar Year (Jan - Dec), 2021"
1544,India,28,Andhra Pradesh,Dowlaiswaram,2021,0.51,0.04,0.04,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
1545,India,36,Telangana,Dubbaka,2021,66.25,16.43,6.0,1095,1020,830,2021,"Calendar Year (Jan - Dec), 2021"
1546,India,19,West Bengal,Dubrajpur,2021,86.29,31.74,21.06,2113,1775,1278,2021,"Calendar Year (Jan - Dec), 2021"
1547,India,27,Maharashtra,Dudhani,2021,13.55,3.6,0.7,237,63,14,2021,"Calendar Year (Jan - Dec), 2021"
1548,India,9,Uttar Pradesh,Dudhi,2021,139.13,54.72,19.38,3648,2952,2173,2021,"Calendar Year (Jan - Dec), 2021"
1549,India,28,Andhra Pradesh,Duggirala,2021,0.22,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1550,India,28,Andhra Pradesh,Duggirala,2021,0.27,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1551,India,24,Gujarat,Dumad,2021,0.12,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1552,India,19,West Bengal,Dum Dum,2021,134.34,22.46,19.13,1185,969,703,2021,"Calendar Year (Jan - Dec), 2021"
1553,India,20,Jharkhand,Dumka,2021,67.4,25.6,18.3,1706,1520,1065,2021,"Calendar Year (Jan - Dec), 2021"
1554,India,12,Arunachal Pradesh,Dumporijo,2021,2.54,0.63,0.25,42,28,13,2021,"Calendar Year (Jan - Dec), 2021"
1555,India,10,Bihar,Dumra,2021,31.43,9.84,4.55,652,288,188,2021,"Calendar Year (Jan - Dec), 2021"
1556,India,10,Bihar,Dumraon,2021,86.96,26.34,10.97,1755,996,582,2021,"Calendar Year (Jan - Dec), 2021"
1557,India,8,Rajasthan,Dungargarh,2021,2.09,0.37,0.26,23,12,12,2021,"Calendar Year (Jan - Dec), 2021"
1558,India,8,Rajasthan,Dungarpur,2021,27.85,6.28,3.65,385,373,101,2021,"Calendar Year (Jan - Dec), 2021"
1559,India,24,Gujarat,Dungra,2021,0.38,0.1,0.1,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
1560,India,28,Andhra Pradesh,Duppada,2021,0.05,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1561,India,28,Andhra Pradesh,Duppituru (Including Atchutapuram Hamlet),2021,0.44,0.06,0.06,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
1562,India,22,Chhattisgarh,Durg,2021,498.64,126.2,71.47,7961,6373,3387,2021,"Calendar Year (Jan - Dec), 2021"
1563,India,19,West Bengal,Durgapur,2021,1.43,0.12,0.12,5,5,5,2021,"Calendar Year (Jan - Dec), 2021"
1564,India,19,West Bengal,Durgapur,2021,438.7,92.91,40.01,5667,2751,1547,2021,"Calendar Year (Jan - Dec), 2021"
1565,India,28,Andhra Pradesh,Duvva,2021,1.07,0.1,0.1,5,5,5,2021,"Calendar Year (Jan - Dec), 2021"
1566,India,5,Uttarakhand,Dwarahat,2021,2.14,0.77,0.19,52,24,24,2021,"Calendar Year (Jan - Dec), 2021"
1567,India,28,Andhra Pradesh,Dwarapudi,2021,0.16,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1568,India,24,Gujarat,Dwarka,2021,18.98,5.61,3.11,331,298,88,2021,"Calendar Year (Jan - Dec), 2021"
1569,India,8,Rajasthan,Dwarkapura,2021,0.1,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1570,India,7,Delhi,East Delhi MCD,2021,297.32,30.27,30.27,1340,1340,1340,2021,"Calendar Year (Jan - Dec), 2021"
1571,India,13,Nagaland,East Dimapur,2021,11.37,4.44,0.74,296,102,0,2021,"Calendar Year (Jan - Dec), 2021"
1572,India,33,Tamil Nadu,Edaganasalai,2021,54.07,24.24,15.84,1617,1617,755,2021,"Calendar Year (Jan - Dec), 2021"
1573,India,33,Tamil Nadu,Edaicode,2021,15.66,5.4,2.72,363,363,289,2021,"Calendar Year (Jan - Dec), 2021"
1574,India,33,Tamil Nadu,Edakalinadu,2021,101.49,48.33,32.56,3222,3190,401,2021,"Calendar Year (Jan - Dec), 2021"
1575,India,33,Tamil Nadu,Edappadi,2021,91.05,34.32,28.47,2289,2251,1469,2021,"Calendar Year (Jan - Dec), 2021"
1576,India,32,Kerala,Edathala (CT),2021,2.4,0.2,0.2,9,9,9,2021,"Calendar Year (Jan - Dec), 2021"
1577,India,32,Kerala,Edavanakkad,2021,0.08,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1578,India,28,Andhra Pradesh,Edlapadu,2021,9.93,5.96,2.62,397,110,18,2021,"Calendar Year (Jan - Dec), 2021"
1579,India,28,Andhra Pradesh,Edupugallu,2021,5.32,0.42,0.42,18,18,18,2021,"Calendar Year (Jan - Dec), 2021"
1580,India,33,Tamil Nadu,Egattur,2021,0.07,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1581,India,19,West Bengal,Egra,2021,144.06,52.45,25.28,3491,2212,1571,2021,"Calendar Year (Jan - Dec), 2021"
1582,India,33,Tamil Nadu,Egumadurai,2021,0.2,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1583,India,9,Uttar Pradesh,Eka,2021,130.3,58.17,9.63,3878,1687,959,2021,"Calendar Year (Jan - Dec), 2021"
1584,India,9,Uttar Pradesh,Ekdil,2021,47.81,21.38,11.61,1425,1252,955,2021,"Calendar Year (Jan - Dec), 2021"
1585,India,10,Bihar,Ekma Bazar,2021,82.06,24.56,10.86,1637,499,206,2021,"Calendar Year (Jan - Dec), 2021"
1586,India,32,Kerala,Elamkunnapuzha (CT),2021,0.89,0.09,0.09,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
1587,India,33,Tamil Nadu,Elanagar,2021,0.08,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
1588,India,33,Tamil Nadu,Elathur,2021,44.87,9.6,4.19,639,639,51,2021,"Calendar Year (Jan - Dec), 2021"
1589,India,6,Haryana,Ellenabad,2021,93.62,19.09,2.62,1270,236,22,2021,"Calendar Year (Jan - Dec), 2021"
1590,India,32,Kerala,Eloor,2021,30.08,5.59,3.93,353,275,242,2021,"Calendar Year (Jan - Dec), 2021"
1591,India,33,Tamil Nadu,Elumalai,2021,20.52,9.83,5.13,653,623,234,2021,"Calendar Year (Jan - Dec), 2021"
1592,India,28,Andhra Pradesh,Eluru,2021,1402.33,466.6,150.11,31055,8488,3347,2021,"Calendar Year (Jan - Dec), 2021"
1593,India,28,Andhra Pradesh,Eluru (R) (Part),2021,0.58,0.07,0.07,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
1594,India,33,Tamil Nadu,Enadur,2021,0.15,,,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
