srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Maximum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Concentration of Nitrogen Dioxide (NO2) (Annual Average),YearCode,Year
2014,Odisha,Cuttack,"Roof of Traffic Tower, Badambadi",102.0,15.0,47.0,32.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Cuttack,P.H.D Office Barabati,101.0,24.0,41.0,31.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Cuttack,"R.O. Cuttack Office, Surya Vihar",102.0,21.0,37.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Rayagada,Regional Office Orissa SPCB,104.0,13.0,29.0,20.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Rayagada,"LPS High School, Jaykaypur",104.0,14.0,26.0,21.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Paradeep,On roof of PPT Staff Quarter,97.0,11.0,17.0,13.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Paradeep,On roof of PPL Gueest,96.0,10.0,14.0,11.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Paradeep,On roof of STP building IFFCO,97.0,7.0,13.0,11.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Rourkela,"Regional Office, ORPB",70.0,6.0,25.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Rourkela,"DISIR, Rajgangpur",61.0,4.5,17.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Rourkela,"IDL Police Outpost, Sonaparbat",70.0,9.0,11.0,10.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Sambalpur,"Filter Plant, PHD Office, Modipara",110.0,13.0,19.0,16.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Talcher,Coal Field Area,103.0,20.0,27.0,24.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Talcher,T.T.P.S.Colony,103.0,18.0,27.0,24.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Konark,Konark Police Station,85.0,5.0,22.0,13.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Jharsuguda,R. O Building Cox colony,38.0,16.0,24.0,19.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Kalinga Nagar,Over the Guest House of M/s NINL,104.0,9.0,11.0,10.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Kalinga Nagar,Roof of RO OFFICE BUILDING,61.0,9.0,10.0,10.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Kalinga Nagar,"Roof of maintenance Office of M/s NINL, Duburi",104.0,10.0,12.0,10.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Puducherry,Karaikal,B.Ed College,45.0,5.0,28.0,9.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Puducherry,Karaikal,Tourist home,46.0,6.0,31.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Puducherry,Karaikal,PPCL,49.0,7.0,20.0,13.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Puducherry,Puducherry,"DSTC Office Upstairs, AnnaNagar",80.0,10.0,15.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Puducherry,Puducherry,PIPDIC Ind. Estate Mettupalayam,88.0,11.0,17.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Puducherry,Puducherry,Chamber Of Commerce,89.0,9.0,16.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Amritsar,R.O. Focal Point,86.0,33.0,50.0,41.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Amritsar,"A1,Platers",68.0,33.0,66.0,40.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Bhatinda,"Bathinda Milk Producers, Dabwali Road",109.0,10.0,27.0,17.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Dera Bassi,"Punjab Chem and Crop Protection, Bhanakarpur Rd",128.0,10.0,36.0,16.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Dera Bassi,"Winsome Yarns Ltd., Barwala Road",128.0,10.0,35.0,15.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Faridkot,Basti Himmatpura,71.0,10.0,17.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Pathankot/Dera Baba,CPYTE Building,118.0,11.0,23.0,13.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Gobindgarh,"Modi Oil and General Mills, Mandi",129.0,29.0,44.0,37.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Gobindgarh,"Raj Steel Rolling Mills, Mandi",132.0,23.0,44.0,35.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,Jublee Hills,104.0,14.0,33.0,20.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Gobindgarh,"United Rolling Mills, Mandi Gobindgarh",130.0,27.0,45.0,37.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Jalandhar,Municipal Council Tubewell No. 27,120.0,20.0,29.0,25.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Jalandhar,Regional Office,100.0,20.0,28.0,24.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Jalandhar,"Punjab Maltex , Kapurthala Road",129.0,23.0,32.0,28.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Jalandhar,Focal Point,91.0,24.0,33.0,28.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Khanna,"Markfed Vanaspati, Khanna",129.0,13.0,34.0,22.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Khanna,"AS School, Khanna",123.0,15.0,51.0,23.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Ludhiana,Bharat Nagar Chowk,128.0,14.0,33.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Ludhiana,"Nahar Spining Mlls, Dholewal Chawk",129.0,22.0,78.0,29.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Ludhiana,"Ludhiana Coop. Milk Producer, Ferozpur Rd",119.0,11.0,33.0,22.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Ludhiana,"PPCB Office Building, Vishavkarma Chowk",132.0,15.0,34.0,26.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Naya Nangal,Punjab Alkalis & Chemicals Ltd,106.0,10.0,22.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Naya Nangal,"M/s NFL Guest House,Naya Nangal",124.0,10.0,22.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Patiala,"Ceylon Industries, Factory Area, Patiala",118.0,10.0,20.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Patiala,"Fire Brigade Station, Bahera Road, Patiala",119.0,10.0,19.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Sangrur,Gurdwara Gangsar Sahib,131.0,10.0,18.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Hoshiarpur,Hoshiarpur,59.0,9.0,22.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Punjab,Rasulpur,Rasulpur,36.0,7.0,15.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Alwar,Rajasthan State Pollution Control Board,104.0,16.0,27.0,20.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Alwar,Gaurav Solvex Ltd. MIA,104.0,17.0,27.0,24.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Alwar,"RIICO Pump House, MIA",103.0,17.0,55.0,24.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jaipur,Ajmeri Gate,102.0,23.0,90.0,41.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jaipur,"RJPB Office,Jhalana Doongari",98.0,21.0,876.0,48.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jaipur,"District Education Officer, Chandpole",87.0,22.0,76.0,42.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jaipur,"RIICO Office, M.I.A.",98.0,21.0,56.0,39.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Rajasthan,Jaipur,"RSPCB, Vidyadhar Nagar",112.0,21.0,64.0,44.0,2014,"Calendar Year (Jan - Dec), 2014"
