srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Maximum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Concentration of Nitrogen Dioxide (NO2) (Annual Average),YearCode,Year
2014,Maharashtra,Navi Mumbai,"MPCB Lab, Mhape, TTC",91.0,22.0,60.0,40.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Navi Mumbai,CIDCO Nodal Office Kharghar,90.0,17.0,54.0,38.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Navi Mumbai,"Water Pump House, Panvel, Taloja",97.0,15.0,57.0,38.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Navi Mumbai,"MIDC Collom Facility Building, Taloja",96.0,25.0,61.0,43.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Pune,"Maratha Chamber of commerce, Bhosari",100.0,16.0,83.0,39.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Pune,State Electricity Board BLDG Nalstop,96.0,15.0,92.0,46.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Pune,Swargate Police Chawki,99.0,16.0,105.0,50.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,PimpriChinchwad,"Bank of Baroda Builing, Near PimpriChinchwad M.C Builiding",293.0,16.0,95.0,41.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Sangli,"Udyog bhavan / SRO, MPCB Sangli",95.0,15.0,92.0,43.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Sangli,Sangli Miraj Primary school Building,95.0,19.0,110.0,48.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Sangli,Krishna Valley School,96.0,19.0,96.0,43.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Solapur,WIT Campus,105.0,23.0,37.0,34.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Solapur,Voronoko School / Chitale Clinic,103.0,31.0,38.0,35.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Thane,"Maternity Hospital, Dhobighat, Thane East",95.0,39.0,76.0,61.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Thane,"Shahu Market,Naupada, Thane West",98.0,45.0,75.0,62.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Thane,"Kolshet and Balkum, Thane West",97.0,38.0,76.0,58.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Ulhasnagar,Smt. C. H. M. College Campus,96.0,19.0,118.0,45.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Ulhasnagar,"Octroi Naka, PawaiChowk, Vithalwadi",95.0,26.0,177.0,67.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Jalna,"Bachat Bhawan, Near S P Office",95.0,21.0,36.0,29.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Jalna,"Krishidhan Seeds Ltd, MIDC Area",92.0,19.0,39.0,31.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Akola,"LRT Commerce College, Civil Lines, Akola",92.0,7.0,11.0,8.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Akola,"MIDC Water Work, PhashII, MIDC Akola",91.0,8.0,14.0,11.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Akola,"College Of Engineering & Tech, Akola",89.0,7.0,13.0,10.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Nanded,Ganesh Nagar,97.0,15.0,46.0,26.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Nanded,"Mutha Chowk, Vazirabad",94.0,17.0,44.0,31.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Maharashtra,Nanded,"Industrial Area, MIDC, CIDCO",96.0,31.0,91.0,79.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Meghalaya,Byrnihat,"EPIP, RiBhoi district",70.0,14.0,30.0,20.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Meghalaya,Dawki,"Terrace building,Jaintia Hills District",91.0,5.0,17.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Meghalaya,Tura,"PHED, Araimille, West Garo Hills District",79.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Meghalaya,Nongstoin,"Office Premises of E.E, PHED, Nongstoin Division",92.0,5.0,11.0,10.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad",102.0,5.0,7.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2021,Haryana,Kaithal,,,,,17.0,2021,"Calendar Year (Jan - Dec), 2021"
2014,Meghalaya,Shillong,State Tuberculosis Hospital,90.0,8.0,26.0,16.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Meghalaya,khliehriat,"O/o BDO, C & R.D. BlockKhliehriat",85.0,5.0,6.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Aizawl,"Khatla, M.GRoad, Mizoram SPCB",104.0,5.0,7.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Aizawl,Laipuitlang,104.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Aizawl,Bawngkawn,104.0,5.0,15.0,9.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Aizawl,"Dawrpui Y.M.A, Building, Dawrpui",104.0,5.0,36.0,13.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Aizawl,"Lengpui Airport, Model Veng, Lengpui",104.0,5.0,6.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Lunglei,"Thangkhuma Building, Salem Veng",102.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Lunglei,"K.Lalliantluanga, Chanmari I, Lunglei",105.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Kolasib,"H. Lalthuama Building, Project Veng",104.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Kolasib,"Synod Bookroom, Building Diakkawn",103.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Champhai,"D.T.O Office Building, Kahrawt veng",104.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Mizoram,Champhai,"Lalzidinga building, Vengthlang",102.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Nagaland,Dimapur,Bank Colony,96.0,5.0,8.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Nagaland,Dimapur,Dhobinala,95.0,5.0,8.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Nagaland,Kohima,Opposite NST Office,98.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Nagaland,Kohima,Opposite War Cemetery,98.0,5.0,5.0,5.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Angul,Industrial Estate,104.0,13.0,31.0,23.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Angul,NALCO Township,104.0,12.0,31.0,22.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Balasore,Sahadevkhunta,102.0,10.0,15.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Balasore,DIC office,61.0,10.5,14.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Balasore,Rasalpur near Balgopalpur I/A,53.0,10.0,16.0,13.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Berhampur,Regional Office Orissa SPCB,104.0,12.0,24.0,17.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Puri,Sadar police station,66.0,9.0,37.0,17.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Puri,"TOWN POLICE STATION, PURI",64.0,10.0,25.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Bhubneshwar,Capital Police Station,74.0,9.0,52.0,21.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Bhubneshwar,IRC Village,37.0,10.0,30.0,17.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Bhubneshwar,Office Premises Bhubaneswar,77.0,11.0,40.0,20.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Bhubneshwar,"Patrapara, Khandagiri",52.0,9.0,48.0,17.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Odisha,Bhubneshwar,Chandrashekharpur,45.0,11.0,26.0,16.0,2014,"Calendar Year (Jan - Dec), 2014"
