ROWID,Country,State LGD Code,State,YearCode,Year,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average)
1250,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Khurja,Central Glass & Ceramic Research Institute,94.0,22.0,27.0,24.0
1251,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Lucknow,Aminabad / S.M.K Chowk,77.0,6.0,23.0,9.0
1252,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Lucknow,"Ansal Technical Institute Campus, Ansal API",56.0,6.0,11.0,8.0
1253,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Lucknow,"Chandganj Garden, Aliganj",69.0,5.0,10.0,8.0
1254,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Lucknow,"Kapoor Hotel, Hazratganj",64.0,6.0,15.0,9.0
1255,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Lucknow,Mahanagar,53.0,6.0,23.0,9.0
1256,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Lucknow,Nagar Nigam,70.0,5.0,12.0,8.0
1257,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Lucknow,Talkatora,54.0,6.0,31.0,9.0
1258,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Lucknow,Vikas Khand,68.0,2.0,2.0,2.0
1259,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Mathura,"CETP, Industrial Area, Mathura",35.0,9.0,28.0,12.0
1260,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",35.0,9.0,15.0,10.0
1261,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Meerut,Begum Bridge,54.0,7.0,7.0,7.0
1262,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Meerut,Thana Railway Road / Kesarganj,54.0,5.0,7.0,6.0
1263,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Moradabad,"Central Police Hospital, Civil Lines",87.0,8.0,35.0,18.0
1264,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Moradabad,"Hindu College, Station Road",85.0,8.0,49.0,24.0
1265,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Noida,GeePee Electroplating and Eng. Work,85.0,6.0,27.0,12.0
1266,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Noida,"UP PPCB, E12/1, Sector  1",89.0,7.0,30.0,12.0
1267,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Raebareli,Amawan Road Ind. Area Raebareli,75.0,9.0,11.0,10.0
1268,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Raebareli,Khoya mandi Tiraha Lucknow Road Raebareli,74.0,13.0,17.0,15.0
1269,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",74.0,7.0,11.0,9.0
1270,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Saharanpur,"SREA, IIT Roorkee, Saharanpur Campus",64.0,11.0,18.0,15.0
1271,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Saharanpur,"UPCL S.E. Office, Near Clock Tower",64.0,13.0,19.0,16.0
1272,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Unnao,"H. No. 5, Krishna Nagar",95.0,6.0,11.0,9.0
1273,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Unnao,"IIA Building, Industrial Area, Site 10",94.0,9.0,11.0,10.0
1274,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Varanasi,BHU,62.0,6.0,14.0,10.0
1275,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Varanasi,Chandpur,60.0,9.0,17.0,12.0
1276,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Varanasi,"Regional Office, Jawahar Nagar",95.0,3.0,26.0,10.0
1277,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Varanasi,Saket Nagar,62.0,7.0,14.0,11.0
1278,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Varanasi,Sigra,83.0,2.0,18.0,9.0
1280,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Agra,Etmaduddaulah,113.0,2.0,13.0,4.0
1281,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Agra,Nunhai,94.0,4.0,9.0,6.0
1282,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Agra,Rambagh,111.0,2.0,21.0,4.0
1283,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Agra,"Regional Office, Bodla",92.0,3.0,7.0,5.0
1284,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Agra,Taj Mahal,299.0,2.0,26.0,4.0
1285,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Allahabad,Alopibagh/Sewage Pumping Stations,117.0,2.0,12.0,4.0
1286,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Allahabad,Bharat Yantra Nigam Ltd,99.0,2.0,15.0,4.0
