srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average),YearCode,Year
2013,Goa,Margao,Margao Town,101.0,4.0,8.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Tilamol,"Quepem, Tilamol",97.0,4.0,14.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Mapusa,Mapusa town,100.0,7.0,12.0,10.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Sanguem,"Near Railway Station at Kalem, Sanguem",98.0,4.0,13.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Ponda,Ponda Town,101.0,4.0,8.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Goa,Kundaim,Kundaim Industrial Estate,100.0,4.0,9.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",20.0,11.0,18.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Ahmedabad,Cadilla Bridge Narol,80.0,11.0,23.0,14.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Ahmedabad,L.D. Engg. College,79.0,8.0,19.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",81.0,9.0,18.0,12.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Ahmedabad,"R.C. Technical High School, Mirzapur",69.0,8.0,18.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Ahmedabad,"Naroda, G.I.D.C.",81.0,9.0,19.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Anklesvar,Rallis India Ltd.,86.0,12.0,19.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",86.0,9.0,20.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Jamnagar,Fisheries Office,77.0,9.0,15.0,12.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Rajkot,Nr. Sardhara Industrial Corporation,77.0,8.0,16.0,12.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Rajkot,GPCB Regional Offce,77.0,7.0,15.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Rajkot,S.V.R. Engg. College,92.0,8.0,16.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Surat,"B.R.C. High School, Udhna",92.0,12.0,24.0,16.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Surat,Near Air India Office,84.0,8.0,15.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Surat,"GPCB Office, Geri Vasahat",81.0,9.0,20.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Vadodara,Dandia Bazaar,81.0,11.0,20.0,14.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Vadodara,CETP Nandesari,81.0,10.0,29.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Vapi,"GEB, IIIrd Phase, GIDC",98.0,9.0,19.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Gujarat,Vapi,"Vapi Nagar Palika, Vapi",98.0,9.0,18.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Haryana,Faridabad,"M/s Escorts Research centre,Mathura Road",43.0,7.0,22.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Haryana,Faridabad,Haryana RO SPCB Sector16A,57.0,5.0,16.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Haryana,Hissar,Urban Estate II,8.0,5.0,8.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
