srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average),YearCode,Year
2018,Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",103.0,6.0,19.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",103.0,5.0,25.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Andhra Pradesh,Vishakhapatnam,Police Barracks,108.0,7.0,20.0,12.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Andhra Pradesh,Vishakhapatnam,"INSVirabahu, Naval Area",104.0,6.0,15.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Andhra Pradesh,Vishakhapatnam,Seethammadhara,103.0,6.0,24.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Andhra Pradesh,Vishakhapatnam,Ganapuram Area,107.0,7.0,29.0,12.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Andhra Pradesh,Vishakhapatnam,"Pedagantyada (V), Gajuwada (M)",102.0,6.0,22.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",105.0,6.0,23.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Andhra Pradesh,Vishakhapatnam,MVP Raitu Bajar,35.0,7.0,19.0,10.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Arunachal Pradesh,Itnagar,PCCF's Office Compound,38.0,2.0,13.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Nagaon,"Water Resources Div., Christian Patty, Nagaon College",99.0,3.0,16.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Nalbari,"PWD Rural Div Office Complex, near Gordon Boy's GS School",99.0,4.0,15.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,North Lakhimpur,"Bazar Patti, North Lakhimpur Town",95.0,5.0,16.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Silchar,"Govt. Boys HS School, Janiganj",90.0,5.0,8.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Silchar,"RLO, Ithkola Market, Ghaniwala Road",89.0,5.0,9.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Sivasagar,Sibasagar Office Building,104.0,4.0,9.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Sivasagar,"Usha Lodge, near ONGCL Colony",103.0,4.0,11.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Tezpur,Tezpur Office Building,99.0,5.0,13.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",100.0,4.0,9.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Tinsukia,"Shreepuria, Borguri",90.0,4.0,10.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Tinsukia,Shivdham,103.0,3.0,9.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Begusarai,Begusarai,102.0,9.0,16.0,12.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Darbhanga,"Smt Baby Kumari, Ashok Hotel,Kadirabad Chowk",104.0,10.0,27.0,16.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Assam,Gaya,"Godam Road, Raja Market",103.0,7.0,16.0,12.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Bihar,Muzaffarpur,"BSPCB Regional Office, Bela Industrial Area, Bela",107.0,10.0,22.0,14.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Bihar,Patna,"Beltron Bhawan, Shastri Nagar",83.0,2.0,13.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Bihar,Patna,"Gandhi Maidan, Auto Exhaust Test Centre",90.0,2.0,36.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Bihar,Rajgir,"Sujkund, Near Samuraji hotel",105.0,7.0,16.0,12.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Bihar,Sasaram,"Takia,Ward no.2, Rhotas",106.0,9.0,16.0,12.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Bihar,Sasaram,"Modern Foods, Industrial Area",138.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Bihar,Sasaram,Sector17 C,145.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chandigarh,Chandigarh,"Punjab Engineering College, Sector 12",145.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chandigarh,Chandigarh,"Sector39, IMTECH",154.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chandigarh,Chandigarh,Kaimbwala Village,140.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chandigarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",96.0,4.0,9.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chandigarh,Bilaspur,"Visak Hostel, Sector4",95.0,7.0,11.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chhattisgarh,DurgBhillainagar,"R.O., 5/32 Banglow Office Building",98.0,3.0,6.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chhattisgarh,DurgBhillainagar,M.P. Laghu Udyog Nigam,93.0,9.0,27.0,10.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chhattisgarh,DurgBhillainagar,"CSIDC Industrial Growth Center, Borai",60.0,9.0,12.0,10.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chhattisgarh,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",98.0,8.0,13.0,10.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chhattisgarh,Korba,"Pragati Nagar NTPC Colony, Jamnipali",98.0,6.0,24.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chhattisgarh,Raipur,"New HIG9, Hirapur/Housing Board Complex Kabir Nagar",49.0,8.0,17.0,12.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Chhattisgarh,Raipur,M/S Wool Worth India Pvt. Ltd. Sarora,59.0,11.0,24.0,15.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Wayanad,Sulthan Bathery,99.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Dadra & Nagar Haveli,Baldevi (Dadra & Nagar Haveli),"Baldevi Village, Athola, Dandul Faliya, Teh:Dadra & Nagar Haveli",103.0,8.0,24.0,18.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Dadra & Nagar Haveli,Silvassa,"Khadoli Industrial Area, Khadoli",99.0,11.0,45.0,31.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Dadra & Nagar Haveli,Silvassa,"Chetan Guest House, Near Post Office, Piperia, silvassa Char Rasta",101.0,10.0,45.0,28.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Daman & Diu,Daman,"Prima Plastic, Kadaiya Industrial Area, Kadaiya",103.0,11.0,40.0,28.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Daman & Diu,Daman,"Mashal Chawk, Nani Daman",99.0,11.0,41.0,26.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Daman & Diu,Patlara (Daman),"Makat Faliya/ Ambavadi, Patlara Village, Moti Daman Teh:Daman",101.0,9.0,34.0,18.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Delhi,Delhi,"N.Y. School, Sarojini Nagar, Delhi",94.0,2.0,26.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Delhi,Delhi,"Naraina Industrial Area, Delhi",94.0,2.0,31.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Delhi,Delhi,Nizamuddin,100.0,4.0,13.0,5.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Delhi,Delhi,Pritampura,118.0,4.0,41.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Delhi,Delhi,Shahadra,102.0,4.0,31.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Delhi,Delhi,Shahzada Bagh,104.0,4.0,21.0,5.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Delhi,Delhi,Siri Fort,106.0,4.0,12.0,5.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",89.0,2.0,22.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Assanora,"Assanora Junction, Bardez",65.0,4.0,12.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Bicholim,Bicholim,64.0,5.0,10.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Codli,"Codli Tisk, Ponda, Sanguem",62.0,4.0,11.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Cuncolim,Cuncolim,50.0,7.0,17.0,11.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Curchorem,"Curchorem, Sanvordem, Quepem",71.0,6.0,13.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Honda,"Honda Junction, Sattari",64.0,5.0,10.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Kundaim,Kundaim Industrial Estate,66.0,5.0,12.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Mapusa,Mapusa town,80.0,2.0,20.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Margao,Margao Town,64.0,5.0,9.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Mormugao,"Fire Brigade Station, Port Trust",62.0,2.0,18.0,5.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Panaji,"Old GSPCB premises, Patto",69.0,2.0,20.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Ponda,Ponda Town,56.0,5.0,11.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Sanguem,"Near Railway Station at Kalem, Sanguem",66.0,5.0,15.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Tilamol,"Quepem, Tilamol",51.0,6.0,12.0,9.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Tuem,Tuem Industrial Estate,64.0,5.0,11.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Usgao,"Usgao Plae, Junction, Ponda",64.0,5.0,11.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Goa,Vasco,"Fuse Call Office, Mormugao",85.0,2.0,17.0,5.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",95.0,10.0,32.0,17.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Ahmedabad,Cadilla Bridge Narol,104.0,9.0,49.0,18.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Ahmedabad,"Bhagavathi Estate, Keval Kanta Road, Rakhiyal",103.0,9.0,38.0,16.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Ahmedabad,"Reliable Products, 61/62 Ilaben estate,PiranaDump Site,Narol (previous Dyno Wash)",104.0,9.0,32.0,18.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Ahmedabad,L.D. Engg. College,104.0,10.0,33.0,15.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",103.0,9.0,32.0,15.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Ahmedabad,"R.C. Technical High School, Mirzapur",104.0,9.0,28.0,14.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Ahmedabad,"AZL Behrampura, Ahmadabad",105.0,9.0,33.0,17.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Ahmedabad,Sola L.T. Chanakyapuri Pumping Station,105.0,8.0,37.0,17.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Anklesvar,Rallis India Ltd.,105.0,10.0,31.0,16.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",103.0,7.0,28.0,16.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Jamnagar,Fisheries Office,105.0,10.0,35.0,17.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Rajkot,Nr. Sardhara Industrial Corporation,104.0,10.0,38.0,19.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Rajkot,GPCB Regional Offce,105.0,10.0,37.0,19.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Surat,S.V.R. Engg. College,105.0,8.0,49.0,19.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Surat,"B.R.C. High School, Udhna",104.0,11.0,65.0,28.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Surat,Near Air India Office,104.0,10.0,50.0,20.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Vadodara,"GPCB Office, Geri Vasahat",104.0,10.0,35.0,19.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Vadodara,"Sterling Gelatin Guest House, VillKarakhadi Padia",104.0,9.0,33.0,15.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Vadodara,Dandia Bazaar,104.0,10.0,42.0,20.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Vadodara,CETP Nandesari,104.0,10.0,43.0,22.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Vadodara,Lubrizol,101.0,10.0,65.0,21.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Vapi,"GEB, IIIrd Phase, GIDC",102.0,9.0,38.0,18.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Gujarat,Vapi,"Vapi Nagar Palika, Vapi",105.0,9.0,29.0,15.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Haryana,Hissar,Urban Estate II,66.0,5.0,14.0,10.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Baddi,Industry Department Office Building,117.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Baddi,AHC barotiwala,118.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Baddi,Housing Board,139.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Damtal,Regional Office,117.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Damtal,Old Road,132.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Dharamshala,Kotwali Bazar Dharamshala,95.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Dharamshala,"Daari, Dharamshala",118.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Gulaba,Behind green tax barrier,15.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,142.0,2.0,4.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Kala Amb,Kala Amb Town/Trilokpur,182.0,2.0,10.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Manali,"Nehru Park, Manali, Kullu",114.0,2.0,5.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Manali,"HPSPCB, Hadimba Road, Manali, Kullu",95.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Marhi,Behind Police check post,12.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Nalagarh,Municipal Council,129.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Paonta Sahib,Paonta Sahib,140.0,2.0,10.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Paonta Sahib,Gondhpur Industrial Area,137.0,2.0,5.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Parwanoo,"Regional Office, Sector 4",130.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Parwanoo,Asst. Commissioner Building Sector I,123.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Shimla,"Bus Stand, Winterfield",145.0,2.0,8.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",138.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Sunder Nagar,"Muncipal Council, NH21, Mandi",119.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Una,"Regional Office, Una",36.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Una,"DIC Building, Mehatpur, Una",15.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Himachal Pradesh,Vashisht,"Behind pollution check barrier, Bhang",24.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jammu & Kashmir,Jammu,"Regional Office, Jammu",98.0,2.0,7.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk",99.0,2.0,8.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jammu & Kashmir,Jammu,Bari Brahamana Industrial Area,101.0,2.0,7.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Barajamda,Barajamda U.M. Office,86.0,11.0,20.0,16.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Dhanbad,R.O. Dhanbad,87.0,11.0,19.0,14.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Dhanbad,"EMTI, Bastacola",75.0,11.0,19.0,14.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Dhanbad,"CGM Office, Kusunda",91.0,12.0,26.0,14.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,93.0,27.0,49.0,37.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Jamshedpur,Golmuri Vehicle Testing Centre,89.0,29.0,43.0,37.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Jharia,M.A.D.A.,101.0,11.0,18.0,14.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",93.0,16.0,21.0,18.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Saraikela,"RO Building, Adityapur",91.0,21.0,46.0,36.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Jharkhand,Sindri,BIT / PDIL,58.0,10.0,22.0,13.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Gulbarga / Kalaburgi,Government Hospital,61.0,2.0,5.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bagalkote,Bagalkote KSPCB Office Premises,84.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bangalore,"Graphite India, White Field Road",83.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bangalore,"AMCO Batteries, Mysore Road",120.0,2.0,4.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bangalore,"KHB Industrial Area, Yelahanka",124.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bangalore,Peenya Industrial Area,85.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bangalore,Victoria hospital,104.0,2.0,5.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bangalore,Yeshwanthpura police station,120.0,2.0,4.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bangalore,"Jnanabharathi, Bangalore University",77.0,2.0,10.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bangalore,"TERI office, Vital Medi healthcare Pvt Ltd",105.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Belgaum,Karnataka SPCB Office Building,79.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bidar,KSPCB Office Premises,45.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Bijapur,KSPCB Office Premises,87.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Chitradurga,KSPCB Office Premises,101.0,2.0,17.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Devanagere,"Regional Office building, KSPCB",94.0,2.0,10.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Devanagere,"HPF Intakewell, Kumarapattnam",105.0,2.0,24.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Hassan,KSRTC bus stand building,104.0,2.0,5.0,4.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,HubliDharwad,"Lakkamanahalli Industrial Area, Dharwad",103.0,4.0,7.0,5.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,HubliDharwad,"Rani Chennamma Circle, Hubli",106.0,4.0,8.0,5.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Kolar,"KSPCB Office Premises, Kolar",95.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Mandya,"KSPCB Building, Bandigowda Badarahe",45.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Mangalore,Baikampady Industrial Area,93.0,4.0,10.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg",103.0,2.0,10.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Raichur,"KSPCB Office Premises, Raichur",106.0,2.0,23.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Shimaga,"The VISL, Oxygen Plant, Shimoga",101.0,2.0,25.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Karnataka,Timukuru,KSPCB Office Premises,103.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Thiruvananthapuram,PRS Hospital/COSMO,88.0,5.0,8.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Thiruvananthapuram,SMV School,86.0,6.0,8.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Thiruvananthapuram,VELI / HiTech Chackai,86.0,11.0,21.0,16.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Thiruvananthapuram,PETTAH / Sasthamangalam,88.0,6.0,9.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Thissur,"KSPCB, District Office, Poonkunnam",108.0,2.0,18.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Alappuzha,"District Office, Alissery Road",98.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Alappuzha,"DC Mills, Pathirappally",88.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kochi,"Eloor I, FACT, Ambalamughal",84.0,2.0,4.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kochi,Eloor II,92.0,2.0,6.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kochi,Irumpanam,106.0,2.0,10.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kochi,Ernakulum South,106.0,2.0,7.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kochi,VYTTILA,106.0,2.0,9.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kochi,MG Road Bank Ernakulum,106.0,2.0,9.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kochi,KALAMASSERY / CSIR Complex,103.0,2.0,10.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kollam,"KSPCB, District Office, Kadappakada",99.0,2.0,3.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kollam,KMML Chavara,96.0,2.0,4.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kottayam,Kottayam,112.0,2.0,4.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kottayam,Vadavathoor,112.0,2.0,5.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kozhikode,Kozhikode City,108.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Kozhikode,Nallalam,109.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Malapuram,"Kakkanchery, Sijmak oils",105.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Palakkad,SEPR Refractories India Ltd.,103.0,2.0,8.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Kerala,Pathanamthitta,"KSPCB, Makkamkunnu",103.0,2.0,2.0,2.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Madhya Pradesh,Naharlagun,APSPCB Office compound,41.0,2.0,9.0,3.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Madhya Pradesh,Bongaigaon,"Oil India Ltd. PS6, Chirang",86.0,3.0,29.0,5.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Madhya Pradesh,Bongaigaon,Barpara Office Building,89.0,3.0,26.0,5.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Madhya Pradesh,Daranga,"BATAD, Sandoop Jhankar town of Bhutan, Baska",98.0,4.0,12.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Madhya Pradesh,Dibrugarh,Dibrugarh Office Building,101.0,3.0,10.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Madhya Pradesh,Golaghat,Golaghat Office Building,100.0,3.0,9.0,6.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Madhya Pradesh,Guwahati,"Head Office, Bamunimaidam",146.0,4.0,23.0,8.0,2018,"Calendar Year (Jan - Dec), 2018"
2018,Madhya Pradesh,Guwahati,"Boragaon, IASST, Kamrup",110.0,4.0,16.0,7.0,2018,"Calendar Year (Jan - Dec), 2018"
