srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,YearCode,TotalPopulationRural,TotalPopulationMale,Year,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Lakshadweep,2022,India,31,LAKSHADWEEP,64473,50332,2022,14141,33123,"Calendar Year (Jan - Dec), 2022",25880,7243,31350,24452,6898,11574,8864,2710,2137,771.28,2908.28009033203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2021,India,32,KERALA,33406061,15934926,2021,17471135,16027412,"Calendar Year (Jan - Dec), 2021",7619358,8408054,17378649,8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2022,India,32,KERALA,33406061,15934926,2022,17471135,16027412,"Calendar Year (Jan - Dec), 2022",7619358,8408054,17378649,8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tamil Nadu,2021,India,33,TAMIL NADU,72147030,34917440,2021,37229590,36137975,"Calendar Year (Jan - Dec), 2021",17458910,18679065,36009055,17458530,18550525,18524982,8996487,9528495,1363555.5,1.15072e+07,12870773.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tamil Nadu,2022,India,33,TAMIL NADU,72147030,34917440,2022,37229590,36137975,"Calendar Year (Jan - Dec), 2022",17458910,18679065,36009055,17458530,18550525,18524982,8996487,9528495,1363555.5,1.15072e+07,12870773.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2021,India,34,PUDUCHERRY,1247953,852753,2021,395200,612511,"Calendar Year (Jan - Dec), 2021",417604,194907,635442,435149,200293,302450,207432,95018,15456,33823.8,49279.7890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puducherry,2022,India,34,PUDUCHERRY,1247953,852753,2022,395200,612511,"Calendar Year (Jan - Dec), 2022",417604,194907,635442,435149,200293,302450,207432,95018,15456,33823.8,49279.7890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2021,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,2021,237093,202871,"Calendar Year (Jan - Dec), 2021",76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.2,85332.5575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,2022,India,35,ANDAMAN AND NICOBAR ISLANDS,380581,143488,2022,237093,202871,"Calendar Year (Jan - Dec), 2022",76584,126287,177710,66904,110806,94551,36021,58530,3799.37,81533.2,85332.5575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Telangana,2021,India,36,TELANGANA,35003674,13608665,2021,21395009,17611633,"Calendar Year (Jan - Dec), 2021",6906640,10704993,17392041,6702025,10690016,8303612,3134583,5169029,373524,1.00147e+07,10388260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Telangana,2022,India,36,TELANGANA,35003674,13608665,2022,21395009,17611633,"Calendar Year (Jan - Dec), 2022",6906640,10704993,17392041,6702025,10690016,8303612,3134583,5169029,373524,1.00147e+07,10388260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ladakh,2021,India,37,LADAKH,274289,62009,2021,212280,156756,"Calendar Year (Jan - Dec), 2021",40642,116114,117533,21367,96166,40247,9195,31052,2615,55650.3,58265.33203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ladakh,2022,India,37,LADAKH,274289,62009,2022,212280,156756,"Calendar Year (Jan - Dec), 2022",40642,116114,117533,21367,96166,40247,9195,31052,2615,55650.3,58265.33203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dadra and Nagar Haveli & Daman and Diu,2021,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,586956,343446,2021,243510,344061,"Calendar Year (Jan - Dec), 2021",213361,130700,242895,130085,112810,137414,88576,48838,9422,49157.6,58579.6293945312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dadra and Nagar Haveli & Daman and Diu,2022,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,586956,343446,2022,243510,344061,"Calendar Year (Jan - Dec), 2022",213361,130700,242895,130085,112810,137414,88576,48838,9422,49157.6,58579.6293945312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
