ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Calendardaycode,Calendar day,City,Quality of air,Index value of air
132,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201205,2020-12-05,Pulwama,Moderate,128.13491796944208822997
133,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201206,2020-12-06,Jammu,,
134,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201206,2020-12-06,Pulwama,,
135,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201207,2020-12-07,Jammu,Moderate,175.08511692007735719973
136,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201207,2020-12-07,Pulwama,,
137,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201208,2020-12-08,Jammu,Moderate,143.78498428632051121989
138,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201208,2020-12-08,Pulwama,,
139,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201209,2020-12-09,Jammu,Moderate,166.28195461683324426790
140,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201209,2020-12-09,Pulwama,,
141,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201210,2020-12-10,Jammu,Moderate,170.19447119605285001538
142,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201210,2020-12-10,Pulwama,,
143,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201211,2020-12-11,Jammu,Moderate,130.09117625905189110371
144,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201211,2020-12-11,Pulwama,Moderate,180.95389178890676582095
194,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01,Sunder Nagar,Satisfactory,71
145,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201212,2020-12-12,Jammu,Moderate,111.50672250775876380318
146,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201212,2020-12-12,Pulwama,,
147,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201213,2020-12-13,Jammu,,
148,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201213,2020-12-13,Pulwama,,
149,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201214,2020-12-14,Jammu,Moderate,117.37549737658817242440
150,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201214,2020-12-14,Pulwama,Moderate,109.55046421814896092944
151,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201215,2020-12-15,Jammu,Moderate,118.35362652139307386127
152,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201215,2020-12-15,Pulwama,,
153,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201216,2020-12-16,Jammu,Moderate,171.17260034085775145225
154,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201216,2020-12-16,Pulwama,,
155,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201217,2020-12-17,Jammu,Moderate,192.69144152656558306339
156,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201217,2020-12-17,Pulwama,,
157,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201218,2020-12-18,Jammu,Poor,220.07905758110282329575
158,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",20201218,2020-12-18,Pulwama,,
