Rowid,Country,State lgd code,State,District lgd code,District,Block lgd code,Block,Yearcode,Year,Maintenance cost maintenance cost for the road,Road length of state and district,Sanction cost granted by ministry of rural development to for road construction,Total work done for each state in terms of habitations connected
63,India,1,Jammu And Kashmir,2,Budgam,14,Badgam,2017,"Calendar Year (Jan - Dec), 2017",0,1.34317702233901,128.229424607442,0.90245214024521402452
64,India,1,Jammu And Kashmir,2,Budgam,14,Badgam,2018,"Calendar Year (Jan - Dec), 2018",9.79,1.63,97.11,1
65,India,1,Jammu And Kashmir,2,Budgam,15,Beerwah,2011,"Calendar Year (Jan - Dec), 2011",28.2892844172058,10.1588027382298,404.260962433322,3.50896606514584042675
66,India,1,Jammu And Kashmir,2,Budgam,15,Beerwah,2016,"Calendar Year (Jan - Dec), 2016",37.3179331306991,7.33801241275547,692.57977710233,1.81155015197568389058
67,India,1,Jammu And Kashmir,2,Budgam,15,Beerwah,2017,"Calendar Year (Jan - Dec), 2017",0,2.87824599179096,235.368672745694,1.20770010131712259372
68,India,1,Jammu And Kashmir,2,Budgam,15,Beerwah,2018,"Calendar Year (Jan - Dec), 2018",150.616368559076,18.1887102967123,1506.38106570274,4.90858317386065631863
69,India,1,Jammu And Kashmir,2,Budgam,16,Chadoora,2011,"Calendar Year (Jan - Dec), 2011",16.58,4.7,236.95,1
70,India,1,Jammu And Kashmir,2,Budgam,16,Chadoora,2016,"Calendar Year (Jan - Dec), 2016",82.8840190009048,8.92139283432702,1129.38460021906,1.91661507690842421068
71,India,1,Jammu And Kashmir,2,Budgam,16,Chadoora,2017,"Calendar Year (Jan - Dec), 2017",0,2.55818866076215,556.530579584248,1.22674347720068276030
72,India,1,Jammu And Kashmir,2,Budgam,16,Chadoora,2018,"Calendar Year (Jan - Dec), 2018",413.67,37,4246.5,7
73,India,1,Jammu And Kashmir,2,Budgam,17,Khag,2011,"Calendar Year (Jan - Dec), 2011",60.24,17.52,849.95,4
74,India,1,Jammu And Kashmir,2,Budgam,17,Khag,2016,"Calendar Year (Jan - Dec), 2016",0,1.87,254.38,1
75,India,1,Jammu And Kashmir,2,Budgam,17,Khag,2017,"Calendar Year (Jan - Dec), 2017",0,9.55,808.78,3
76,India,1,Jammu And Kashmir,2,Budgam,17,Khag,2018,"Calendar Year (Jan - Dec), 2018",116.86,16.42,1168.82,5
