srcStateName,srcSubDistrictName,srcYear,Number of telemetric raingauge Stations Working,Number of telemetric raingauge Stations Under Repair,Number of telemetric raingauge Stations,Annual Normal Rainfall (1961 - 2010) Rainy Days,Annual Normal Rainfall (1961 - 2010) Normal Rainfall,srcDistrictName,YearCode,Year
Karnataka,Koratagere,2019-20,25,0,25,46,777,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kotturu,2019-20,14,0,14,41,533,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Krishnarajpet,2019-20,34,0,34,49,747,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,K.R.Nagar,2019-20,35,1,36,49,735,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kudligi,2019-20,24,3,27,41,590,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kukanuru,2019-20,17,0,17,37,693,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kumta,2019-20,23,0,23,110,3523,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kundapur,2019-20,46,1,47,114,3786,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kundgol,2019-20,26,1,27,52,661,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kunigal,2019-20,41,0,41,52,825,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kurugodu,2019-20,13,0,13,35,499,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kushtagi,2019-20,36,2,38,39,596,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Laxmeshwar,2019-20,14,0,14,47,594,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Lingasugur,2019-20,37,2,39,37,631,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Maddur,2019-20,41,2,43,45,767,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Madhugiri,2019-20,45,0,45,44,730,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Madikeri,2019-20,25,0,25,125,3265,KODAGU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Magadi,2019-20,34,1,35,56,1000,RAMANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Malavalli,2019-20,38,2,40,44,703,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Malur,2019-20,29,0,29,45,798,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mandya,2019-20,46,1,47,45,699,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mangalore,2019-20,46,2,48,116,3609,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Manvi,2019-20,18,2,20,39,652,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Maski,2019-20,22,0,22,37,557,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Molakalmuru,2019-20,15,2,17,35,545,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudabidri,2019-20,13,0,13,116,4010,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudalagi,2019-20,24,0,24,37,534,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Muddebihal,2019-20,23,0,23,40,652,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mundargi,2019-20,18,3,21,38,557,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mundgod,2019-20,17,0,17,85,1438,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mysuru,2019-20,38,1,39,53,810,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nagamangala,2019-20,29,1,30,43,765,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nanjangud,2019-20,44,3,47,51,730,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Naragund,2019-20,13,1,14,39,557,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Narasimharajapura,2019-20,16,0,16,94,1609,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Navalgund,2019-20,16,1,17,42,631,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudhol,2019-20,22,0,22,37,532,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudigere,2019-20,30,2,32,115,2315,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mulabagilu,2019-20,30,0,30,44,804,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
