srcStateName,srcSubDistrictName,Year,srcDistrictName,StateCode,StateName,DistrictCode,DistrictName,SubDistrictCode,SubDistrictName,IntermediateRatio
Karnataka,Arsikere,2019,HASSAN,29,KARNATAKA,539,HASSAN,5555,ARSIKERE,1
Karnataka,Belur,2019,HASSAN,29,KARNATAKA,539,HASSAN,5554,BELUR,1
Karnataka,Channarayapatna,2019,HASSAN,29,KARNATAKA,539,HASSAN,5560,CHANNARAYAPATNA,1
Karnataka,Hassan,2019,HASSAN,29,KARNATAKA,539,HASSAN,5556,HASSAN,1
Karnataka,Holenarasipura,2019,HASSAN,29,KARNATAKA,539,HASSAN,5559,HOLE NARSIPUR,1
Karnataka,Sakleshpura,2019,HASSAN,29,KARNATAKA,539,HASSAN,5553,SAKLESHPUR,1
Karnataka,Byadagi,2019,HAVERI,29,KARNATAKA,540,HAVERI,5493,BYADGI,1
Karnataka,Hangal,2019,HAVERI,29,KARNATAKA,540,HAVERI,5491,HANGAL,1
Karnataka,Haveri,2019,HAVERI,29,KARNATAKA,540,HAVERI,5492,HAVERI,1
Karnataka,Hirekerur,2019,HAVERI,29,KARNATAKA,540,HAVERI,5494,HIREKERUR,1
Karnataka,Ranebennur,2019,HAVERI,29,KARNATAKA,540,HAVERI,5495,RANIBENNUR,1
Karnataka,Ratteehalli,2019,HAVERI,29,KARNATAKA,540,HAVERI,7106,RATTIHALLI,1
Karnataka,Savanur,2019,HAVERI,29,KARNATAKA,540,HAVERI,5490,SAVANUR,1
Karnataka,Shiggaon,2019,HAVERI,29,KARNATAKA,540,HAVERI,5489,SHIGGAON,1
Karnataka,Afzalpur,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,5581,AFZALPUR,1
Karnataka,Aland,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,5580,ALAND,1
Karnataka,Chincholi,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,5583,CHINCHOLI,1
Karnataka,Chittapur,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,5585,CHITTAPUR,1
Karnataka,Jevargi,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,5586,JEVARGI,1
Karnataka,Kalagi,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,7087,KALAGI,1
Karnataka,Kamalapura,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,7090,KAMALAPUR,1
Karnataka,Sedam,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,5584,SEDAM,1
Karnataka,Shahbadha,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,7088,SHAHABAD,1
Karnataka,Yadrami,2019,KALABURAGI,29,KARNATAKA,538,KALABURAGI,7089,YADRAMI,1
Karnataka,Madikeri,2019,KODAGU,29,KARNATAKA,541,KODAGU,5566,MADIKERI,1
Karnataka,Somawarpet,2019,KODAGU,29,KARNATAKA,541,KODAGU,5567,SOMVARPET,1
Karnataka,Virajpet,2019,KODAGU,29,KARNATAKA,541,KODAGU,5568,VIRAJPET,1
Karnataka,Bangarpet,2019,KOLAR,29,KARNATAKA,542,KOLAR,5593,BANGARAPET,1
Karnataka,Kolar,2019,KOLAR,29,KARNATAKA,542,KOLAR,5591,KOLAR,1
Karnataka,K.G.F,2019,KOLAR,29,KARNATAKA,542,KOLAR,7002,KOLAR GOLD FIELD,1
Karnataka,Malur,2019,KOLAR,29,KARNATAKA,542,KOLAR,5592,MALUR,1
Karnataka,Mulabagilu,2019,KOLAR,29,KARNATAKA,542,KOLAR,5594,MULBAGAL,1
Karnataka,Srinivaspura,2019,KOLAR,29,KARNATAKA,542,KOLAR,5590,SRINIVASPUR,1
Karnataka,Gangavathi,2019,KOPPAL,29,KARNATAKA,543,KOPPAL,5466,GANGAWATI,1
Karnataka,Kanakagiri,2019,KOPPAL,29,KARNATAKA,543,KOPPAL,7091,KANAKAGIRI,1
Karnataka,Karatagi,2019,KOPPAL,29,KARNATAKA,543,KOPPAL,7092,KARATAGI,1
Karnataka,Koppal,2019,KOPPAL,29,KARNATAKA,543,KOPPAL,5467,KOPPAL,1
Karnataka,Kukanuru,2019,KOPPAL,29,KARNATAKA,543,KOPPAL,7093,KUKUNOOR,1
Karnataka,Kushtagi,2019,KOPPAL,29,KARNATAKA,543,KOPPAL,5465,KUSHTAGI,1
Karnataka,Yelburga,2019,KOPPAL,29,KARNATAKA,543,KOPPAL,5464,YELBARGA,1
Karnataka,Krishnarajpet,2019,MANDYA,29,KARNATAKA,544,MANDYA,5546,KRISHNARAJPET,1
Karnataka,Maddur,2019,MANDYA,29,KARNATAKA,544,MANDYA,5551,MADDUR,1
Karnataka,Malavalli,2019,MANDYA,29,KARNATAKA,544,MANDYA,5552,MALAVALLI,1
Karnataka,Mandya,2019,MANDYA,29,KARNATAKA,544,MANDYA,5550,MANDYA,1
Karnataka,Nagamangala,2019,MANDYA,29,KARNATAKA,544,MANDYA,5547,NAGAMANGALA,1
Karnataka,Pandavpura,2019,MANDYA,29,KARNATAKA,544,MANDYA,5548,PANDAVAPURA,1
Karnataka,Srirangapatna,2019,MANDYA,29,KARNATAKA,544,MANDYA,5549,SHRIRANGAPATTANA,1
Karnataka,Heggadadevanakote,2019,MYSURU,29,KARNATAKA,545,MYSURU,5573,HEGGADADEVANKOTE,1
Karnataka,Hunsur,2019,MYSURU,29,KARNATAKA,545,MYSURU,5570,HUNSUR,1
Karnataka,K.R.Nagar,2019,MYSURU,29,KARNATAKA,545,MYSURU,5571,KRISHNARAJANAGARA,1
Karnataka,Mysuru,2019,MYSURU,29,KARNATAKA,545,MYSURU,5572,MYSURU,1
Karnataka,Nanjangud,2019,MYSURU,29,KARNATAKA,545,MYSURU,5574,NANJANGUD,1
Karnataka,Piriyapatna,2019,MYSURU,29,KARNATAKA,545,MYSURU,5569,PIRIYAPATNA,1
Karnataka,Saraguru,2019,MYSURU,29,KARNATAKA,545,MYSURU,7098,SARAGURU,1
