ROWID,Country,State LGD Code,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Number of telemetric raingauge Stations Working,Number of telemetric raingauge Stations Under Repair,Number of telemetric raingauge Stations,Annual Normal Rainfall (1961 - 2010) Rainy Days,Annual Normal Rainfall (1961 - 2010) Normal Rainfall,YearCode,Year
134,India,29,Karnataka,525,Bengaluru Urban,5543,Bengaluru South,2019-20,45,0,45,54,820,2019,"Financial Year (Apr - Mar), 2019"
106,India,29,Karnataka,525,Bengaluru Urban,5544,Bengaluru East,2019-20,30,0,30,54,815,2019,"Financial Year (Apr - Mar), 2019"
119,India,29,Karnataka,525,Bengaluru Urban,5545,Anekal,2019-20,37,0,37,54,902,2019,"Financial Year (Apr - Mar), 2019"
110,India,29,Karnataka,525,Bengaluru Urban,7103,Yelahanka,2019-20,33,0,33,58,752,2019,"Financial Year (Apr - Mar), 2019"
147,India,29,Karnataka,526,Bengaluru Rural,5601,Nelamangala,2019-20,24,1,25,53,954,2019,"Financial Year (Apr - Mar), 2019"
104,India,29,Karnataka,526,Bengaluru Rural,5602,Dodda Ballapur,2019-20,30,0,30,50,799,2019,"Financial Year (Apr - Mar), 2019"
94,India,29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,2019-20,28,0,28,50,808,2019,"Financial Year (Apr - Mar), 2019"
99,India,29,Karnataka,526,Bengaluru Rural,5604,Hosakote,2019-20,29,0,29,49,857,2019,"Financial Year (Apr - Mar), 2019"
122,India,29,Karnataka,527,Belagavi,5433,Chikodi,2019-20,39,0,39,51,666,2019,"Financial Year (Apr - Mar), 2019"
136,India,29,Karnataka,527,Belagavi,5434,Athni,2019-20,47,0,47,36,539,2019,"Financial Year (Apr - Mar), 2019"
172,India,29,Karnataka,527,Belagavi,5435,Raybag,2019-20,38,1,39,38,483,2019,"Financial Year (Apr - Mar), 2019"
199,India,29,Karnataka,527,Belagavi,5436,Gokak,2019-20,36,2,38,37,524,2019,"Financial Year (Apr - Mar), 2019"
183,India,29,Karnataka,527,Belagavi,5437,Hukeri,2019-20,53,1,54,48,649,2019,"Financial Year (Apr - Mar), 2019"
220,India,29,Karnataka,527,Belagavi,5438,Belagavi,2019-20,57,3,60,79,1363,2019,"Financial Year (Apr - Mar), 2019"
16,India,29,Karnataka,527,Belagavi,5439,Khanapur,2019-20,12,0,12,88,1950,2019,"Financial Year (Apr - Mar), 2019"
170,India,29,Karnataka,527,Belagavi,5440,Bailahongala,2019-20,35,1,36,50,816,2019,"Financial Year (Apr - Mar), 2019"
206,India,29,Karnataka,527,Belagavi,5441,Savadatti,2019-20,45,2,47,40,568,2019,"Financial Year (Apr - Mar), 2019"
139,India,29,Karnataka,527,Belagavi,5442,Ramdurg,2019-20,52,0,52,38,540,2019,"Financial Year (Apr - Mar), 2019"
47,India,29,Karnataka,527,Belagavi,7043,Kittur,2019-20,18,0,18,50,1036,2019,"Financial Year (Apr - Mar), 2019"
73,India,29,Karnataka,527,Belagavi,7099,Mudalgi,2019-20,24,0,24,37,534,2019,"Financial Year (Apr - Mar), 2019"
12,India,29,Karnataka,527,Belagavi,7100,Kagwad,2019-20,12,0,12,36,541,2019,"Financial Year (Apr - Mar), 2019"
105,India,29,Karnataka,527,Belagavi,7105,Nippani,2019-20,30,0,30,51,838,2019,"Financial Year (Apr - Mar), 2019"
191,India,29,Karnataka,528,Ballari,5499,Siruguppa,2019-20,27,2,29,42,675,2019,"Financial Year (Apr - Mar), 2019"
91,India,29,Karnataka,528,Ballari,5500,Ballari,2019-20,27,0,27,35,516,2019,"Financial Year (Apr - Mar), 2019"
153,India,29,Karnataka,528,Ballari,5501,Sandur,2019-20,27,1,28,53,819,2019,"Financial Year (Apr - Mar), 2019"
10,India,29,Karnataka,528,Ballari,7107,Kampli,2019-20,11,0,11,43,531,2019,"Financial Year (Apr - Mar), 2019"
17,India,29,Karnataka,528,Ballari,7109,Kurugodu,2019-20,13,0,13,35,499,2019,"Financial Year (Apr - Mar), 2019"
109,India,29,Karnataka,529,Bidar,5454,Basavakalyan,2019-20,32,0,32,49,790,2019,"Financial Year (Apr - Mar), 2019"
128,India,29,Karnataka,529,Bidar,5455,Bhalki,2019-20,42,0,42,52,874,2019,"Financial Year (Apr - Mar), 2019"
68,India,29,Karnataka,529,Bidar,5456,Aurad,2019-20,23,0,23,48,854,2019,"Financial Year (Apr - Mar), 2019"
120,India,29,Karnataka,529,Bidar,5457,Bidar,2019-20,37,0,37,55,939,2019,"Financial Year (Apr - Mar), 2019"
57,India,29,Karnataka,529,Bidar,5458,Homnabad,2019-20,21,0,21,50,834,2019,"Financial Year (Apr - Mar), 2019"
35,India,29,Karnataka,529,Bidar,7084,Chitaguppa,2019-20,16,0,16,50,759,2019,"Financial Year (Apr - Mar), 2019"
44,India,29,Karnataka,529,Bidar,7085,Kamalnagar,2019-20,18,0,18,48,902,2019,"Financial Year (Apr - Mar), 2019"
6,India,29,Karnataka,529,Bidar,7086,Hulsoor,2019-20,7,0,7,49,739,2019,"Financial Year (Apr - Mar), 2019"
49,India,29,Karnataka,530,Vijayapura,5449,Vijayapura,2019-20,19,0,19,40,671,2019,"Financial Year (Apr - Mar), 2019"
176,India,29,Karnataka,530,Vijayapura,5450,Indi,2019-20,41,1,42,38,620,2019,"Financial Year (Apr - Mar), 2019"
156,India,29,Karnataka,530,Vijayapura,5451,Sindgi,2019-20,29,1,30,39,658,2019,"Financial Year (Apr - Mar), 2019"
143,India,29,Karnataka,530,Vijayapura,5452,Basavana Bagevadi,2019-20,17,1,18,40,669,2019,"Financial Year (Apr - Mar), 2019"
67,India,29,Karnataka,530,Vijayapura,5453,Muddebihal,2019-20,23,0,23,40,652,2019,"Financial Year (Apr - Mar), 2019"
54,India,29,Karnataka,530,Vijayapura,7069,Babaleshwar,2019-20,20,0,20,40,545,2019,"Financial Year (Apr - Mar), 2019"
18,India,29,Karnataka,530,Vijayapura,7070,Chadachan,2019-20,13,0,13,38,552,2019,"Financial Year (Apr - Mar), 2019"
31,India,29,Karnataka,530,Vijayapura,7071,Devara Hipparagi,2019-20,16,0,16,39,630,2019,"Financial Year (Apr - Mar), 2019"
19,India,29,Karnataka,530,Vijayapura,7072,Kolhar,2019-20,13,0,13,40,606,2019,"Financial Year (Apr - Mar), 2019"
43,India,29,Karnataka,530,Vijayapura,7073,Talikoti,2019-20,18,0,18,40,586,2019,"Financial Year (Apr - Mar), 2019"
32,India,29,Karnataka,530,Vijayapura,7074,Tikota,2019-20,16,0,16,40,406,2019,"Financial Year (Apr - Mar), 2019"
13,India,29,Karnataka,530,Vijayapura,7075,Nidagundi,2019-20,12,0,12,40,616,2019,"Financial Year (Apr - Mar), 2019"
124,India,29,Karnataka,531,Chamarajanagara,5576,Gundlupet,2019-20,40,0,40,48,792,2019,"Financial Year (Apr - Mar), 2019"
137,India,29,Karnataka,531,Chamarajanagara,5577,Chamarajanagar,2019-20,47,0,47,47,770,2019,"Financial Year (Apr - Mar), 2019"
14,India,29,Karnataka,531,Chamarajanagara,5578,Yelandur,2019-20,12,0,12,46,867,2019,"Financial Year (Apr - Mar), 2019"
34,India,29,Karnataka,531,Chamarajanagara,5579,Kollegal,2019-20,16,0,16,47,843,2019,"Financial Year (Apr - Mar), 2019"
88,India,29,Karnataka,531,Chamarajanagara,7077,Hanur,2019-20,26,0,26,47,754,2019,"Financial Year (Apr - Mar), 2019"
9,India,29,Karnataka,532,Chikkamagaluru,5525,Sringeri,2019-20,10,0,10,116,3887,2019,"Financial Year (Apr - Mar), 2019"
190,India,29,Karnataka,532,Chikkamagaluru,5526,Koppa,2019-20,21,2,23,111,2907,2019,"Financial Year (Apr - Mar), 2019"
36,India,29,Karnataka,532,Chikkamagaluru,5527,Narasimharajapura,2019-20,16,0,16,94,1609,2019,"Financial Year (Apr - Mar), 2019"
224,India,29,Karnataka,532,Chikkamagaluru,5528,Tarikere,2019-20,23,6,29,68,914,2019,"Financial Year (Apr - Mar), 2019"
184,India,29,Karnataka,532,Chikkamagaluru,5529,Kadur,2019-20,57,1,58,45,639,2019,"Financial Year (Apr - Mar), 2019"
180,India,29,Karnataka,532,Chikkamagaluru,5530,Chikkamagaluru,2019-20,46,1,47,68,836,2019,"Financial Year (Apr - Mar), 2019"
195,India,29,Karnataka,532,Chikkamagaluru,5531,Mudigere,2019-20,30,2,32,115,2315,2019,"Financial Year (Apr - Mar), 2019"
93,India,29,Karnataka,532,Chikkamagaluru,7078,Ajjampura,2019-20,27,0,27,68,669,2019,"Financial Year (Apr - Mar), 2019"
185,India,29,Karnataka,533,Chitradurga,5503,Molakalmuru,2019-20,15,2,17,35,545,2019,"Financial Year (Apr - Mar), 2019"
126,India,29,Karnataka,533,Chitradurga,5504,Challakere,2019-20,42,0,42,30,485,2019,"Financial Year (Apr - Mar), 2019"
175,India,29,Karnataka,533,Chitradurga,5505,Chitradurga,2019-20,39,1,40,47,666,2019,"Financial Year (Apr - Mar), 2019"
159,India,29,Karnataka,533,Chitradurga,5506,Holalkere,2019-20,29,1,30,53,722,2019,"Financial Year (Apr - Mar), 2019"
111,India,29,Karnataka,533,Chitradurga,5507,Hosdurga,2019-20,34,0,34,40,648,2019,"Financial Year (Apr - Mar), 2019"
164,India,29,Karnataka,533,Chitradurga,5508,Hiriyur,2019-20,33,1,34,37,578,2019,"Financial Year (Apr - Mar), 2019"
207,India,29,Karnataka,534,Dakshina Kannada,5561,Mangaluru,2019-20,46,2,48,116,3609,2019,"Financial Year (Apr - Mar), 2019"
223,India,29,Karnataka,534,Dakshina Kannada,5562,Bantval,2019-20,55,5,60,120,3856,2019,"Financial Year (Apr - Mar), 2019"
138,India,29,Karnataka,534,Dakshina Kannada,5563,Beltangadi,2019-20,49,0,49,126,4426,2019,"Financial Year (Apr - Mar), 2019"
71,India,29,Karnataka,534,Dakshina Kannada,5564,Puttur,2019-20,23,0,23,124,4058,2019,"Financial Year (Apr - Mar), 2019"
83,India,29,Karnataka,534,Dakshina Kannada,5565,Sulya,2019-20,25,0,25,129,3592,2019,"Financial Year (Apr - Mar), 2019"
21,India,29,Karnataka,534,Dakshina Kannada,7102,Moodubidire,2019-20,13,0,13,116,4010,2019,"Financial Year (Apr - Mar), 2019"
72,India,29,Karnataka,534,Dakshina Kannada,7104,Kadaba,2019-20,23,0,23,124,4135,2019,"Financial Year (Apr - Mar), 2019"
86,India,29,Karnataka,535,Davangere,5509,Harihar,2019-20,26,0,26,45,630,2019,"Financial Year (Apr - Mar), 2019"
212,India,29,Karnataka,535,Davangere,5511,Jagalur,2019-20,24,3,27,38,528,2019,"Financial Year (Apr - Mar), 2019"
205,India,29,Karnataka,535,Davangere,5512,Davanagere,2019-20,41,2,43,47,641,2019,"Financial Year (Apr - Mar), 2019"
108,India,29,Karnataka,535,Davangere,5513,Honnali,2019-20,31,0,31,49,662,2019,"Financial Year (Apr - Mar), 2019"
227,India,29,Karnataka,535,Davangere,5514,Channagiri,2019-20,59,7,66,60,840,2019,"Financial Year (Apr - Mar), 2019"
46,India,29,Karnataka,535,Davangere,7076,Nyamathi,2019-20,18,0,18,49,826,2019,"Financial Year (Apr - Mar), 2019"
171,India,29,Karnataka,536,Dharwad,5473,Dharwad,2019-20,35,1,36,61,777,2019,"Financial Year (Apr - Mar), 2019"
142,India,29,Karnataka,536,Dharwad,5474,Navalgund,2019-20,16,1,17,42,631,2019,"Financial Year (Apr - Mar), 2019"
90,India,29,Karnataka,536,Dharwad,5475,Hubballi,2019-20,26,0,26,57,772,2019,"Financial Year (Apr - Mar), 2019"
101,India,29,Karnataka,536,Dharwad,5476,Kalghatgi,2019-20,29,0,29,73,979,2019,"Financial Year (Apr - Mar), 2019"
150,India,29,Karnataka,536,Dharwad,5477,Kundgol,2019-20,26,1,27,52,661,2019,"Financial Year (Apr - Mar), 2019"
1,India,29,Karnataka,536,Dharwad,7079,Hubballi Urban,2019-20,1,0,1,57,746,2019,"Financial Year (Apr - Mar), 2019"
8,India,29,Karnataka,536,Dharwad,7080,Annigeri,2019-20,10,0,10,42,651,2019,"Financial Year (Apr - Mar), 2019"
4,India,29,Karnataka,536,Dharwad,7081,Alnavar,2019-20,5,0,5,61,1267,2019,"Financial Year (Apr - Mar), 2019"
141,India,29,Karnataka,537,Gadag,5468,Nargund,2019-20,13,1,14,39,557,2019,"Financial Year (Apr - Mar), 2019"
77,India,29,Karnataka,537,Gadag,5469,Ron,2019-20,25,0,25,44,699,2019,"Financial Year (Apr - Mar), 2019"
158,India,29,Karnataka,537,Gadag,5470,Gadag,2019-20,29,1,30,44,659,2019,"Financial Year (Apr - Mar), 2019"
33,India,29,Karnataka,537,Gadag,5471,Shirhatti,2019-20,16,0,16,47,689,2019,"Financial Year (Apr - Mar), 2019"
210,India,29,Karnataka,537,Gadag,5472,Mundargi,2019-20,18,3,21,38,557,2019,"Financial Year (Apr - Mar), 2019"
20,India,29,Karnataka,537,Gadag,7082,Gajendragad,2019-20,13,0,13,44,737,2019,"Financial Year (Apr - Mar), 2019"
24,India,29,Karnataka,537,Gadag,7083,Laxmeshwar,2019-20,14,0,14,47,594,2019,"Financial Year (Apr - Mar), 2019"
135,India,29,Karnataka,538,Kalaburagi,5580,Aland,2019-20,46,0,46,47,763,2019,"Financial Year (Apr - Mar), 2019"
107,India,29,Karnataka,538,Kalaburagi,5581,Afzalpur,2019-20,31,0,31,43,692,2019,"Financial Year (Apr - Mar), 2019"
192,India,29,Karnataka,538,Kalaburagi,5582,Kalaburagi,2019-20,27,2,29,48,794,2019,"Financial Year (Apr - Mar), 2019"
162,India,29,Karnataka,538,Kalaburagi,5583,Chincholi,2019-20,31,1,32,50,913,2019,"Financial Year (Apr - Mar), 2019"
100,India,29,Karnataka,538,Kalaburagi,5584,Sedam,2019-20,29,0,29,51,791,2019,"Financial Year (Apr - Mar), 2019"
161,India,29,Karnataka,538,Kalaburagi,5585,Chittapur,2019-20,31,1,32,47,771,2019,"Financial Year (Apr - Mar), 2019"
85,India,29,Karnataka,538,Kalaburagi,5586,Jevargi,2019-20,26,0,26,44,805,2019,"Financial Year (Apr - Mar), 2019"
51,India,29,Karnataka,538,Kalaburagi,7087,Kalagi,2019-20,19,0,19,47,766,2019,"Financial Year (Apr - Mar), 2019"
3,India,29,Karnataka,538,Kalaburagi,7088,Shahabad,2019-20,5,0,5,47,758,2019,"Financial Year (Apr - Mar), 2019"
55,India,29,Karnataka,538,Kalaburagi,7089,Yadrami,2019-20,20,0,20,44,687,2019,"Financial Year (Apr - Mar), 2019"
62,India,29,Karnataka,538,Kalaburagi,7090,Kamalapur,2019-20,22,0,22,48,762,2019,"Financial Year (Apr - Mar), 2019"
81,India,29,Karnataka,539,Hassan,5553,Sakleshpur,2019-20,25,0,25,104,2247,2019,"Financial Year (Apr - Mar), 2019"
115,India,29,Karnataka,539,Hassan,5554,Belur,2019-20,35,0,35,68,1021,2019,"Financial Year (Apr - Mar), 2019"
127,India,29,Karnataka,539,Hassan,5555,Arsikere,2019-20,42,0,42,47,696,2019,"Financial Year (Apr - Mar), 2019"
129,India,29,Karnataka,539,Hassan,5556,Hassan,2019-20,42,0,42,63,846,2019,"Financial Year (Apr - Mar), 2019"
26,India,29,Karnataka,539,Hassan,5557,Alur,2019-20,14,0,14,73,1149,2019,"Financial Year (Apr - Mar), 2019"
114,India,29,Karnataka,539,Hassan,5558,Arkalgud,2019-20,35,0,35,65,885,2019,"Financial Year (Apr - Mar), 2019"
89,India,29,Karnataka,539,Hassan,5559,Hole Narsipur,2019-20,26,0,26,53,768,2019,"Financial Year (Apr - Mar), 2019"
131,India,29,Karnataka,539,Hassan,5560,Channarayapatna,2019-20,43,0,43,47,690,2019,"Financial Year (Apr - Mar), 2019"
194,India,29,Karnataka,540,Haveri,5489,Shiggaon,2019-20,28,2,30,63,814,2019,"Financial Year (Apr - Mar), 2019"
145,India,29,Karnataka,540,Haveri,5490,Savanur,2019-20,20,1,21,54,699,2019,"Financial Year (Apr - Mar), 2019"
217,India,29,Karnataka,540,Haveri,5491,Hangal,2019-20,39,3,42,71,1044,2019,"Financial Year (Apr - Mar), 2019"
197,India,29,Karnataka,540,Haveri,5492,Haveri,2019-20,32,2,34,59,778,2019,"Financial Year (Apr - Mar), 2019"
189,India,29,Karnataka,540,Haveri,5493,Byadgi,2019-20,19,2,21,57,679,2019,"Financial Year (Apr - Mar), 2019"
187,India,29,Karnataka,540,Haveri,5494,Hirekerur,2019-20,15,2,17,66,856,2019,"Financial Year (Apr - Mar), 2019"
214,India,29,Karnataka,540,Haveri,5495,Ranibennur,2019-20,35,3,38,46,623,2019,"Financial Year (Apr - Mar), 2019"
15,India,29,Karnataka,540,Haveri,7106,Rattihalli,2019-20,12,0,12,66,790,2019,"Financial Year (Apr - Mar), 2019"
82,India,29,Karnataka,541,Kodagu,5566,Madikeri,2019-20,25,0,25,125,3265,2019,"Financial Year (Apr - Mar), 2019"
130,India,29,Karnataka,541,Kodagu,5567,Somvarpet,2019-20,42,0,42,105,2098,2019,"Financial Year (Apr - Mar), 2019"
174,India,29,Karnataka,541,Kodagu,5568,Virajpet,2019-20,38,1,39,113,2468,2019,"Financial Year (Apr - Mar), 2019"
87,India,29,Karnataka,542,Kolar,5590,Srinivaspur,2019-20,26,0,26,45,758,2019,"Financial Year (Apr - Mar), 2019"
118,India,29,Karnataka,542,Kolar,5591,Kolar,2019-20,37,0,37,46,784,2019,"Financial Year (Apr - Mar), 2019"
96,India,29,Karnataka,542,Kolar,5592,Malur,2019-20,29,0,29,45,798,2019,"Financial Year (Apr - Mar), 2019"
61,India,29,Karnataka,542,Kolar,5593,Bangarapet,2019-20,22,0,22,45,764,2019,"Financial Year (Apr - Mar), 2019"
103,India,29,Karnataka,542,Kolar,5594,Mulbagal,2019-20,30,0,30,44,804,2019,"Financial Year (Apr - Mar), 2019"
40,India,29,Karnataka,542,Kolar,7002,Kolar Gold Field,2019-20,17,0,17,45,890,2019,"Financial Year (Apr - Mar), 2019"
211,India,29,Karnataka,543,Koppal,5464,Yelbarga,2019-20,22,3,25,37,597,2019,"Financial Year (Apr - Mar), 2019"
200,India,29,Karnataka,543,Koppal,5465,Kushtagi,2019-20,36,2,38,39,596,2019,"Financial Year (Apr - Mar), 2019"
144,India,29,Karnataka,543,Koppal,5466,Gangawati,2019-20,18,1,19,35,583,2019,"Financial Year (Apr - Mar), 2019"
177,India,29,Karnataka,543,Koppal,5467,Koppal,2019-20,42,1,43,38,635,2019,"Financial Year (Apr - Mar), 2019"
11,India,29,Karnataka,543,Koppal,7091,Kanakagiri,2019-20,12,0,12,35,525,2019,"Financial Year (Apr - Mar), 2019"
22,India,29,Karnataka,543,Koppal,7092,Karatagi,2019-20,14,0,14,35,640,2019,"Financial Year (Apr - Mar), 2019"
38,India,29,Karnataka,543,Koppal,7093,Kukunoor,2019-20,17,0,17,37,693,2019,"Financial Year (Apr - Mar), 2019"
112,India,29,Karnataka,544,Mandya,5546,Krishnarajpet,2019-20,34,0,34,49,747,2019,"Financial Year (Apr - Mar), 2019"
157,India,29,Karnataka,544,Mandya,5547,Nagamangala,2019-20,29,1,30,43,765,2019,"Financial Year (Apr - Mar), 2019"
75,India,29,Karnataka,544,Mandya,5548,Pandavapura,2019-20,25,0,25,41,679,2019,"Financial Year (Apr - Mar), 2019"
63,India,29,Karnataka,544,Mandya,5549,Shrirangapattana,2019-20,22,0,22,49,638,2019,"Financial Year (Apr - Mar), 2019"
179,India,29,Karnataka,544,Mandya,5550,Mandya,2019-20,46,1,47,45,699,2019,"Financial Year (Apr - Mar), 2019"
204,India,29,Karnataka,544,Mandya,5551,Maddur,2019-20,41,2,43,45,767,2019,"Financial Year (Apr - Mar), 2019"
202,India,29,Karnataka,544,Mandya,5552,Malavalli,2019-20,38,2,40,44,703,2019,"Financial Year (Apr - Mar), 2019"
168,India,29,Karnataka,545,Mysuru,5569,Piriyapatna,2019-20,34,1,35,63,852,2019,"Financial Year (Apr - Mar), 2019"
225,India,29,Karnataka,545,Mysuru,5570,Hunsur,2019-20,37,6,43,53,799,2019,"Financial Year (Apr - Mar), 2019"
169,India,29,Karnataka,545,Mysuru,5571,Krishnarajanagara,2019-20,35,1,36,49,735,2019,"Financial Year (Apr - Mar), 2019"
173,India,29,Karnataka,545,Mysuru,5572,Mysuru,2019-20,38,1,39,53,810,2019,"Financial Year (Apr - Mar), 2019"
151,India,29,Karnataka,545,Mysuru,5573,Heggadadevankote,2019-20,26,1,27,59,837,2019,"Financial Year (Apr - Mar), 2019"
219,India,29,Karnataka,545,Mysuru,5574,Nanjangud,2019-20,44,3,47,51,730,2019,"Financial Year (Apr - Mar), 2019"
123,India,29,Karnataka,545,Mysuru,5575,Tirumakudal - Narsipur,2019-20,40,0,40,47,738,2019,"Financial Year (Apr - Mar), 2019"
25,India,29,Karnataka,545,Mysuru,7098,Saraguru,2019-20,14,0,14,59,949,2019,"Financial Year (Apr - Mar), 2019"
201,India,29,Karnataka,546,Raichur,5459,Lingsugur,2019-20,37,2,39,37,631,2019,"Financial Year (Apr - Mar), 2019"
196,India,29,Karnataka,546,Raichur,5460,Devadurga,2019-20,32,2,34,39,759,2019,"Financial Year (Apr - Mar), 2019"
117,India,29,Karnataka,546,Raichur,5461,Raichur,2019-20,37,0,37,42,736,2019,"Financial Year (Apr - Mar), 2019"
188,India,29,Karnataka,546,Raichur,5462,Manvi,2019-20,18,2,20,39,652,2019,"Financial Year (Apr - Mar), 2019"
166,India,29,Karnataka,546,Raichur,5463,Sindhnur,2019-20,34,1,35,39,691,2019,"Financial Year (Apr - Mar), 2019"
30,India,29,Karnataka,546,Raichur,7097,Sirwar,2019-20,16,0,16,39,589,2019,"Financial Year (Apr - Mar), 2019"
59,India,29,Karnataka,546,Raichur,7101,Maski,2019-20,22,0,22,37,557,2019,"Financial Year (Apr - Mar), 2019"
198,India,29,Karnataka,547,Shivamogga,5515,Sagar,2019-20,34,2,36,98,2495,2019,"Financial Year (Apr - Mar), 2019"
226,India,29,Karnataka,547,Shivamogga,5516,Sorab,2019-20,34,7,41,83,1541,2019,"Financial Year (Apr - Mar), 2019"
218,India,29,Karnataka,547,Shivamogga,5517,Shikarpur,2019-20,42,3,45,72,975,2019,"Financial Year (Apr - Mar), 2019"
193,India,29,Karnataka,547,Shivamogga,5518,Hosanagara,2019-20,27,2,29,99,3071,2019,"Financial Year (Apr - Mar), 2019"
215,India,29,Karnataka,547,Shivamogga,5519,Tirthahalli,2019-20,37,3,40,103,2867,2019,"Financial Year (Apr - Mar), 2019"
216,India,29,Karnataka,547,Shivamogga,5520,Shivamogga,2019-20,39,3,42,67,842,2019,"Financial Year (Apr - Mar), 2019"
221,India,29,Karnataka,547,Shivamogga,5521,Bhadravati,2019-20,38,4,42,68,866,2019,"Financial Year (Apr - Mar), 2019"
160,India,29,Karnataka,548,Tumakuru,5532,Chiknayakanhalli,2019-20,30,1,31,46,761,2019,"Financial Year (Apr - Mar), 2019"
182,India,29,Karnataka,548,Tumakuru,5533,Sira,2019-20,47,1,48,38,638,2019,"Financial Year (Apr - Mar), 2019"
165,India,29,Karnataka,548,Tumakuru,5534,Pavagada,2019-20,34,1,35,37,611,2019,"Financial Year (Apr - Mar), 2019"
133,India,29,Karnataka,548,Tumakuru,5535,Madhugiri,2019-20,45,0,45,44,730,2019,"Financial Year (Apr - Mar), 2019"
78,India,29,Karnataka,548,Tumakuru,5536,Koratagere,2019-20,25,0,25,46,777,2019,"Financial Year (Apr - Mar), 2019"
178,India,29,Karnataka,548,Tumakuru,5537,Tumakuru,2019-20,44,1,45,53,830,2019,"Financial Year (Apr - Mar), 2019"
132,India,29,Karnataka,548,Tumakuru,5538,Gubbi,2019-20,43,0,43,49,809,2019,"Financial Year (Apr - Mar), 2019"
155,India,29,Karnataka,548,Tumakuru,5539,Tiptur,2019-20,28,1,29,45,731,2019,"Financial Year (Apr - Mar), 2019"
97,India,29,Karnataka,548,Tumakuru,5540,Turuvekere,2019-20,29,0,29,46,772,2019,"Financial Year (Apr - Mar), 2019"
125,India,29,Karnataka,548,Tumakuru,5541,Kunigal,2019-20,41,0,41,52,825,2019,"Financial Year (Apr - Mar), 2019"
181,India,29,Karnataka,549,Udupi,5522,Kundapura,2019-20,46,1,47,114,3786,2019,"Financial Year (Apr - Mar), 2019"
209,India,29,Karnataka,549,Udupi,5523,Udupi,2019-20,14,3,17,116,3862,2019,"Financial Year (Apr - Mar), 2019"
154,India,29,Karnataka,549,Udupi,5524,Karkal,2019-20,27,1,28,129,4777,2019,"Financial Year (Apr - Mar), 2019"
140,India,29,Karnataka,549,Udupi,7065,Hebri,2019-20,9,1,10,129,5802,2019,"Financial Year (Apr - Mar), 2019"
48,India,29,Karnataka,549,Udupi,7066,Bainduru,2019-20,18,0,18,114,4428,2019,"Financial Year (Apr - Mar), 2019"
53,India,29,Karnataka,549,Udupi,7067,Kapu,2019-20,19,0,19,116,3757,2019,"Financial Year (Apr - Mar), 2019"
95,India,29,Karnataka,549,Udupi,7068,Brahmavara,2019-20,28,0,28,116,4043,2019,"Financial Year (Apr - Mar), 2019"
52,India,29,Karnataka,550,Uttara Kannada,5478,Karwar,2019-20,19,0,19,103,3234,2019,"Financial Year (Apr - Mar), 2019"
