ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Name of the fertilizer used,Required fertilizer quantity,Available fertilizer quantity
61,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201302,"May, 2013",Triple superphosphate,0.00000000000000000,0.00000000000000000
62,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201302,"May, 2013",UREA,15132.46948886072994000,1845.75150090436678920
63,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201303,"June, 2013",Diammonium Phosphate,9883.42462425268822000,8094.16377347114775340
64,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201303,"June, 2013",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
65,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201303,"June, 2013",Muriate of Potash (MOP) or Potassium Chloride,4390.46503545282300000,2774.38363884747721840
66,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201303,"June, 2013","nitrogen, phosphorus, and potassium",0.00000000000000000,10.73224786444023400
67,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201303,"June, 2013",Single super Phosphate,1492.75811205395982000,55.41742533638229920
68,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201303,"June, 2013",Triple superphosphate,0.00000000000000000,0.00000000000000000
69,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201303,"June, 2013",UREA,18781.43376277040950000,3307.14217942725810710
70,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201304,"July, 2013",Diammonium Phosphate,4878.29448383647000000,4944.29780820277743910
71,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201304,"July, 2013",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
72,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201304,"July, 2013",Muriate of Potash (MOP) or Potassium Chloride,1170.79067612075280000,1284.25980581478909220
73,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201304,"July, 2013","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
74,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201304,"July, 2013",Single super Phosphate,0.00000000000000000,0.00000000000000000
75,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201304,"July, 2013",Triple superphosphate,0.00000000000000000,0.00000000000000000
76,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201304,"July, 2013",UREA,14634.88345150941000000,5918.63956545943559220
77,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201305,"August, 2013",Diammonium Phosphate,7805.27117413835200000,4960.00591644073087250
78,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201305,"August, 2013",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
79,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201305,"August, 2013",Muriate of Potash (MOP) or Potassium Chloride,1170.79067612075280000,994.00128402651912720
80,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201305,"August, 2013","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
81,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201305,"August, 2013",Single super Phosphate,0.00000000000000000,0.00000000000000000
82,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201305,"August, 2013",Triple superphosphate,0.00000000000000000,0.00000000000000000
83,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201305,"August, 2013",UREA,11707.90676120752800000,7117.62678369676318880
84,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201306,"September, 2013",Diammonium Phosphate,7805.27117413835200000,4041.52063102400030090
85,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201306,"September, 2013",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
306,India,2,Himachal Pradesh,2012,"Financial Year (Apr - Mar), 2012",201203,"June, 2012",Triple superphosphate,0.00,0.00
86,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201306,"September, 2013",Muriate of Potash (MOP) or Potassium Chloride,1463.48834515094100000,62.19825466891499250
87,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201306,"September, 2013","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
88,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201306,"September, 2013",Single super Phosphate,0.00000000000000000,0.00000000000000000
89,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201306,"September, 2013",Triple superphosphate,0.00000000000000000,0.00000000000000000
90,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201306,"September, 2013",UREA,14634.88345150941000000,5685.26195735269886740
91,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201307,"October, 2013",Diammonium Phosphate,7805.27117413835200000,3697.84478463772098940
92,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201307,"October, 2013",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
93,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201307,"October, 2013",Muriate of Potash (MOP) or Potassium Chloride,1463.48834515094100000,3053.86112982646858470
94,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201307,"October, 2013","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
95,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201307,"October, 2013",Triple superphosphate,0.00000000000000000,0.00000000000000000
96,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201307,"October, 2013",UREA,12195.73620959117500000,10477.60089238397026600
97,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201308,"November, 2013",Diammonium Phosphate,1463.48834515094100000,3511.44515241032947070
98,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201308,"November, 2013",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
99,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201308,"November, 2013",Muriate of Potash (MOP) or Potassium Chloride,292.69766903018820000,2694.81865581610439270
100,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201308,"November, 2013","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
101,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201308,"November, 2013",Triple superphosphate,0.00000000000000000,0.00000000000000000
102,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201308,"November, 2013",UREA,7805.27117413835200000,4808.53487271760847900
103,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201309,"December, 2013",Diammonium Phosphate,2439.14724191823500000,3401.09813118594851930
104,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201309,"December, 2013",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
105,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201309,"December, 2013",Muriate of Potash (MOP) or Potassium Chloride,487.82944838364700000,649.54491052282598050
106,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201309,"December, 2013","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
107,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201309,"December, 2013",Triple superphosphate,0.00000000000000000,0.00000000000000000
108,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201309,"December, 2013",UREA,4878.29448383647000000,1347.33615349079464930
109,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201310,"January, 2014",Diammonium Phosphate,7600.38280581722026000,957.51164128742233160
110,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201310,"January, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
111,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201310,"January, 2014",Muriate of Potash (MOP) or Potassium Chloride,4273.38596784074772000,542.66147838196892280
112,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201310,"January, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
113,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201310,"January, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
114,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201310,"January, 2014",UREA,13366.52688571192780000,664.37492575368884930
115,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201311,"February, 2014",Diammonium Phosphate,16137.39815253104276000,5615.69747801319080520
116,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201311,"February, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
117,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201311,"February, 2014",Muriate of Potash (MOP) or Potassium Chloride,8195.53473284526960000,1843.16600482793346010
118,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201311,"February, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
119,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201311,"February, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
120,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201311,"February, 2014",UREA,23835.34684802499242000,3010.10282830645544880
121,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201312,"March, 2014",Diammonium Phosphate,11317.64320250061040000,6876.10242380201955910
122,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201312,"March, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
123,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201312,"March, 2014",Muriate of Potash (MOP) or Potassium Chloride,5873.46655853910988000,3362.80351948783222980
124,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201312,"March, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
125,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201312,"March, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
126,India,1,Jammu And Kashmir,2013,"Financial Year (Apr - Mar), 2013",201312,"March, 2014",UREA,18703.38105102902598000,1225.33000845004453460
127,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201401,"April, 2014",Diammonium Phosphate,0.00000000000000000,1315.96871995972614720
128,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201401,"April, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
129,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201401,"April, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.00000000000000000,283.42890951089890700
130,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201401,"April, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
131,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201401,"April, 2014",Single super Phosphate,0.00000000000000000,0.00000000000000000
132,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201401,"April, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
133,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201401,"April, 2014",UREA,0.00000000000000000,1842.04399709665107200
134,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201402,"May, 2014",Diammonium Phosphate,0.00000000000000000,0.00000000000000000
135,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201402,"May, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
136,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201402,"May, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.00000000000000000,725.89021919486673600
137,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201402,"May, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
138,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201402,"May, 2014",Single super Phosphate,0.00000000000000000,1203.62159799697224310
139,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201402,"May, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
140,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201402,"May, 2014",UREA,0.00000000000000000,2707.64857030859430880
141,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201403,"June, 2014",Diammonium Phosphate,0.00000000000000000,4309.19264935210740980
142,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201403,"June, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
143,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201403,"June, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.00000000000000000,3818.14352660912833960
144,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201403,"June, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,545.97871863097772240
145,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201403,"June, 2014",Single super Phosphate,0.00000000000000000,0.00000000000000000
146,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201403,"June, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
147,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201403,"June, 2014",UREA,0.00000000000000000,596.95689598706883390
148,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201404,"July, 2014",Diammonium Phosphate,0.00000000000000000,2353.33804194755149270
149,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201404,"July, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
150,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201404,"July, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.00000000000000000,778.72214845481570610
151,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201404,"July, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,257.67151463624234540
152,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201404,"July, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
153,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201404,"July, 2014",UREA,0.00000000000000000,9273.29633315926091710
154,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201405,"August, 2014",Diammonium Phosphate,0.00000000000000000,4792.24136914159466920
155,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201405,"August, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
156,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201405,"August, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.00000000000000000,687.05899510352843480
157,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201405,"August, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,557.00366416444814460
158,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201405,"August, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
159,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201405,"August, 2014",UREA,0.00000000000000000,11786.34973650761843760
160,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201406,"September, 2014",Diammonium Phosphate,0.00000000000000000,4966.25013338004155410
161,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201406,"September, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
162,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201406,"September, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.00000000000000000,2154.44997584153861080
163,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201406,"September, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
164,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201406,"September, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
165,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201406,"September, 2014",UREA,0.00000000000000000,13071.73155005368991790
166,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201407,"October, 2014",Diammonium Phosphate,0.00000000000000000,4240.50626301968991220
167,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201407,"October, 2014",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
168,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201407,"October, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.00000000000000000,728.03666876775478280
169,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201407,"October, 2014","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
170,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",201407,"October, 2014",Triple superphosphate,0.00000000000000000,0.00000000000000000
