srcYear,srcMonth,Name of the fertilizer used,srcStateName,Required fertilizer quantity,Available fertilizer quantity,YearCode,Year,MonthCode,Month
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Arunachal Pradesh,30.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Gujarat,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Himachal Pradesh,5000.00,80.55,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Tamil Nadu,92000.00,14149.80,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Chattishgarh,0.00,3858.25,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Chandigarh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,West Bengal,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Harayana,200000.00,3678.45,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Dadra & Nagar Haveli,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Madhya Pradesh,1230.00,15064.85,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Odisha,30000.00,21831.05,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Nagaland,40.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Jharkhand,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Tripura,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Andaman & Nicobar,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Himachal Pradesh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Jammu & Kashmir,2970.00,2704.35,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Chattishgarh,40000.00,24611.20,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Uttar Pradesh,0.00,16125.25,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Odisha,20000.00,13137.10,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Andaman & Nicobar,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Manipur,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Andhra Pradesh,50000.00,45798.76,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,West Bengal,0.00,7377.55,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Gujarat,40000.00,54296.07,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Chandigarh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Harayana,5000.00,3089.85,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Kerala,15000.00,3187.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Uttaranchal,5000.00,5324.10,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Tamil Nadu,55150.00,34859.45,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Andhra Pradesh,75000.00,88111.50,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Uttar Pradesh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Madhya Pradesh,3460.00,28366.05,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Assam,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Punjab,10000.00,59217.55,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Tamil Nadu,26000.00,30168.10,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Rajasthan,219260.00,18957.85,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Jammu & Kashmir,9150.00,4416.70,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Rajasthan,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Gujarat,32200.00,41035.61,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Pondicherry,500.00,20.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Uttar Pradesh,35000.00,4490.80,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Tripura,480.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Goa,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Sikkim,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Assam,4600.00,1986.80,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
