ROWID,Country,State lgd code,State,Station code,Station name,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of hydrogen value in water,Maximum potential of hydrogen value in water,Minimum conductivity level,Maximum conductivity level,Minimum biochemical oxygen demand,Maximum biochemical oxygen demand,Minimum  of nitrate n + nitrite n required required for ground water,Maximum  of nitrate n + nitrite n required required for ground water,Minimum  of faecal coliforms required for ground water,Maximum   of faecal coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,Source year,Year code,Year
353,India,15,Mizoram,3733,S HLIMEN HAND PUMP,18,21,6.2,6.7,,,1.5,1.5,0.07,0.16,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
354,India,15,Mizoram,3734,"TLAWNG RIVER,UPSTREAM ZOBAWK,LUNGLEI",18,26,6.2,7.4,102,786,0.2,1.6,0,0.1,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
355,India,1,Jammu And Kashmir,3290,GROUND WATER AT ZANAKOT (I),18,18,7.6,7.6,966,966,1.6,1.6,,,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
1101,India,10,Bihar,2588,KISHANGANJ,24,28,7.6,7.6,,,,,,,4,4,8,11,2013,2013,"Calendar Year (Jan - Dec), 2013"
356,India,15,Mizoram,3726,"RAMHLUN S TUIKHUR, NEAR  COMMUNITY HALL",18,23,5.4,7.5,255,255,0.7,1.9,0.01,0.61,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
357,India,2,Himachal Pradesh,2631,HAND PUMP AT NADAUN TOWN,18,19,7.8,8.2,926,967,0.2,2,0,0.04,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
358,India,15,Mizoram,3733,S HLIMEN HAND PUMP,18,22,6.2,7.7,144,917,0.5,2.3,0.02,0.07,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
359,India,15,Mizoram,3741,"KHUPUI TUIKHUR, LAWNGTLAI",18,26,6.5,7.6,92,361,1,2.6,0.02,0.08,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
360,India,8,Rajasthan,2990,"WELL OF BHIKSINGH S/O AMAR  SINGH PUROHIT, SAKARNA BERA, BALOTRA, JODHPUR, RAJASTHAN",18,18,7.6,7.6,11500,11500,3.1,3.1,3.7,3.7,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
361,India,18,Assam,1538,"*SILCHAR, ASSAM",18,19,6.2,7.2,106,520,1.2,3.6,2.2,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
362,India,27,Maharashtra,2008,"RASULWADI- SAMBARWADI, SANGLI",18,25,6.9,7.4,1315,1862,2.6,4.8,0.8,1.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
363,India,1,Jammu And Kashmir,3292,GROUND WATER AT SADAKADAL,18,18,7.3,7.3,917,917,5,5,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
364,India,15,Mizoram,3739,"ZOBAWK VENG HAND PUMP, LUNGLEI",18,24,6.9,7.9,111,310,0.1,5.1,0.04,0.11,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
365,India,2,Himachal Pradesh,2636,HAND PUMP AT KANGRA TEMPLE/  TOWN,18,18,6.9,7.1,660,683,0.5,6,2.4,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
366,India,36,Telangana,3088,"B/W AT J.NARASIMHA RAOÃ¢ÂÂS  HOUSE, 14NOS. AREA,  RAMAVARAM, NEAR MWS  DUMPSITE, KOTHAGUDEM,  KHAMMAM",18,20,7.8,8,1556,1634,5,12,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
367,India,9,Uttar Pradesh,1746,Nagar Palika Tube well  Sultanpur,18,22,7.6,7.8,315,869,,,0,0.3,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
368,India,5,Uttarakhand,3450,"GROUND WATER AT SIDCUL  INDUSTRIAL AREA- 1,  HARIDWAR",18,18,6.9,7.1,434,434,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
369,India,2,Himachal Pradesh,2648,HAND PUMP AT KEYLONG,18,18,7.9,7.9,447,447,,,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
370,India,13,Nagaland,2896,BOREWELL AT KOHIMA VILLAGE IN KOHIMA,18,19,6.7,7.5,641,784,,,0.8,9.7,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
371,India,9,Uttar Pradesh,1749,"TUBE WELL AT MEERUT CITY, U.P",18,18,7.2,7.2,695,695,,,2.2,2.2,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
372,India,9,Uttar Pradesh,2474,UNCHAHAAR (NEAR  THERMAL POWER PLANT),18,20,7.8,7.8,756,761,,,0.2,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
373,India,9,Uttar Pradesh,1746,"NAGAR PALIKA TUBE WELL, SULTANPUR, U.P",18,18,7.7,7.8,802,891,,,0.1,0.1,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
374,India,9,Uttar Pradesh,2474,UNCHAHAAR (NEAR THERMAL POWER PLANT),18,18,7.8,7.8,816,861,,,0.2,0.2,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
375,India,9,Uttar Pradesh,1747,INDIA MARKA HAND PUMP  IN SAROWNI BLOCK AT  RAIBAREILLY,18,22,7.8,7.8,852,859,,,0.2,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
376,India,5,Uttarakhand,3454,GROUND WATER AT ROORKEE INDUSTRIAL AREA-  1,18,18,7.3,7.5,902,902,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
377,India,5,Uttarakhand,3453,GROUND WATER AT  BHAGWAN INDUSTRIAL  AREA- 2,18,18,7.2,7.3,1104,1104,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
379,India,10,Bihar,1839,"HAND PUMP WATER IN CAMPUS  OF KASTURBA WATER WORKS,  MUNGER",18,18,7.3,7.3,1810,1810,,,6.93,6.93,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
380,India,23,Madhya Pradesh,3335,"TUBE WELL/ HAND PUMP AT  INDUSTRIAL AREA RECHHAI,  JABALPUR",18.5,22,7.4,8.5,360,592,0.2,0.2,1,1,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
381,India,8,Rajasthan,2967,"SH. POL SINGH PUROHIT,  VILLAGE PUNAYATA, PALI,  RAJASTHAN",18.5,18.5,8.3,8.3,1310,1310,,,2.1,2.1,7,7,4,4,2019,2019,"Calendar Year (Jan - Dec), 2019"
382,India,8,Rajasthan,4806,"SHRI BABUAL SOPATRA, SHEKHO  KI DDHANI PALI",18.5,26.5,8,9.7,4200,4500,,,2.47,2.8,7,9,4,4,2019,2019,"Calendar Year (Jan - Dec), 2019"
383,India,8,Rajasthan,4168,"HAND PUMP AT VILLAGE  MANDAPIA, BHILWARA",18.5,18.5,7.4,7.4,4100,4100,,,2.47,2.47,14,14,9,9,2019,2019,"Calendar Year (Jan - Dec), 2019"
384,India,2,Himachal Pradesh,1878,BAROTIWALA INDUSTRIAL  AREA,18.5,19.8,7.4,8.1,681,1862,0.1,0.2,0,15.6,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
385,India,2,Himachal Pradesh,2628,HAND PUMP AT SHAMSHI,19,20,6.1,8.1,446,813,0,0,0,0.67,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
386,India,2,Himachal Pradesh,1880,KALA AMB INDUSTRIAL AREA,19,19,7.7,7.9,784,918,0.2,0.2,2.04,2.04,2,2,2,4,2017,2017,"Calendar Year (Jan - Dec), 2017"
387,India,21,Odisha,3983,"BUDHIPADAR, JHARSUGUDA",19,35,7.3,7.6,114,143,0.5,0.6,2.55,3.07,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
388,India,18,Assam,1533,"GROUND WATER AT DIGBOI,  TINSUKIA DISTT., ASSAM",19,26,6.5,6.8,145,452,1.7,2.6,0.8,0.8,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
389,India,9,Uttar Pradesh,1746,"NAGAR PALIKA TUBE WELL, SULTANPUR, U.P",19,20,7.7,7.7,871,901,,,0.11,0.12,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
390,India,5,Uttarakhand,3452,GROUND WATER AT BHAGWAN  INDUSTRIAL AREA- 1,19,19,7.1,7.1,1770,1770,,,,,2,2,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
391,India,2,Himachal Pradesh,2646,HAND PUMP AT KALA AMB,19,19,7.5,8,1090,1831,0.3,0.3,4.38,4.38,2,4,2,6,2017,2017,"Calendar Year (Jan - Dec), 2017"
392,India,17,Meghalaya,3385,MAWTHADRISHAN WELL AT MARKASA,19,22,6.6,6.7,48,55,1.5,1.5,0.4,0.4,2,4,20,21,2018,2018,"Calendar Year (Jan - Dec), 2018"
393,India,36,Telangana,1515,"B/W. - NAGARAM(V),  PALVONCHA, KHAMMAM  DIST.",19,26,7.9,7.9,1643,2219,2,2,0,0.5,4,4,15,15,2016,2016,"Calendar Year (Jan - Dec), 2016"
394,India,8,Rajasthan,2991,"WELL OF BHAG JI LAXMAN RAM  MALI, SAKARNA BERA, BALOTRA, JODHPUR, RAJASTHAN",19,19,7.4,7.4,9700,9700,2.5,2.5,2.9,2.9,4,4,7,7,2014,2014,"Calendar Year (Jan - Dec), 2014"
395,India,10,Bihar,1831,MUZAFFARPUR,19,27,7.84,8.4,836,910,,,,,1,4,2,8,2012,2012,"Calendar Year (Jan - Dec), 2012"
396,India,10,Bihar,1840,MOTIHARI,19,28,7.66,8.2,480,542,,,,,1,8,2,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
397,India,8,Rajasthan,2965,"SHRI GIRDHARI SINGH  CHOUDHARY NEAR BANDI RIVER  BRIDGE, PALI BYE PASS ROAD,  PALI, RAJASTHAN",19,19,8.2,8.2,5100,5100,,,2.69,2.69,9,9,4,4,2019,2019,"Calendar Year (Jan - Dec), 2019"
398,India,8,Rajasthan,4807,"SHRI MUKESH RAJPUROHIT,  INFORNT OF GS-197-A,  PUNAYATA INDUSTRY ROAD,  NEAR BY NATIONAL HIGHWAY  PALI-JODHPUR, CETP-IV, PALI",19,28,7.8,8.5,5400,8500,,,1.7,2.11,7,11,4,7,2019,2019,"Calendar Year (Jan - Dec), 2019"
399,India,17,Meghalaya,3385,MAWTHADRISHAN WELL AT  MARKASA,19,21,6.7,6.8,55,66,1,1.4,0.42,0.5,13,17,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
400,India,17,Meghalaya,1634,"POLICE BAZAR, SHILLONG",19,22,6.2,6.4,252,280,1.5,2,10,11.1,9,19,20,44,2016,2016,"Calendar Year (Jan - Dec), 2016"
401,India,17,Meghalaya,1635,"MAWLAI, SHILLONG",19,21,5.4,5.7,200,263,1.8,2.6,16,17.1,20,26,34,55,2016,2016,"Calendar Year (Jan - Dec), 2016"
402,India,17,Meghalaya,1635,"MAWLAI, SHILLONG, MEGHALAYA",19,19,5,5,220,255,4,4.4,10.2,16.4,49,70,70,110,2012,2012,"Calendar Year (Jan - Dec), 2012"
403,India,9,Uttar Pradesh,1736,GROUND WATER QUALITY  STATION SARDARNAGAR,19,29,6.9,6.9,992,1032,3.9,4.8,3.1,4.5,70,110,150,330,2016,2016,"Calendar Year (Jan - Dec), 2016"
404,India,2,Himachal Pradesh,1875,MANDI-D/S OF MSW DUMPING  SIOT,19,24,7.5,7.9,283,615,3.2,20,2,3,49,130,170,920,2013,2013,"Calendar Year (Jan - Dec), 2013"
405,India,27,Maharashtra,2003,"SAWARGAON, YAVATMAL",19,19,7.9,7.9,236,236,3.6,3.6,0.49,0.49,150,150,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
406,India,27,Maharashtra,1994,"TPS-DURGAPUR, CHANDRAPUR",19,19,7.7,7.7,208,208,3.2,3.2,0.54,0.54,170,170,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
407,India,27,Maharashtra,1988,"GHARATWADI,ALIYALI,PALGHAR,  THANE",19,19,8.5,8.5,566,566,5.4,5.4,0.57,0.57,240,240,34,34,2019,2019,"Calendar Year (Jan - Dec), 2019"
408,India,21,Odisha,3985,"RAMPUR AREA (WATER TANK), JHARSUGUDA",19,38,7.8,8.2,307,330,0.1,1.2,0.54,2.45,2,330,2,1300,2017,2017,"Calendar Year (Jan - Dec), 2017"
409,India,28,Andhra Pradesh,1516,"BOREWELL OF NAVLOK  GARDENS, NELLORE",19,19,7.8,8.1,890,1566,1.2,1.2,1.5,1.66,21,400,2,3,2019,2019,"Calendar Year (Jan - Dec), 2019"
410,India,2,Himachal Pradesh,2647,HAND PUMP AT TAHLIWAL IA,19,19,7.8,8.3,903,927,0.1,0.1,0,0.06,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
411,India,2,Himachal Pradesh,2630,HAND PUMP AT HAMIRPUR TOWN,19,19,7.5,7.9,1075,1546,0.1,0.1,0.02,0.12,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
412,India,2,Himachal Pradesh,1883,UNA INDUSTRIAL AREA,19,19,7.6,8.2,936,946,0.2,0.2,0,0.04,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
413,India,2,Himachal Pradesh,2637,HAND PUMP AT JWALAJI  TEMPLE,19,20,7.8,7.8,1285,1435,0.1,0.2,0,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
414,India,2,Himachal Pradesh,1561,"AT DAMTAL, H.P",19,21,7.2,7.7,695,724,0.4,0.5,2.48,4,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
415,India,36,Telangana,1515,"B/W. - NAGARAM(V),  PALVONCHA, KHAMMAM DIST., A.P.",19,19,7.4,7.4,1569,1569,0.6,0.6,2.8,2.8,,,400,400,2014,2014,"Calendar Year (Jan - Dec), 2014"
416,India,15,Mizoram,3731,TUIKUAL HAND PUMP,19,23,6.2,7.8,105,721,0.4,0.9,0,0.2,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
417,India,23,Madhya Pradesh,2144,"MADAI GRAM, JABALPUR",19,19,7.5,7.5,392,392,0.9,0.9,0.46,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
418,India,2,Himachal Pradesh,2642,HAND PUMP AT DALHOUSIE TOWN,19,23,7.4,8,161,237,0.6,1.6,0.2,1.9,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
419,India,8,Rajasthan,2988,"WELL OF PEMA RAM MALI,  BHITUJA, RAJASTHAN",19,19,7.9,7.9,6600,6600,1.8,1.8,3,3,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
420,India,15,Mizoram,3730,SELESIH HAND PUMP,19,20,5.7,6.3,,,1.8,1.8,0.03,0.32,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
421,India,18,Assam,1536,"*SIBSAGAR, ASSAM",19,24,6,7.1,140,175,0.9,2.2,0.1,0.17,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
422,India,8,Rajasthan,2986,"TUBE WELL OF GIRDHARI LAL,  BHITUJA, RAJASTHAN",19,19,7.8,7.8,8400,8400,2.7,2.7,3.1,3.1,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
423,India,15,Mizoram,3742,"CHANMARI HAND PUMP, LAWNGTLAI",19,25,6.9,7.7,84,364,0.3,4,0.02,0.13,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
424,India,1,Jammu And Kashmir,3288,GROUND WATER AT IQBAL PARK,19,19,7.6,7.6,902,902,6.1,6.1,,,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
425,India,1,Jammu And Kashmir,2762,"GHARANA  WETLAND,R.S.PURA",19,19,8.1,8.1,1542,1542,50,50,2.2,2.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
426,India,9,Uttar Pradesh,2480,"NEAR BRAHMAN MAJRA,  PILKHANI",19,19,7,7,340,340,,,,,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
427,India,10,Bihar,1833,"GROUND WATER NEAR TAP  WATER IN CAMPUS OF S.P  OFFICE, POKHARIA, BEGUSARAI",19,19,7.4,7.4,667,667,,,0.06,0.06,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
428,India,9,Uttar Pradesh,2472,"VILLAGE DAURALA, MEERUT",19,19,7.2,7.2,710,710,,,1.3,1.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
429,India,9,Uttar Pradesh,2475,"INDUSTRIAL AREA,  SULTANPUR ROAD",19,22,8.1,8.1,753,781,,,0.2,0.3,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
430,India,9,Uttar Pradesh,2475,"INDUSTRIAL AREA, SULTANPUR ROAD",19,19,7.9,8.1,851,977,,,0.2,0.2,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
431,India,9,Uttar Pradesh,1746,"NAGAR PALIKA TUBE WELL,  SULTANPUR, U.P",19,19,7.8,7.8,1161,1161,,,0.11,0.11,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
432,India,9,Uttar Pradesh,2474,UNCHAHAAR (NEAR THERMAL  POWER PLANT),19,19,7.8,7.8,1182,1182,,,0.12,0.12,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
433,India,5,Uttarakhand,3452,GROUND WATER AT  BHAGWAN INDUSTRIAL  AREA- 1,19,19,7,7.5,1930,1930,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
434,India,8,Rajasthan,4809,"SHRI RANARAM, NEAR  BHANWAR SINGH MANDLI  FROM HOUSE NH-PALI- SUMERPUR",19.5,27,7.7,8.6,1690,4300,1.2,1.2,3,3.08,7,11,4,4,2019,2019,"Calendar Year (Jan - Dec), 2019"
435,India,8,Rajasthan,2966,"SHRI GIRDHARI SINGH  RAJPUROHIT NEAR VILLAGE  PUNAYATA, JODHPUR-  SUMERPUR BYE PASS ROAD,  PALI, RAJASTHAN",19.5,19.5,8.5,8.5,4900,4900,,,2.28,2.28,14,14,7,7,2019,2019,"Calendar Year (Jan - Dec), 2019"
436,India,2,Himachal Pradesh,1883,GROUND WATER AT UNA  INDUSTRIAL AREA,19.5,19.5,7.2,7.7,204,5860,0.1,0.1,0,0.36,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
437,India,2,Himachal Pradesh,4434,BOREWELL OF DIC UNA AT IA  JEETPUR BEHRI,19.5,19.5,7.9,7.9,377,377,0.1,0.1,0,0,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
438,India,2,Himachal Pradesh,1557,"AT PARWANOO, H.P",19.6,19.6,6.8,7,477,702,0.1,0.1,0,0.3,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
439,India,13,Nagaland,2896,BOREWELL AT KOHIMA VILLAGE IN KOHIMA,19.7,27.5,7.4,8.5,460,712,,,0,0.06,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
440,India,18,Assam,2247,GROUND WATER FROM SILAPATHAR,20,22,6.1,6.2,591,706,0.2,0.7,0.3,6.3,0,0,0,36,2014,2014,"Calendar Year (Jan - Dec), 2014"
441,India,18,Assam,2246,GROUND WATER FROM  SEMENCHAPARI,20,22,6.2,6.9,470,617,0.7,0.9,0,0.2,0,0,0,0,2014,2014,"Calendar Year (Jan - Dec), 2014"
442,India,18,Assam,1536,"*SIBSAGAR, ASSAM",20,25,5.5,5.8,696,885,1.3,2.4,0.1,0.4,0,0,0,91,2014,2014,"Calendar Year (Jan - Dec), 2014"
443,India,9,Uttar Pradesh,1755,"PILKHUA INDUSTRIAL AREA  GHAZIABAD, U.P",20,24,6.7,6.8,1198,1210,0.2,0.3,0.3,0.38,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
444,India,21,Odisha,3966,"NEAR BADABAZAR, BERHAMPUR",20,24,6.8,7.6,777,1291,0.6,0.6,4.62,9.94,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
445,India,9,Uttar Pradesh,1754,"HAPUR ROAD INDUSTRIAL AREA  GHAZIABAD, U.P",20,24,6.9,7,960,982,0.4,0.7,0.38,0.4,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
446,India,21,Odisha,3967,"NEAR RAILWAY STATION STAND, BERHAMPUR",20,26,7.4,7.9,973,1545,0.4,0.8,0.4,7.6,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
447,India,18,Assam,2261,"GROUND WATER FROM HAFLONG, ASSAM",20,24,6.1,7.2,90,122,0.8,1,0.7,2.1,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
448,India,21,Odisha,3981,"BURKHAMUNDA, JHARSUGUDA",20,30,7.7,7.9,142,180,0.4,1,2.09,4.53,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
449,India,36,Telangana,4284,"B/W NEAR MALKAPUR LAKE,  MALKAPUR VILLAGE  (AGRICULTURAL FIELD)  CHOUTUPPA; MANDAL",20,20,7.2,7.4,753,1732,1.2,1.2,19.32,19.32,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
450,India,18,Assam,2261,"GROUND WATER FROM  HAFLONG, ASSAM",20,21,6.7,7.2,116,126,1.2,1.3,0.8,0.8,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
451,India,21,Odisha,3982,"BADAMANI INDUSTRIAL ESTATE, JHARSUGUDA",20,32,7.3,7.7,133,143,0.5,1.5,0.4,4.1,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
452,India,21,Odisha,3984,"BRAJARAJ NAGAR MINING BELT, JHARSUGUDA",20,37,7.1,7.5,146,351,1.5,1.6,0.26,0.82,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
453,India,18,Assam,2247,"GROUND WATER FROM SILAPATHAR, ASSAM",20,23,6.3,6.4,94,225,1.4,1.8,0.6,1.1,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
454,India,36,Telangana,4287,B/W NEAR LINGAREDDYGUDAM  VILLAGE (BESIDE CHOUTUPPAL-  VALIGONDA ROAD)  CHOUTUPPAL MANDAL,20,20,6.9,7.1,1078,1732,1.8,1.8,18.37,18.37,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
455,India,18,Assam,2246,"GROUND WATER FROM SEMENCHAPARI, ASSAM",20,22,6.2,7,188,236,0.9,2.2,0.4,0.4,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
456,India,9,Uttar Pradesh,1753,"MEERUT ROAD INDUSTRIAL  AREA GHAZIABAD, U.P",20,23,6.9,7.9,501,1232,0.3,2.8,0.39,0.4,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
457,India,36,Telangana,4264,BORE WELL WATER POINT AT ZP  GIRLS HIGH SCHOOL BHUDAM  POCHAMPALLY (V & M)  YADADRI DISTRICT,20,20,6.6,7.2,2100,3510,3.2,3.2,23.49,23.49,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
458,India,3,Punjab,4145,"SAGAR PARA DRAIN MEETING  WITH RIVER GHAGGAR NEAR  VILL SAGAR PARA, PATRAN",20,20,6.9,8.1,531,1064,,,0.5,0.9,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
459,India,3,Punjab,4144,GROUND WATER SAMPLING  BLOCATION IN VILLAGE MAIN,20,20,7.2,7.5,613,993,,,3,3.4,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
460,India,9,Uttar Pradesh,2475,"INDUSTRIAL AREA, SULTANPUR ROAD",20,22,8,8,759,971,,,0.2,0.24,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
461,India,8,Rajasthan,2023,"HOTEL ORIENT PLACE, SUBHAS NAGAR, UDAIPUR",20,22,7.2,7.3,1280,1400,1.3,2.1,2.1,2.8,3,3,4,4,2018,2018,"Calendar Year (Jan - Dec), 2018"
462,India,2,Himachal Pradesh,2636,HAND PUMP AT KANGRA TEMPLE,20,21,6.32,7.01,559,695,0.6,1.1,0,0.094,4,4,27,27,2012,2012,"Calendar Year (Jan - Dec), 2012"
463,India,8,Rajasthan,3006,"HAND PUMP NEAR NEVTA TIRAHA,  NEVTA DAM, SANGANER, JAIPUR, RAJASTHAN",20,26,8,8.4,2000,2100,0.9,1.8,0.32,2,3,4,4,9,2013,2013,"Calendar Year (Jan - Dec), 2013"
489,India,27,Maharashtra,2001,"SUKALI, AMRAVATI",20,22,7.1,8.08,492,492,3.8,5.3,5.68,8,22,30,70,170,2012,2012,"Calendar Year (Jan - Dec), 2012"
464,India,8,Rajasthan,2982,"WELL OF BIRMA RAM PATEL,  SALAWAS, JODHPUR, RAJASTHAN",20,20,8,8,2200,2200,2.4,2.4,0.6,0.6,4,4,9,9,2014,2014,"Calendar Year (Jan - Dec), 2014"
465,India,8,Rajasthan,2982,"WELL OF BIRMA RAM PATEL,  SALAWAS, JODHPUR",20,23.2,7.5,7.96,5500,8900,3.15,4.05,0.08,0.62,3,4,9,14,2012,2012,"Calendar Year (Jan - Dec), 2012"
466,India,8,Rajasthan,2021,"NEAR ARVIND GENERAL STORE,  ALOO FACTORY, KACCHI BASTI, SARDARPURA, UDAIPUR",20,24,7.37,7.84,1610,3100,0.7,12.2,1.14,6.24,3,4,4,20,2012,2012,"Calendar Year (Jan - Dec), 2012"
467,India,10,Bihar,2585,JAHANABAD,20,27,7.8,8,552,610,,,,,4,7,7,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
468,India,10,Bihar,1830,MUZAFFARPUR,20,28,7.53,8.1,815,816,,,,,2,7,4,11,2012,2012,"Calendar Year (Jan - Dec), 2012"
469,India,8,Rajasthan,2022,"NEAR RANA PRATAP NAGAR,  RAILWAY STATION, UDAIPUR",20,22,7,7.4,880,1710,,,1.4,1.6,3,7,3,4,2019,2019,"Calendar Year (Jan - Dec), 2019"
470,India,8,Rajasthan,4798,"BOREWELL OF BSNL OFFICE,  SECTOR-03, HIRAN MARG,  UDAIPUR",20,22,7.4,7.7,1510,1540,,,2.2,2.46,7,7,4,4,2019,2019,"Calendar Year (Jan - Dec), 2019"
471,India,8,Rajasthan,2019,"NEAR UIT BRIDGE, UDAIPUR",20,22,7,7.1,1630,1690,,,0.02,1.66,4,7,4,4,2019,2019,"Calendar Year (Jan - Dec), 2019"
472,India,8,Rajasthan,2021,"NEAR ARVIND GENERAL STORE,  ALOO FACTORY, KACCHI BASTI,  SARDARPURA, UDAIPUR",20,22,0,7,1760,1800,,,1.76,1.84,7,7,3,3,2019,2019,"Calendar Year (Jan - Dec), 2019"
473,India,2,Himachal Pradesh,2638,HAND PUMP AT CHINTPURNI  TEMPLE/ TOWN,20,22,7.62,8.02,416,552,0.2,0.5,1.4,5.64,8,8,21,21,2012,2012,"Calendar Year (Jan - Dec), 2012"
474,India,27,Maharashtra,2007,"SAVALI, SANGLI",20,21,7.2,7.3,1787,2686,2.4,3.4,1.07,1.4,8,8,23,23,2017,2017,"Calendar Year (Jan - Dec), 2017"
475,India,8,Rajasthan,2023,"HOTEL ORIENT PLACE, SUBHAS  NAGAR, UDAIPUR",20,22,7.1,7.3,1340,1640,,,1.66,1.7,7,9,3,4,2019,2019,"Calendar Year (Jan - Dec), 2019"
476,India,8,Rajasthan,4796,"OPEN WELL OF SARAS DAIRY,  VILAS, NH-08, UDAIPUR",20,22,7.2,7.3,1370,1510,,,1.66,1.82,7,11,4,7,2019,2019,"Calendar Year (Jan - Dec), 2019"
