ROWID,Country,State lgd code,State,Station code,Station name,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of hydrogen value in water,Maximum potential of hydrogen value in water,Minimum conductivity level,Maximum conductivity level,Minimum biochemical oxygen demand,Maximum biochemical oxygen demand,Minimum  of nitrate n + nitrite n required required for ground water,Maximum  of nitrate n + nitrite n required required for ground water,Minimum  of faecal coliforms required for ground water,Maximum   of faecal coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,Source year,Year code,Year
2080,India,9,Uttar Pradesh,1741,"MAGAWARA INDUSTRIAL AREA  NEAR M/S JAMJAM TANNERS, UNNAO, U.P",26,26,7.5,7.5,1202,1202,,,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2081,India,34,Puducherry,2014,"VADAMATTAM, KARAIKAL",26,30,8.12,8.52,1348,1430,,,0.178,0.22,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2082,India,33,Tamil Nadu,32,"WELL AT MUSIRI, TAMIL NADU",26,29,7.43,7.7,1373,1418,,,0.042,0.343,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2083,India,34,Puducherry,4632,MADUKARAI,26,26,7.1,7.1,1610,1610,,,6.5,6.5,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2084,India,9,Uttar Pradesh,1740,"AT ROADWAYS BUS STATION,  UNNAO, U.P",26,26,7.3,7.3,2940,2940,,,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2085,India,9,Uttar Pradesh,1739,"SITE 2, INDUSTRIAL AREA  NEAR M/S AMIN SONS, UNNAO, U.P",26,26,7.4,7.4,2987,2987,,,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2086,India,22,Chhattisgarh,3174,"BOREWELL/ HANDPUMP IN  DHANRAS, NTPC, KORBA,  CHHATISGARH.",26.1,26.3,7.1,7.2,,,,,,,20,20,20,20,2019,2019,"Calendar Year (Jan - Dec), 2019"
2087,India,9,Uttar Pradesh,1742,"CHINHAT INDUSTRIAL AREA IN  LUCKNOW NEAR M/S INDIA  PESTICIDES LUCKNOW, U.P",26.1,26.1,7.3,7.5,456,963,,,1,1.4,68,350,40,40,2019,2019,"Calendar Year (Jan - Dec), 2019"
2088,India,22,Chhattisgarh,3172,"BOREWELL/ HANDPUMP IN ROGBAHRI VILLAGE,  KORBA",26.2,26.5,7.1,7.2,,,0.4,0.6,0,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2089,India,22,Chhattisgarh,3173,"BOREWELL/ HANDPUMP IN PARSABHATA,  BALCO, KORBA",26.2,26.6,7.2,7.2,,,0.4,0.6,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2090,India,22,Chhattisgarh,3174,"BOREWELL/ HANDPUMP IN DHANRAS, NTPC,  KORBA",26.3,26.6,7.1,7.1,,,0.6,0.8,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2091,India,22,Chhattisgarh,3174,"BOREWELL/ HANDPUMP IN  DHANRAS, NTPC,KORBA",26.3,26.9,7.2,7.2,,,0.6,2,0.4,1.1,,,2,70,2014,2014,"Calendar Year (Jan - Dec), 2014"
2092,India,13,Nagaland,2905,"BOREWELL AT SIGNAL POINT, DIMAPUR",26.3,26.3,6.5,7.8,256,442,,,0,0.11,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2093,India,8,Rajasthan,2016,"VILLAGE VINAYAKIA,  JODHPUR (HIRALAL  KUMHAR)",26.4,40.2,7,7.3,2000,2700,1.7,2.2,3.2,3.4,3,3,7,11,2016,2016,"Calendar Year (Jan - Dec), 2016"
2094,India,32,Kerala,35,"WELL AT PUNALUR, KERALA",26.4,26.8,5,5.8,329,344,0.4,0.6,4.5,6.1,170,400,300,700,2012,2012,"Calendar Year (Jan - Dec), 2012"
2095,India,22,Chhattisgarh,3172,"BOREWELL/ HANDPUMP IN  ROGBAHRI VILLAGE, KORBA",26.4,26.8,6.8,6.9,,,0.4,0.6,0.6,0.8,,,2,2,2014,2014,"Calendar Year (Jan - Dec), 2014"
2096,India,18,Assam,2255,"GROUND WATER NEAR BPRL,  DHALIGAON",26.5,32,6.4,7.4,600,893,0.6,1,4.9,7.3,0,0,0,4600,2014,2014,"Calendar Year (Jan - Dec), 2014"
2097,India,19,West Bengal,2545,GROUND WATER POINT AT  PURULIA RK MISSION,26.5,29.5,6.72,7.2,1087,1410,0.78,1.58,1.82,3.429,8,8,23,23,2012,2012,"Calendar Year (Jan - Dec), 2012"
2098,India,10,Bihar,2594,SAHARSA,26.5,28,7.5,7.8,686,686,,,,,7,11,17,21,2012,2012,"Calendar Year (Jan - Dec), 2012"
2099,India,32,Kerala,1581,"PAPPANAMKODE,THIRUVANANTHAPURAM",26.5,26.5,4.5,5.6,52,260,0.5,0.8,1.64,1.82,80,80,110,240,2012,2012,"Calendar Year (Jan - Dec), 2012"
2100,India,32,Kerala,2311,VADAVATHOOR (KOTTAYAM),26.5,28,5.5,6.9,95,179,0.4,0.4,1.6,11.9,49,630,110,1100,2014,2014,"Calendar Year (Jan - Dec), 2014"
2101,India,34,Puducherry,2014,"WELL AT VADAMATTAM, KARAIKAL",26.5,30,8.2,8.6,1465,1575,0,0,0.16,0.21,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
2102,India,9,Uttar Pradesh,1759,"IFFCO, PHOOLPUR,ALLAHABAD,  U.P",26.5,27.5,6.64,7.14,800,995,0.7,0.8,0,0,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2103,India,19,West Bengal,2540,SATI GHAT AT BANKURA TOWN,26.5,27,7.8,8.3,1228,1502,0.9,0.9,0.11,0.12,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2104,India,19,West Bengal,2545,GROUND WATER POINT AT  PURULIA RK MISSION,26.5,32.5,6.9,7.1,1352,1932,0.8,0.9,1.4,2.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2105,India,9,Uttar Pradesh,2470,"AT INDUSTRIAL AREA, FATEHPUR",26.5,27.5,7.13,7.3,1299,1360,1,1.1,5.48,7.17,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2106,India,19,West Bengal,2536,NALHATI RAILWAY STATION OF  BIRBHUM,26.5,28.5,6.5,7.21,1064,1089,0.71,1.58,0.15,0.182,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2107,India,19,West Bengal,2542,DWARIKA AT BISHNUPUR TOWN,26.5,28,6.8,6.94,513,726,1.31,1.59,0.15,0.189,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2108,India,16,Tripura,1732,"A.D.NAGAR, AGARTALA,  TRIPURA",26.5,27.5,7.56,7.74,108,120,,,,,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
2109,India,16,Tripura,1406,"WELL AROUND UDAIPUR  (TUBEWELL), TRIPURA",26.5,28,7.6,7.8,330,366,,,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2110,India,9,Uttar Pradesh,1758,"GROUND AROUND STP  DINAPUR, VARANASI",26.5,26.5,7.5,7.5,508,508,,,3.6,3.6,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2111,India,9,Uttar Pradesh,2467,"CHANDPUR INDUSTRIAL  AREA, LAHARTARA,  VARANASI",26.5,26.5,7.5,7.5,520,520,,,3.2,3.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2112,India,34,Puducherry,2014,"VADAMATTAM,  KARAIKAL",26.5,28,7.5,7.8,1295,1330,,,0.2,0.5,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
2113,India,22,Chhattisgarh,3173,"BOREWELL/ HANDPUMP IN  PARSABHATA, BALCO, KORBA",26.6,26.9,7.1,7.2,,,0.4,4,0.4,0.6,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2114,India,8,Rajasthan,2960,"WELL INFRONT OF SINGHANA  POLICE STATION, SINGHANA, JHUNJHUNU",26.8,34,7.37,7.45,3600,4100,0.8,1.45,0.14,0.42,4,4,14,14,2012,2012,"Calendar Year (Jan - Dec), 2012"
2115,India,32,Kerala,19,WELL AT ELOOR,26.8,27.8,6,6.6,139,163,0.7,0.9,0.9,2.3,11,240,14,460,2016,2016,"Calendar Year (Jan - Dec), 2016"
2116,India,32,Kerala,1583,"NEDUMANGAD,THIRUVANANTHAPURAM",26.8,28.9,4.4,4.6,154,165,0.7,0.8,0.14,3.7,40,400,140,900,2012,2012,"Calendar Year (Jan - Dec), 2012"
2117,India,9,Uttar Pradesh,1751,"TUBE WELL IN INDUSTRIAL AREA  AT GAJRAULA,MORADABAD, U.P",26.8,27,7.4,7.5,240,248,1.6,1.8,0,0,,,310,340,2012,2012,"Calendar Year (Jan - Dec), 2012"
2118,India,16,Tripura,1730,"KUNJBAN, AGARTALA, TRIPURA",26.9,28.3,7.7,7.9,192,211,,,0.6,0.8,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
2119,India,32,Kerala,3475,"WELL AT KARIMBAM, KANNUR",27,27,5.8,6.5,109,110,1,1,1.7,2.3,0,0,0,9,2014,2014,"Calendar Year (Jan - Dec), 2014"
2120,India,28,Andhra Pradesh,1517,"B/W. - TUNGBHADRA RIVER  NEAR KURNOOL, A.P.",27,30.6,7.2,8.1,1520,1950,0.8,1,3.1,8,0,0,20,40,2014,2014,"Calendar Year (Jan - Dec), 2014"
2121,India,18,Assam,2258,GROUND WATER FROM GOALPARA  DIST. (GOALPARA COLLEGE ),27,33,6.5,6.6,465,613,0.4,1.1,2.8,3.1,0,0,230,2300,2014,2014,"Calendar Year (Jan - Dec), 2014"
2122,India,19,West Bengal,1771,"KALYANI INDUSTRIAL AREA,  NADIA, WEST BENGAL",27,28,7.5,8.3,572,672,0.7,1.3,0.1,0.4,0,0,1,1,2014,2014,"Calendar Year (Jan - Dec), 2014"
2123,India,28,Andhra Pradesh,1520,"B/W. - SWARNAMUKHI RIVER,  SRIKALAHASTI, CHITTOOR DIST., A.P.",27,39.5,7.6,8.3,723,1100,1.1,1.5,2.1,11.5,0,0,20,40,2014,2014,"Calendar Year (Jan - Dec), 2014"
2124,India,28,Andhra Pradesh,1518,"B/W. - NANDYAL, KURNOOL  DIST., A.P.",27,35,7.8,8.2,2150,5000,1,1.6,4,14,0,0,20,50,2014,2014,"Calendar Year (Jan - Dec), 2014"
2125,India,28,Andhra Pradesh,1519,"B/W. - NAGIRI, CHITTOOR  DIST., A.P",27,37,7.8,8.1,730,1510,1.1,1.8,0,3.1,0,0,30,30,2014,2014,"Calendar Year (Jan - Dec), 2014"
2126,India,16,Tripura,4209,TUBE WELL AT BELONIA,27,27,6.5,6.5,151,151,0,0,0.3,0.3,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2127,India,16,Tripura,4206,"TUBE WELL AT DHANI SAGAR, UDAIPUR",27,27,5.9,5.9,137,137,0.1,0.1,0.5,0.5,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2128,India,16,Tripura,4205,"TUBE WELL AT AMAR SAGAR, UDAIPUR",27,27,6.3,6.3,144,144,0.1,0.1,0.4,0.4,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2129,India,16,Tripura,4207,TUBE WELL AT SABROOM,27,27,6.5,6.5,148,148,0.1,0.1,0.3,0.3,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2130,India,16,Tripura,4216,TUBE WELL AT DAMCHERRA,27,27,5.8,5.8,151,151,0.1,0.1,0.2,0.2,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2131,India,16,Tripura,4202,TUBE WELL AT BISHRAMGANJ,27,27,5.7,5.7,157,157,0.1,0.1,0.2,0.2,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2132,India,16,Tripura,4213,TUBE WELL AT TELIAMURA,27,27,6.3,6.3,135,135,0.2,0.2,0.3,0.3,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
