Station name,srcStateName,Year,StateCode,StateName,IntermediateRatio
BORE WELL OF PALSANA VILLAGE.,GUJARAT,2017,24,GUJARAT,1
"RIICO TUBE WELL, RIA,  SOTANALA",RAJASTHAN,2016,8,RAJASTHAN,1
FROM BORE WELL OF NAVSARI GIDC  INDUSTRIES ASSOCIAT,GUJARAT,2016,24,GUJARAT,1
"AISHBAGH INDUSTRIAL AREA AT LUCKNOW NEAR M/S EVEREADY INDUSTRIES LTD. LUCKNOW, U.P",UTTAR PRADESH,2018,9,UTTAR PRADESH,1
WELL NEAR PWD ADJACENT TO  CHAKIKILUM IN KAVARATTI,LAKSHADWEEP,2019,31,LAKSHADWEEP,1
"SITE 2, INDUSTRIAL AREA NEAR M/S AMIN SONS, UNNAO, U.P",UTTAR PRADESH,2018,9,UTTAR PRADESH,1
"GROUND WATER NEAR SUB  STATION SECTOR-B, DUDHICHUA  NCL PROJECT, SINGROULI",MADHYA PRADESH,2019,23,MADHYA PRADESH,1
BARRAKPORE MUNICIPALITY,WEST BENGAL,2018,19,WEST BENGAL,1
HAND PUMP AT KEYLONG,HIMACHAL PRADESH,2014,2,HIMACHAL PRADESH,1
"MANCHESWAR INDUSTRIAL  AREA, BHUBANESWAR /  CHANDRASHEKHARPUR",ODISHA,2019,21,ODISHA,1
SOLAN-D/S OF MSW DUMPING  SIOT-,HIMACHAL PRADESH,2013,2,HIMACHAL PRADESH,1
"WELL AT QUTAB GARH, DELHI",DELHI,2018,7,DELHI,1
Drinking Water intake well  of Municipal cop. Korba after treatment plant at kohadia village Korba.,CHHATTISGARH,2014,22,CHHATTISGARH,1
"AT RAIPUR  REGION,CHHATISSGARH",Chhattisgarh,2014,22,CHHATTISGARH,1
SHIMLA D/S OF MSW DUMPING  SIOT,HIMACHAL PRADESH,2013,2,HIMACHAL PRADESH,1
"GROUND WATER FROM TITABAR URBAN WATER SUPPLY, TITABAR",ASSAM,2018,18,ASSAM,1
BADDI INDUSTRIAL AREA,HIMACHAL PRADESH,2017,2,HIMACHAL PRADESH,1
"NEAR LANDFILL SITE, AMRITSAR,  PUNJAB",PUNJAB,2019,3,PUNJAB,1
HIMATNAGAR,GUJARAT,2016,24,GUJARAT,1
"TUBE WELL AT BAGAFA, SOUTH  TRIPURA",TRIPURA,2019,16,TRIPURA,1
"WELL OF SH MNAGAL CHAND  MEENA, MANPUR MACHERI, JAIPUR, RAJASTHAN",Rajasthan,2014,8,RAJASTHAN,1
"BOREWELL OF M/S ALFA ECA (I) LTD., UNIT-1, SR.NO. 249, UMA IND. ESTATE, VASNA , IYAVA, SANAND, AHMEDABAD",GUJARAT,2018,24,GUJARAT,1
"VILLAGE KANAKWAL/  PHUKOKARI GGS HMEL  REFINERY, BHATINDA",PUNJAB,2019,3,PUNJAB,1
"RIICO TUBE WELL, RIA,  BEHROR",RAJASTHAN,2016,8,RAJASTHAN,1
"Dugwell no. 1 at  Grampanchayat at Arkatewadi near Masjid, Khed, Ratangiri.",Maharashtra,2014,27,MAHARASHTRA,1
"NEAR RANA PRATAP NAGAR,  RAILWAY STATION, UDAIPUR",RAJASTHAN,2012,8,RAJASTHAN,1
"VAPI INDUSTRIAL AREA IN D/S,  VAPI",GUJARAT,2019,24,GUJARAT,1
BOREWELL KADI INDUSTRIAL  AREA,GUJARAT,2019,24,GUJARAT,1
"GROUND WATER NEAR  BADARPUR INDUSTRIAL AREA AT  BADARPUR GHAT, KARIMGANJ",ASSAM,2019,18,ASSAM,1
"KUNDARA, KOLLAM DISTT. ,  KERALA",Kerala,2014,32,KERALA,1
GROUND WATER AT SANTIPURI  KICHHA- 2,UTTARAKHAND,2019,5,UTTARAKHAND,1
PAONTA SAHIB INDUSTRIAL  AREA,HIMACHAL PRADESH,2013,2,HIMACHAL PRADESH,1
"Bore well at MIDC, Shiroli.  Village-Shinoli, Taluka- Chandgad, District- Kolhapur",Maharashtra,2013,27,MAHARASHTRA,1
"BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR, NAROL, AHMEDABAD",GUJARAT,2017,24,GUJARAT,1
"RIICO PUMP HOUSE NEAR MONTO MOTORS, MIA, ALWAR, RAJASTHAN",RAJASTHAN,2017,8,RAJASTHAN,1
"TUBE WELL AT BODHJUNG  NAGAR, WEST TRIPURA",TRIPURA,2019,16,TRIPURA,1
GROUND WATER FROM  NARKATIAGANJ,BIHAR,2019,10,BIHAR,1
GROUND WATER POINT INSIDE BURDWAN UNIVERSITY,WEST BENGAL,2018,19,WEST BENGAL,1
SHANGPUNG (UMSAHEP  SPRING),MEGHALAYA,2019,17,MEGHALAYA,1
"MANCHESWAR INDUSTRIAL AREA,  BHUBANESWAR, ORISSA",ORISSA,2013,21,ODISHA,1
DEESA BOREWELL,GUJARAT,2019,24,GUJARAT,1
"BORE WELL IN MODI ALKALIS  & CHEMICALS, MIA, ALWAR",RAJASTHAN,2012,8,RAJASTHAN,1
COSSIPORE - NORTH KOLKATA,WEST BENGAL,2018,19,WEST BENGAL,1
"WELL OF CHOUTHA RAM PUSA PAM,  LEFT SIDE OF BRIDGE LUNI, BALOTRA, RAJASTHAN",Rajasthan,2014,8,RAJASTHAN,1
"AMTOLA ON DIAMOND HARBOUR  ROAD, 24 PARGANAS (S)",WEST BENGAL,2012,19,WEST BENGAL,1
"WELL AT PAYANOOR, KANNUR",KERALA,2018,32,KERALA,1
DOMJUR HOWRAH,WEST BENGAL,2016,19,WEST BENGAL,1
"WELL AT INDIA PUBLIC SCHOOL,  MANPUR MACHERI, JAIPUR,  RAJASTHAN",RAJASTHAN,2019,8,RAJASTHAN,1
"AT PARWANOO, H.P",HIMACHAL PRADESH,2012,2,HIMACHAL PRADESH,1
GROUND WATER NEAR MSW DUMPING SITE  AT GARCHUK-GUWAHATI,ASSAM,2016,18,ASSAM,1
"SHIBNAGAR, AGARTALA,  TRIPURA",TRIPURA,2012,16,TRIPURA,1
CHELLORA TRENCHING GROUND  (KANNUR),Kerala,2014,32,KERALA,1
"KAMARDA, SUKINDA",ODISHA,2017,21,ODISHA,1
"INDUSTRIAL ESTATE, BYRNIHAT (NARBONG WELL - SPRING)",MEGHALAYA,2018,17,MEGHALAYA,1
"WELL OF BHAG JI LAXMAN RAM MALI, SAKARNA BERA, BALOTRA, JODHPUR, RAJASTHAN",RAJASTHAN,2017,8,RAJASTHAN,1
"DUSSHERA GROUND INDUSTRIAL  ESTATE, LUDHIANA",PUNJAB,2016,3,PUNJAB,1
TALCHER THERMAL AREA,ODISHA,2018,21,ODISHA,1
"O/W. - NEAR RAMA TEMPLE ,  WARD No.2 , MINDI , VISAKHAPATNAM, A.P",ANDHRA PRADESH,2012,28,ANDHRA PRADESH,1
"HAND PUMP NEAR SECONDARY SCHOOL ABOUT 300MT. FROM KANSUA NALLAH KOTA, RAJASTHAN",RAJASTHAN,2018,8,RAJASTHAN,1
"GIDC, DAHOD, DAHOD",GUJARAT,2018,24,GUJARAT,1
"WELL AT ELOOR, KERALA",Kerala,2014,32,KERALA,1
"GOGAMUKH PUBLIC WATER  SUPPLY SCHEME, GOGAMUKH, DHEMAJI",ASSAM,2017,18,ASSAM,1
"BORE WELL SH. PREM CHAND,  VILLAGE PHALSHA MODE RIA  CHOPNADI, RAJASTHAN",RAJASTHAN,2019,8,RAJASTHAN,1
"GROUND WATER FROM  BARPETA ROAD(RLY STATION),  ASSAM",ASSAM,2019,18,ASSAM,1
"SDO OFFICE, KRISHNANAGAR",WEST BENGAL,2019,19,WEST BENGAL,1
"TUBE WELL AT SECTOR-III,  PITHAMPUR INDUSTRIAL AREA",MADHYA PRADESH,2016,23,MADHYA PRADESH,1
"WELL OF BABULAL UKKAD JI  MALI, SAKARNA BERA, BALOTRA, , JODHPUR, RAJASTHAN",Rajasthan,2014,8,RAJASTHAN,1
BOREWELL AT NANDYAL (KUNDU),ANDHRA PRADESH,2017,28,ANDHRA PRADESH,1
GROUND WATER FROM KARIMGANJ  (COLLEGE),Assam,2014,18,ASSAM,1
BOREWELL AT NAGIRI,ANDHRA PRADESH,2017,28,ANDHRA PRADESH,1
"OLD TOWN- SAMANTARAAIPUR AREA, BHUBANESWAR",ODISHA,2017,21,ODISHA,1
"BORE WELL AT KATPUR, NEAR Z.P SCHOOL.",MAHARASHTRA,2017,27,MAHARASHTRA,1
WELL AT AHMEDABAD,GUJARAT,2019,24,GUJARAT,1
"BORE WELL WATER (PHED PUMP HOUSE) SADAR HOSPITAL CAMPUS, MUZAFFARPUR",BIHAR,2017,10,BIHAR,1
"TAP WATER COMING FROM OVER HEAD TANK PMCH CAMPUS, PATNA",BIHAR,2018,10,BIHAR,1
"ASH DYKES OF THERMAL POWER  PLANT LEHRA MOHABBAT,  BHATINDA",PUNJAB,2019,3,PUNJAB,1
"HAND PUMP WATER NEAR BUS STAND TILKS MANJHI CHOWK, BEGUSARAI",BIHAR,2018,10,BIHAR,1
BORE WELL AT BETHORA INDUSTRIAL ESTATE,GOA,2017,30,GOA,1
WELL AT CORLIM INDL. ESTATE,Goa,2013,30,GOA,1
GROUND WATER POINT INSIDE  BURDWAN UNIVERSITY,WEST BENGAL,2019,19,WEST BENGAL,1
"GROUND WATER QUALITY  STATION SARDARNAGAR, U.P",UTTAR PRADESH,2019,9,UTTAR PRADESH,1
ROHTAS BORE WELL WATER FROM WATER TANK NEAR DHARMA SHALA SASARAM.,BIHAR,2018,10,BIHAR,1
GROUND WATER FROM  HIALAKANDI (NEAR ASTC BUS STAND ),ASSAM,2012,18,ASSAM,1
"KUNDARA,KOLLAM DISTT.",KERALA,2016,32,KERALA,1
"NEAR IOC REFINERY HALDIA,  WEST BENGAL",WEST BENGAL,2012,19,WEST BENGAL,1
GROUND WATER FROM GELEKY,ASSAM,2018,18,ASSAM,1
RESIDENTIAL AREA AT  SONARPUR,WEST BENGAL,2014,19,WEST BENGAL,1
"BORE WELL AT SHETE VASTI,  NEAR OLD TULJAPUR ROAD. VILLAGE- TULJAPUR NAKA, TALUKA- SOLAPUR,DISTRICT-  SOLAPUR.",MAHARASHTRA,2012,27,MAHARASHTRA,1
"TANGRA, CALCUTTA ,WEST  BENGAL",WEST BENGAL,2014,19,WEST BENGAL,1
TUBE WELL NEAR BUS STAND AT BETUL,MADHYA PRADESH,2017,23,MADHYA PRADESH,1
"GROUND WATER SARVESWAR RAJA COLONY JAYANT, SINGROULI",MADHYA PRADESH,2018,23,MADHYA PRADESH,1
"RASULWADI-SAMBARWADI, MIRAJSANGLI",MAHARASHTRA,2018,27,MAHARASHTRA,1
NALHATI RAILWAY STATION OF  BIRBHUM,WEST BENGAL,2012,19,WEST BENGAL,1
"BOREWELL D/S TSDF SITE, GIDC INDUSTRIAL AREA, VAPI",GUJARAT,2018,24,GUJARAT,1
BARRAKPORE MUNICIPALITY,WEST BENGAL,2014,19,WEST BENGAL,1
VISNAGAR BOREWELL,GUJARAT,2019,24,GUJARAT,1
"GIDC, HALOL, PANCHMAHAL",GUJARAT,2019,24,GUJARAT,1
"VYTTILA, ERNAKULAM DISTT. ,  KERALA",Kerala,2013,32,KERALA,1
"WELL OF GIRDHARI RAM  MEGHWAL, VILLAGE- NANDWAN, JODHPUR, RAJASTHAN",Rajasthan,2013,8,RAJASTHAN,1
"Handpump near India  Pesticide Ltd., Chinhat ind Area",Uttar Pradesh,2014,9,UTTAR PRADESH,1
